collision_group_id	register	sample_incoming_action	sample_incoming_argument	shared_outgoing_action	shared_outgoing_argument	shared_clause_de	component_recipes
COLLISION0001	SOURCE_SECTION_T	OK	Y	OK	Y	Im laufenden Gang trage den laufenden Eintrag [wie zuvor] ein; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.	L+O+D_ADDR|L+O+M_LOCAL|O+D_ADDR+L|O+LOCAL_CHAR_F+L
COLLISION0001	HERBAL	OK	Y	OK	Y	Im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; über die Verbindung im Pflanzenartikel; als Ausführung; an der bezeichneten Stelle.	L+O+D_ADDR|L+O+M_LOCAL|O+D_ADDR+L|O+LOCAL_CHAR_F+L
COLLISION0001	BIOLOGICAL	OK	Y	OK	Y	Im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; über die sichtbare Verbindung; als Ausführung; an der bezeichneten Stelle.	L+O+D_ADDR|L+O+M_LOCAL|O+D_ADDR+L|O+LOCAL_CHAR_F+L
COLLISION0001	CELESTIAL	OK	Y	OK	Y	Im laufenden Gang setze den Positionsposten [wie zuvor]; über die Ringverbindung; als Ausführung; an der bezeichneten Stelle.	L+O+D_ADDR|L+O+M_LOCAL|O+D_ADDR+L|O+LOCAL_CHAR_F+L
COLLISION0001	PHARMA	OK	Y	OK	Y	Im laufenden Gang setze den Drogenposten [wie zuvor] als Ansatz an; über die Gefäßverbindung; als Ausführung; an der bezeichneten Stelle.	L+O+D_ADDR|L+O+M_LOCAL|O+D_ADDR+L|O+LOCAL_CHAR_F+L
COLLISION0002	SOURCE_SECTION_T	OK	Y	OK	Y	Im laufenden Gang trage den laufenden Eintrag [wie zuvor] ein; an der bezeichneten Stelle.	AM_ADDR|A_ADDR|D_ADDR
COLLISION0002	HERBAL	OK	Y	OK	Y	Im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; an der bezeichneten Stelle.	AM_ADDR|A_ADDR|D_ADDR
COLLISION0002	BIOLOGICAL	OK	Y	OK	Y	Im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; an der bezeichneten Stelle.	AM_ADDR|A_ADDR|D_ADDR
COLLISION0002	CELESTIAL	OK	Y	OK	Y	Im laufenden Gang setze den Positionsposten [wie zuvor]; an der bezeichneten Stelle.	AM_ADDR|A_ADDR|D_ADDR
COLLISION0002	PHARMA	OK	Y	OK	Y	Im laufenden Gang setze den Drogenposten [wie zuvor] als Ansatz an; an der bezeichneten Stelle.	AM_ADDR|A_ADDR|D_ADDR
