collision_group_id	component_recipe	intake_tier	support_count	atom_multiset	literal_reading_de	generic_workshop_phrase_de
COLLISION0001	L+O+D_ADDR	T0_EXACT_OBSERVED	1	D_ADDR+L+O	VERBINDUNG · AUSFÜHRUNG · HIER	Über die Verbindung hier.
COLLISION0001	L+O+M_LOCAL	T0_EXACT_OBSERVED	1	L+M_LOCAL+O	VERBINDUNG · AUSFÜHRUNG · HIER	Über die Verbindung hier.
COLLISION0001	O+D_ADDR+L	T0_EXACT_OBSERVED	1	D_ADDR+L+O	AUSFÜHRUNG · HIER · VERBINDUNG	Über die Verbindung hier.
COLLISION0001	O+LOCAL_CHAR_F+L	T4_NARROW_APPENDIX	2	L+LOCAL_CHAR_F+O	AUSFÜHRUNG · HIER · VERBINDUNG	Über die Verbindung mit der lokalen Variante.
COLLISION0002	AM_ADDR	T0_EXACT_OBSERVED	9	AM_ADDR	HIER	Hier.
COLLISION0002	A_ADDR	T0_EXACT_OBSERVED	1	A_ADDR	HIER	Hier.
COLLISION0002	D_ADDR	T0_EXACT_OBSERVED	11	D_ADDR	HIER	Hier.
COLLISION0003	AM_ADDR+Y	T0_EXACT_OBSERVED	1	AM_ADDR+Y	HIER · POSTEN	Posten hier.
COLLISION0003	A_ADDR+Y	T0_EXACT_OBSERVED	2	A_ADDR+Y	HIER · POSTEN	Posten hier.
COLLISION0003	D_ADDR+Y	T0_EXACT_OBSERVED	2	D_ADDR+Y	HIER · POSTEN	Posten hier.
COLLISION0004	A_ADDR+S	T0_EXACT_OBSERVED	4	A_ADDR+S	HIER · WÄHLEN	Wähle hier.
COLLISION0004	S+AM_ADDR	T0_EXACT_OBSERVED	3	AM_ADDR+S	WÄHLEN · HIER	Wähle hier.
COLLISION0004	S+A_ADDR	T0_EXACT_OBSERVED	1	A_ADDR+S	WÄHLEN · HIER	Wähle hier.
COLLISION0005	D_ADDR+AL+O	T0_EXACT_OBSERVED	2	AL+D_ADDR+O	HIER · ZIELORT · AUSFÜHRUNG	Am Zielort hier.
