atom_multiset	left_recipe	right_recipe	same_full_transition_signature	same_clause_signature	same_state_signature	left_tier	right_tier
AIIN+AL	AIIN+AL	AL+AIIN	NO	NO	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AIIN+CH+K	CH+K+AIIN	K+CH+AIIN	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AIIN+CH+OT	CH+OT+AIIN	OT+CH+AIIN	YES	YES	YES	T4_NARROW_APPENDIX	T4_NARROW_APPENDIX
AIIN+CH+P	CH+P+AIIN	P+CH+AIIN	NO	NO	NO	T2_FUTURE_STRONG	T4_NARROW_APPENDIX
AIIN+D_ADDR+O	D_ADDR+O+AIIN	O+D_ADDR+AIIN	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AIIN+D_ADDR+Y	D_ADDR+AIIN+Y	Y+D_ADDR+AIIN	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AIIN+OR	AIIN+OR	OR+AIIN	NO	NO	NO	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AIIN+Y	AIIN+Y	Y+AIIN	NO	NO	NO	T0_EXACT_OBSERVED	T2_FUTURE_STRONG
AIN+AL	AIN+AL	AL+AIN	NO	NO	YES	T4_NARROW_APPENDIX	T1_FUTURE_HIGH
AIN+CH+K	CH+K+AIN	K+CH+AIN	NO	NO	NO	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
AIN+D_ADDR	AIN+D_ADDR	D_ADDR+AIN	YES	YES	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
AIN+D_ADDR+O	D_ADDR+O+AIN	O+D_ADDR+AIN	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AIN+O+OK	O+OK+AIN	OK+O+AIN	YES	YES	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
AIN+Y	AIN+Y	Y+AIN	NO	NO	NO	T2_FUTURE_STRONG	T0_EXACT_OBSERVED
AIR+CHD	AIR+CHD	CHD+AIR	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AIR+OL	AIR+OL	OL+AIR	YES	YES	YES	T2_FUTURE_STRONG	T4_NARROW_APPENDIX
AIR+Y	AIR+Y	Y+AIR	NO	NO	YES	T2_FUTURE_STRONG	T2_FUTURE_STRONG
AL+AR	AL+AR	AR+AL	NO	NO	YES	T4_NARROW_APPENDIX	T4_NARROW_APPENDIX
AL+AR+OK	OK+AL+AR	OK+AR+AL	NO	NO	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
AL+CH	AL+CH	CH+AL	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AL+CH+K	CH+K+AL	K+CH+AL	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AL+CH+OK	CH+OK+AL	OK+CH+AL	NO	NO	NO	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AL+CH+P	CH+P+AL	P+CH+AL	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AL+CH+Y	AL+CH+Y	CH+AL+Y	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AL+CHD	AL+CHD	CHD+AL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AL+D_ADDR+O	D_ADDR+AL+O	O+D_ADDR+AL	YES	YES	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
AL+D_ADDR+Y	AL+D_ADDR+Y	Y+D_ADDR+AL	NO	NO	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
AL+K+OL	K+AL+OL	OL+K+AL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AL+K+Y	AL+K+Y	Y+K+AL	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AL+OK+SH	OK+SH+AL	SH+OK+AL	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AL+OL	AL+OL	OL+AL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AL+OL+Y	AL+OL+Y	OL+AL+Y	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AL+OR	AL+OR	OR+AL	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AL+S	AL+S	S+AL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AL+S+Y	AL+S+Y	Y+AL+S	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AL+SH	AL+SH	SH+AL	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AL+T+Y	T+AL+Y	Y+T+AL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AL+Y	AL+Y	Y+AL	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AR+CH+T	CH+T+AR	T+CH+AR	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AR+CHD	AR+CHD	CHD+AR	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AR+D_ADDR+Y	D_ADDR+AR+Y	Y+D_ADDR+AR	NO	NO	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AR+LOCAL_CHAR_F+O	LOCAL_CHAR_F+O+AR	O+LOCAL_CHAR_F+AR	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AR+O	AR+O	O+AR	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
AR+OL	AR+OL	OL+AR	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
AR+OL+Y	AR+OL+Y	OL+AR+Y	YES	YES	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
AR+OR	AR+OR	OR+AR	NO	NO	YES	T1_FUTURE_HIGH	T4_NARROW_APPENDIX
AR+Y	AR+Y	Y+AR	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
A_ADDR+S	A_ADDR+S	S+A_ADDR	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
