component_recipe	intake_tier	atom_count	support_count	reachable_state_count	register_count	transition_cell_count	order_repaired_cell_count	distinct_outgoing_state_count	distinct_clause_count	state_signature_sha256	clause_signature_sha256	full_transition_signature_sha256
AIIN	T0_EXACT_OBSERVED	1	155	49	5	245	0	10	50	b7db7ebf91c5c330edc58279f60b6a1109934d9063f3e5012b1f4abe10019816	e86e8976e497956f09d40fb130043b248ce8cf8af0391a7305602e630d2854e2	57f0d621cbe40af793e33962f14064c9f251dd669a34e33695227bd76853f761
AIIN+AIIN	T4_NARROW_APPENDIX	2	2	49	5	245	0	10	50	b7db7ebf91c5c330edc58279f60b6a1109934d9063f3e5012b1f4abe10019816	1f3078eeb181d46ac8ef89d23f9bf519ea4ed47ec8b24ad0b3bbb004242b9ee1	81fe0aa60f1b4a75ef5a881ba1bcb0deb2249a659efe44e1f949d79e90c37b48
AIIN+AIN	T2_FUTURE_STRONG	2	3	49	5	245	0	10	50	77d2e2599f1aa01b5c01284d78c1a5644657a684117cbd4616b5d86cdc64d6a0	1d4074b26d3e3e41c4e0428b1a028eb0ffd30665209fad8a6877abba9b14ae2f	cdb1d2cc45eb5863a63aa7c7f9fb3610abccac56d8a95e9b55a3cf2e0923d5d9
AIIN+AL	T4_NARROW_APPENDIX	2	2	49	5	245	0	10	50	b7db7ebf91c5c330edc58279f60b6a1109934d9063f3e5012b1f4abe10019816	c20f4cbc3145c44f6e33ec5219cdb2b99098be19cbbd9a153aad1fa8e0f84e32	5cb6753157e52f24691ac985757d4b89d1bdc9a43aa2cea14688fb0201c75122
AIIN+OR	T4_NARROW_APPENDIX	2	2	49	5	245	0	10	50	69deda7d351e2a884cddd51414d4727f8a289d2fa6796a2f2851c0d8b36a7a88	b476a73f90174ee1da21c7e7df2db5485e8e97439cbd2ee669b9e39a1dc44b17	07c4c5b18a5a2914fbbb02317c24c1806630ac71b9a877a098ab23cf094a60c5
AIIN+Y	T0_EXACT_OBSERVED	2	1	49	5	245	0	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	663cb911e5f52821615e5b98328a2fb9dd6eda719eb12dfd0e6bde0a530766f1	3082beb9e1eb6cc7266c9557305a1e2660b1a6e95af5a413875f778283d5cde7
AIN	T0_EXACT_OBSERVED	1	63	49	5	245	0	10	50	77d2e2599f1aa01b5c01284d78c1a5644657a684117cbd4616b5d86cdc64d6a0	87bf03a6ea002a0b9e27392aaab9dc7001e65d0799ca17c3afd48eb4a5205317	e05552ce99ca1b2b3e31b026065b6b833f8d445af3f75476b27e83da503dbefa
AIN+AIN	T4_NARROW_APPENDIX	2	2	49	5	245	0	10	50	77d2e2599f1aa01b5c01284d78c1a5644657a684117cbd4616b5d86cdc64d6a0	a7264ceb7a65a8cd42f93f8ecadceebc8980ff135f30e828cb33d8e2c8d91daa	bc387b7f53ffb763af7e9bea5d525320ae30d2f31b269fd99f15f69cb98695bb
AIN+AL	T4_NARROW_APPENDIX	2	2	49	5	245	0	10	50	77d2e2599f1aa01b5c01284d78c1a5644657a684117cbd4616b5d86cdc64d6a0	ede4f1b04ba66e440920ab513587c6053a98c9d39085945547d54b94cca62f63	b2e010e49b22c9c32eff002107031dd040eded0660fe5855731c50f2cb4c9694
AIN+D_ADDR	T0_EXACT_OBSERVED	2	1	49	5	245	0	10	50	77d2e2599f1aa01b5c01284d78c1a5644657a684117cbd4616b5d86cdc64d6a0	ed0bad7bdc81d295b55af7a4bd8d0482e9009551dcb767ba0f6c0c993a25c0e5	cb4b7d1335b9783c3d804912473481c069c3902f8cfbc3f9c65fcb1fe803e66f
AIN+Y	T2_FUTURE_STRONG	2	3	49	5	245	0	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	3546457df3133340b78d30992f75a0d9014087435c33c2a6dae10d681b650cfa	851600f95040637dbe5d3447f4fdc4207077ff88e104ccabaf3925b07be853ac
AIR	T0_EXACT_OBSERVED	1	5	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	74eb464cb69a3c4c1095c2a70f52793fd11117c471d09d3c3dc18dd763e6afaf	a050426a8e8f72fcc15a105f1a2aed8d3c020cb677b026e9beeddec810728953
AIR+AIIN	T2_FUTURE_STRONG	2	3	49	5	245	245	10	50	b7db7ebf91c5c330edc58279f60b6a1109934d9063f3e5012b1f4abe10019816	d01cb8e09082b35c483f436dfc54b621e371bba3ba822e38a22c21fc6c6ab44f	3c742ff69d4feb7031890520c0606f5825b0e86a5a8462515a5d39e37c418aab
AIR+AIN	T3_SECOND_RING_AMBER	2	4	49	5	245	245	10	50	77d2e2599f1aa01b5c01284d78c1a5644657a684117cbd4616b5d86cdc64d6a0	6a09c8f1e0883cb84f6115c2869cdb3559aba4b36f2970f9e005ba188c61c6dd	15673a681de5cadadc079808d8b0b9c1760e4fd8772357751df01c0681e73748
AIR+AL	T4_NARROW_APPENDIX	2	2	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	ae9f97cbe277fb40a31b9fdb268b0b1f693ccd3b8403f3d47f1eb0dcad49e11e	194538e1ce587afc182616022ede867c3bf1029946a6ca637cffbc2d9ef9c1a0
AIR+CHD	T4_NARROW_APPENDIX	2	2	49	5	245	0	5	25	6d84e51f3fa2bfd0941a935970090f632edbbdae8a4bb23efdc4e223a2730a87	c8c272402432dec3da9a101cbb6072a69a10ac6254ab5ea6b0184ad45bbd7206	af07a4f654b11db120055daa25f15c324e97884400a547dbbff445a2b6e6e1b6
