master_card_id	master_form	registered_surfaces	quantity_ending	family_value_de	component_formula	card_value_de	prose_event_count	records	apprentice_rule	analysis_status
MC017	okain	okain|qokain	AIN	ABGEGRENZTER_ANTEIL	OK+AIN_PORTION	Anteil zugeben	7	B1|B2|B3|B4	X+AIN = abgegrenzter Anteil von X	PRODUCTIVE_QUANTITY_ENDING
MC018	qotedaiin	qotedaiin	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	OT_FOLLOW+E_SHORT+AIIN_MEASURE	Kurzsoll	1	B3	X+AIIN = vorgeschriebener Wert von X	PRODUCTIVE_QUANTITY_ENDING
MC036	solkaiin	solkaiin	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	SOLK_COLLECT+AIIN_MEASURE	Sollsammlung	1	B2	X+AIIN = vorgeschriebener Wert von X	PRODUCTIVE_QUANTITY_ENDING
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	AIIN_TARGET_MEASURE	Sollmaß	20	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	X+AIIN = vorgeschriebener Wert von X	PRODUCTIVE_QUANTITY_ENDING
MC047	ykain	ykain	AIN	ABGEGRENZTER_ANTEIL	Y + K + AIN	erste Portion	1	H4	X+AIN = abgegrenzter Anteil von X	PRODUCTIVE_QUANTITY_ENDING
MC059	dain	dain	FALSE_FRIEND	GANZKARTE_KEINE_MENGENENDUNG	DAIN_CLOTH_WHOLE	Einlage	2	B4|B6	sichtbare Endbuchstaben nicht abtrennen	WHOLE_CARD_EXCLUSION
MC060	otaiin	otaiin|sotaiin	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	OT_FOLLOW+AIIN_MEASURE	Folgemaß	3	B2|B3	X+AIIN = vorgeschriebener Wert von X	PRODUCTIVE_QUANTITY_ENDING
MC068	sotodan	sotodan	FALSE_FRIEND	GANZKARTE_KEINE_MENGENENDUNG	SOTODAN	als Folgeanwendung führen	1	H5	sichtbare Endbuchstaben nicht abtrennen	WHOLE_CARD_EXCLUSION
MC072	orain	orain	AIN	ABGEGRENZTER_ANTEIL	OR + AIN	Bereitungsanteil	1	H4	X+AIN = abgegrenzter Anteil von X	PRODUCTIVE_QUANTITY_ENDING
MC087	chodaiin	chodaiin	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	CHO + AIIN	Zugabemaß	1	H2	X+AIIN = vorgeschriebener Wert von X	PRODUCTIVE_QUANTITY_ENDING
MC097	olkain	olkain|qolkain	AIN	ABGEGRENZTER_ANTEIL	OL_CONTINUE+AIN_PORTION	weiterer Anteil	2	B1|B4	X+AIN = abgegrenzter Anteil von X	PRODUCTIVE_QUANTITY_ENDING
MC105	chkain	chkain|kain	AIN	ABGEGRENZTER_ANTEIL	AIN_PORTION	Portion	3	B1|B3|B4	X+AIN = abgegrenzter Anteil von X	PRODUCTIVE_QUANTITY_ENDING
MC111	shfydaiin	shfydaiin	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	SHFY + AIIN	eine vorgeschriebene Stehzeit einhalten	1	H3	X+AIIN = vorgeschriebener Wert von X	PRODUCTIVE_QUANTITY_ENDING
MC120	okaiin	okaiin|qokaiin	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	OK_SET+AIIN_TARGET_MEASURE	bemessen	9	B1|B2|B3|H4	X+AIIN = vorgeschriebener Wert von X	PRODUCTIVE_QUANTITY_ENDING
MC144	chldaiin	chldaiin	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	CHLD_SETTLE+AIIN_MEASURE	Sollabsetzung	1	B3	X+AIIN = vorgeschriebener Wert von X	PRODUCTIVE_QUANTITY_ENDING
MC145	chedain	chedain	AIN	ABGEGRENZTER_ANTEIL	CHED_TRANSFER+AIN_PORTION	Anteilstransfer	1	B3	X+AIN = abgegrenzter Anteil von X	PRODUCTIVE_QUANTITY_ENDING
MC148	ykan	ykan	AN	ZWEITER_ODER_ALTERNATIVER_ANTEIL	Y + K + AN	zweite Portion	1	H4	X+AN = zweiter oder alternativer Anteil von X	TENTATIVE_SINGLE_AN
MC169	cthaiin	cthaiin	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	CTH + AIIN	die Sollvorbereitung setzen	1	H2	X+AIIN = vorgeschriebener Wert von X	PRODUCTIVE_QUANTITY_ENDING
MC170	ykaiin	ykaiin	AIIN	VORGESCHRIEBENER_ODER_ZIELWERT	Y + K + AIIN	Sollportion	1	H4	X+AIIN = vorgeschriebener Wert von X	PRODUCTIVE_QUANTITY_ENDING
