page	mapped_units	owner_modes	selected_revision	remaining_problem
f10r	5	INHERITED_VISIBLE:3;PAGE_OWNER_ONLY:2	REMOVE_NARROW_SPECIES_AND_UNPICTURED_OPERATION	owner is visible but exact semantic source value remains exemplar-bound
f11r	4	INHERITED_VISIBLE:3;PAGE_OWNER_ONLY:1	REMOVE_NARROW_SPECIES_AND_UNPICTURED_OPERATION	owner is visible but exact semantic source value remains exemplar-bound
f55v	4	INHERITED_VISIBLE:3;PAGE_OWNER_ONLY:1	REMOVE_NARROW_SPECIES_AND_UNPICTURED_OPERATION	owner is visible but exact semantic source value remains exemplar-bound
f56r	7	INHERITED_VISIBLE:6;PAGE_OWNER_ONLY:1	REMOVE_NARROW_SPECIES_AND_UNPICTURED_OPERATION	owner is visible but exact semantic source value remains exemplar-bound
f81v	24	INHERITED_VISIBLE:23;PAGE_OWNER_ONLY:1	REPLACE_LONG_CIRCULATION_WITH_SHARED_STATION	owner is visible but exact semantic source value remains exemplar-bound
f82r	26	INHERITED_VISIBLE:22;PAGE_OWNER_ONLY:4	SPLIT_SINGLE_PROCESS_INTO_LOCAL_STATION_ZONES	owner is visible but exact semantic source value remains exemplar-bound
f83r	65	INHERITED_VISIBLE:60;PAGE_OWNER_ONLY:5	REMOVE_GLOBAL_FLOW_DIRECTION_AND_KEEP_LOCAL_ASSEMBLY	owner is visible but exact semantic source value remains exemplar-bound
f67r2	74	DIRECT_VISIBLE:32;PAGE_OWNER_ONLY:42	REPLACE_LITERAL_7X12_WITH_LOCAL_WHEEL_SLOT	owner is visible but exact semantic source value remains exemplar-bound
f68r1	37	DIRECT_VISIBLE:30;PAGE_OWNER_ONLY:7	REPLACE_SINGLE_CENTER_WITH_PANEL_OWNER	owner is visible but exact semantic source value remains exemplar-bound
f69v	31	DIRECT_VISIBLE:28;PAGE_OWNER_ONLY:3	LOCALIZE_28_TO_LEFT_WHEEL	owner is visible but exact semantic source value remains exemplar-bound
