owner_row_id	layer	page	source_id	record_or_diagram	locus	owner_mode	visible_owner	visible_basis	concrete_silent_argument_default	strongest_rival	confidence	v69_revision
R4O001	PROSE_FIELD	f10r	F001	H1	f10r.2	PAGE_OWNER_ONLY	WHOLE_TOOTHED_BLUE_FLOWER_PLANT	single whole plant occupies and shapes the article text area; no leader ties one field to one part	the unidentified pictured toothed blue-flowered simple	ordinary plant-article recurrence without an omitted grammatical owner	MEDIUM	REMOVE_NARROW_SPECIES_AND_UNPICTURED_OPERATION
R4O002	PROSE_FIELD	f10r	F002	H1	f10r.5	INHERITED_VISIBLE	WHOLE_TOOTHED_BLUE_FLOWER_PLANT	single whole plant occupies and shapes the article text area; no leader ties one field to one part	the unidentified pictured toothed blue-flowered simple	ordinary plant-article recurrence without an omitted grammatical owner	MEDIUM	KEEP_OWNER_INHERITANCE_ONLY
R4O003	PROSE_FIELD	f10r	F003	H2	f10r.6	PAGE_OWNER_ONLY	WHOLE_TOOTHED_BLUE_FLOWER_PLANT	single whole plant occupies and shapes the article text area; no leader ties one field to one part	the unidentified pictured toothed blue-flowered simple	ordinary plant-article recurrence without an omitted grammatical owner	MEDIUM	REMOVE_NARROW_SPECIES_AND_UNPICTURED_OPERATION
R4O004	PROSE_FIELD	f10r	F004	H2	f10r.8	INHERITED_VISIBLE	WHOLE_TOOTHED_BLUE_FLOWER_PLANT	single whole plant occupies and shapes the article text area; no leader ties one field to one part	the unidentified pictured toothed blue-flowered simple	ordinary plant-article recurrence without an omitted grammatical owner	MEDIUM	KEEP_OWNER_INHERITANCE_ONLY
R4O005	PROSE_FIELD	f10r	F005	H2	f10r.9	INHERITED_VISIBLE	WHOLE_TOOTHED_BLUE_FLOWER_PLANT	single whole plant occupies and shapes the article text area; no leader ties one field to one part	the unidentified pictured toothed blue-flowered simple	ordinary plant-article recurrence without an omitted grammatical owner	MEDIUM	KEEP_OWNER_INHERITANCE_ONLY
R4O006	PROSE_FIELD	f11r	F006	H3	f11r.1	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_CROWN_PLANT	single whole plant occupies and shapes the article text area; no leader ties one field to one part	the unidentified pictured dense blue-flowered crown herb	ordinary plant-article recurrence without an omitted grammatical owner	MEDIUM	REMOVE_NARROW_SPECIES_AND_UNPICTURED_OPERATION
R4O007	PROSE_FIELD	f11r	F007	H3	f11r.1	INHERITED_VISIBLE	WHOLE_DENSE_BLUE_CROWN_PLANT	single whole plant occupies and shapes the article text area; no leader ties one field to one part	the unidentified pictured dense blue-flowered crown herb	ordinary plant-article recurrence without an omitted grammatical owner	MEDIUM	KEEP_OWNER_INHERITANCE_ONLY
R4O008	PROSE_FIELD	f11r	F008	H3	f11r.4	INHERITED_VISIBLE	WHOLE_DENSE_BLUE_CROWN_PLANT	single whole plant occupies and shapes the article text area; no leader ties one field to one part	the unidentified pictured dense blue-flowered crown herb	ordinary plant-article recurrence without an omitted grammatical owner	MEDIUM	KEEP_OWNER_INHERITANCE_ONLY
R4O009	PROSE_FIELD	f11r	F009	H3	f11r.7	INHERITED_VISIBLE	WHOLE_DENSE_BLUE_CROWN_PLANT	single whole plant occupies and shapes the article text area; no leader ties one field to one part	the unidentified pictured dense blue-flowered crown herb	ordinary plant-article recurrence without an omitted grammatical owner	MEDIUM	KEEP_OWNER_INHERITANCE_ONLY
R4O010	PROSE_FIELD	f55v	F010	H4	f55v.5	PAGE_OWNER_ONLY	WHOLE_BROAD_LEAF_PANICLED_PLANT	single whole plant occupies and shapes the article text area; no leader ties one field to one part	the unidentified pictured broad-leaf panicled simple	ordinary plant-article recurrence without an omitted grammatical owner	MEDIUM	REMOVE_NARROW_SPECIES_AND_UNPICTURED_OPERATION
