owner_row_id	source_level	source_id	page	section	record_or_diagram	locus	member_count	member_ids	v69_formal_role	image_namespace	owner_class	owner_id	ownership_status	technical_silent_argument_default	visible_geometric_basis	strongest_rival	confidence	v69_change	direction_policy	semantic_ceiling
P001	PROSE_FIELD	F001	f10r	HERBAL	H1	f10r.2	10	1|2|3|4|5|6|7|8|9|10	COMPOSITE_SEQUENCE|ACTION_APPLY > PARAMETER_ASSIGN	H1	PICTURED_PART	H1_ROOT_AXIS_AND_RED_SWELLINGS	PAGE_OWNER_ONLY	sichtbarer Wurzelachsen- und Speicherorganposten dieser Pflanze	durchgehende braune Wurzelachse mit zwei geschlossenen roten Endkörpern	ganze f10r-Pflanze statt eines gesonderten Wurzelpostens	MEDIUM	SPECIES_AND_PREPARATION_IMAGE_DEFAULT_REMOVED; VISIBLE_PLANT_OWNER_ONLY	NO_DIRECTION_FROM_IMAGE	VISIBLE_OWNER_NOT_WORD_CARD_STEM_OR_MEANING
P002	PROSE_FIELD	F002	f10r	HERBAL	H1	f10r.5	4	11|12|13|14	COMPOSITE_SEQUENCE|LINK_ACTIVE > STATE_GATE	H1	PICTURED_PART	H1_ROOT_AXIS_AND_RED_SWELLINGS	INHERITED_VISIBLE	sichtbarer Wurzelachsen- und Speicherorganposten dieser Pflanze	durchgehende braune Wurzelachse mit zwei geschlossenen roten Endkörpern	ganze f10r-Pflanze statt eines gesonderten Wurzelpostens	MEDIUM	SPECIES_AND_PREPARATION_IMAGE_DEFAULT_REMOVED; VISIBLE_PLANT_OWNER_ONLY	NO_DIRECTION_FROM_IMAGE	VISIBLE_OWNER_NOT_WORD_CARD_STEM_OR_MEANING
P003	PROSE_FIELD	F003	f10r	HERBAL	H2	f10r.6	9	15|16|17|18|19|20|21|22|23	COMPOSITE_SEQUENCE|STATE_GATE > LINK_ACTIVE > PARAMETER_ASSIGN	H2	PICTURED_PART	H2_UPPER_STEM_FLOWER_BUD_LEAF_SET	PAGE_OWNER_ONLY	sichtbarer oberer Sprossposten derselben f10r-Pflanze	Blüte, Knospe und Blattgruppen treffen sichtbar den oberen Stängel	ganze f10r-Pflanze ohne Teiltrennung	MEDIUM	SPECIES_AND_PREPARATION_IMAGE_DEFAULT_REMOVED; VISIBLE_PLANT_OWNER_ONLY	NO_DIRECTION_FROM_IMAGE	VISIBLE_OWNER_NOT_WORD_CARD_STEM_OR_MEANING
P004	PROSE_FIELD	F004	f10r	HERBAL	H2	f10r.8	8	24|25|26|27|28|29|30|31	COMPOSITE_SEQUENCE|LINK_ACTIVE > LINK_ACTIVE > SELECT_PREVIOUS > LINK_ACTIVE > PARAMETER_ASSIGN	H2	PICTURED_PART	H2_UPPER_STEM_FLOWER_BUD_LEAF_SET	INHERITED_VISIBLE	sichtbarer oberer Sprossposten derselben f10r-Pflanze	Blüte, Knospe und Blattgruppen treffen sichtbar den oberen Stängel	ganze f10r-Pflanze ohne Teiltrennung	MEDIUM	SPECIES_AND_PREPARATION_IMAGE_DEFAULT_REMOVED; VISIBLE_PLANT_OWNER_ONLY	NO_DIRECTION_FROM_IMAGE	VISIBLE_OWNER_NOT_WORD_CARD_STEM_OR_MEANING
P005	PROSE_FIELD	F005	f10r	HERBAL	H2	f10r.9	7	32|33|34|35|36|37|38	COMPOSITE_SEQUENCE|LINK_ACTIVE > LINK_ACTIVE	H2	PICTURED_PART	H2_UPPER_STEM_FLOWER_BUD_LEAF_SET	INHERITED_VISIBLE	sichtbarer oberer Sprossposten derselben f10r-Pflanze	Blüte, Knospe und Blattgruppen treffen sichtbar den oberen Stängel	ganze f10r-Pflanze ohne Teiltrennung	MEDIUM	SPECIES_AND_PREPARATION_IMAGE_DEFAULT_REMOVED; VISIBLE_PLANT_OWNER_ONLY	NO_DIRECTION_FROM_IMAGE	VISIBLE_OWNER_NOT_WORD_CARD_STEM_OR_MEANING
P006	PROSE_FIELD	F006	f11r	HERBAL	H3	f11r.1	7	39|40|41|42|43|44|45	COMPOSITE_SEQUENCE|STATE_GATE	H3	WHOLE_PLANT	H3_WHOLE_DENSE_CROWN_PLANT	PAGE_OWNER_ONLY	gesamte dichtkronige f11r-Pflanze des laufenden Artikels	eine zusammenhängende Krone über mehreren Stielen und einem gekreuzten Wurzelkomplex	ein einzelner Kronen-, Stiel- oder Wurzelteil	HIGH	SPECIES_AND_PREPARATION_IMAGE_DEFAULT_REMOVED; VISIBLE_PLANT_OWNER_ONLY	NO_DIRECTION_FROM_IMAGE	VISIBLE_OWNER_NOT_WORD_CARD_STEM_OR_MEANING
P007	PROSE_FIELD	F007	f11r	HERBAL	H3	f11r.1	1	46	EXEMPLAR_ONLY|NONE	H3	WHOLE_PLANT	H3_WHOLE_DENSE_CROWN_PLANT	INHERITED_VISIBLE	gesamte dichtkronige f11r-Pflanze des laufenden Artikels	eine zusammenhängende Krone über mehreren Stielen und einem gekreuzten Wurzelkomplex	ein einzelner Kronen-, Stiel- oder Wurzelteil	HIGH	SPECIES_AND_PREPARATION_IMAGE_DEFAULT_REMOVED; VISIBLE_PLANT_OWNER_ONLY	NO_DIRECTION_FROM_IMAGE	VISIBLE_OWNER_NOT_WORD_CARD_STEM_OR_MEANING
P008	PROSE_FIELD	F008	f11r	HERBAL	H3	f11r.4	5	47|48|49|50|51	COMPOSITE_SEQUENCE|PARAMETER_ASSIGN	H3	WHOLE_PLANT	H3_WHOLE_DENSE_CROWN_PLANT	INHERITED_VISIBLE	gesamte dichtkronige f11r-Pflanze des laufenden Artikels	eine zusammenhängende Krone über mehreren Stielen und einem gekreuzten Wurzelkomplex	ein einzelner Kronen-, Stiel- oder Wurzelteil	HIGH	SPECIES_AND_PREPARATION_IMAGE_DEFAULT_REMOVED; VISIBLE_PLANT_OWNER_ONLY	NO_DIRECTION_FROM_IMAGE	VISIBLE_OWNER_NOT_WORD_CARD_STEM_OR_MEANING
P009	PROSE_FIELD	F009	f11r	HERBAL	H3	f11r.7	4	52|53|54|55	COMPOSITE_SEQUENCE|STATE_GATE	H3	WHOLE_PLANT	H3_WHOLE_DENSE_CROWN_PLANT	INHERITED_VISIBLE	gesamte dichtkronige f11r-Pflanze des laufenden Artikels	eine zusammenhängende Krone über mehreren Stielen und einem gekreuzten Wurzelkomplex	ein einzelner Kronen-, Stiel- oder Wurzelteil	HIGH	SPECIES_AND_PREPARATION_IMAGE_DEFAULT_REMOVED; VISIBLE_PLANT_OWNER_ONLY	NO_DIRECTION_FROM_IMAGE	VISIBLE_OWNER_NOT_WORD_CARD_STEM_OR_MEANING
P010	PROSE_FIELD	F010	f55v	HERBAL	H4	f55v.5	5	56|57|58|59|60	COMPOSITE_SEQUENCE|PARAMETER_ASSIGN > PARAMETER_ASSIGN	H4	WHOLE_PLANT	H4_WHOLE_BROAD_LEAF_PLANT	PAGE_OWNER_ONLY	gesamte breitblättrige f55v-Pflanze des laufenden Artikels	Mittelstängel verbindet Wurzel, große Blattmasse und Endfächer	oberer Endfächer oder unterer Wurzelast als gesonderter Posten	HIGH	SPECIES_AND_PREPARATION_IMAGE_DEFAULT_REMOVED; VISIBLE_PLANT_OWNER_ONLY	NO_DIRECTION_FROM_IMAGE	VISIBLE_OWNER_NOT_WORD_CARD_STEM_OR_MEANING
