owner_row	unit_kind	unit_id	page	section	record_or_diagram	source_locus	member_count	v69_formal_role	ownership_status	smallest_visible_owner	silent_argument_default	strongest_rival	confidence	v69_must_change	change_reason	revision_family	semantic_ceiling
OWN001	PROSE_FIELD	F001	f10r	HERBAL	H1	f10r.2	10	COMPOSITE_SEQUENCE	DIRECT_VISIBLE	PLANT_10_ROOTSTOCK	Der ausgelassene Besitzer ist der sichtbare untere Wurzelstock von PLANT_10; das Verfahren bleibt EXEMPLAR_VALUE_UNKNOWN.	PLANT_10_WHOLE_PLANT	MEDIUM	YES	V70 zieht enge Art-, Zubereitungs- und Gebrauchswerte auf sichtbare Pflanzenteile oder Exemplarinhalt zurück.	H_ROOT	VISIBLE_OWNER_DEFAULT_NOT_CARD_OR_STEM_MEANING
OWN002	PROSE_FIELD	F002	f10r	HERBAL	H1	f10r.5	4	COMPOSITE_SEQUENCE	INHERITED_VISIBLE	PLANT_10_ROOTSTOCK	Führe denselben recordlokalen Wurzelstockbesitzer aus F001 fort; ein Rest oder Auszug ist nur Exemplarinhalt.	PLANT_10_WHOLE_PLANT	MEDIUM	YES	V70 zieht enge Art-, Zubereitungs- und Gebrauchswerte auf sichtbare Pflanzenteile oder Exemplarinhalt zurück.	H_ROOT	VISIBLE_OWNER_DEFAULT_NOT_CARD_OR_STEM_MEANING
OWN003	PROSE_FIELD	F003	f10r	HERBAL	H2	f10r.6	9	COMPOSITE_SEQUENCE	DIRECT_VISIBLE	PLANT_10_OPEN_HEAD_AND_UPPER_LEAF_TIER	Der neue H2-Posten nimmt den offenen Kopf samt oberem Blattbereich als sichtbaren Teilbesitzer.	PLANT_10_WHOLE_PLANT	MEDIUM	YES	V70 zieht enge Art-, Zubereitungs- und Gebrauchswerte auf sichtbare Pflanzenteile oder Exemplarinhalt zurück.	H_HEADS	VISIBLE_OWNER_DEFAULT_NOT_CARD_OR_STEM_MEANING
OWN004	PROSE_FIELD	F004	f10r	HERBAL	H2	f10r.8	8	COMPOSITE_SEQUENCE	DIRECT_VISIBLE	PLANT_10_CLOSED_BUD_OR_UPPER_TIP	Der zweite H2-Posten nimmt die sichtbar geschlossene Knospe beziehungsweise obere Spitze als Gegenstück.	PLANT_10_OPEN_HEAD	MEDIUM	YES	V70 zieht enge Art-, Zubereitungs- und Gebrauchswerte auf sichtbare Pflanzenteile oder Exemplarinhalt zurück.	H_HEADS	VISIBLE_OWNER_DEFAULT_NOT_CARD_OR_STEM_MEANING
OWN005	PROSE_FIELD	F005	f10r	HERBAL	H2	f10r.9	7	COMPOSITE_SEQUENCE	INHERITED_VISIBLE	PLANT_10_TWO_HEAD_STAGE_SET	Der Abschluss führt die beiden zuvor gesetzten sichtbaren Kopf- oder Stufenbesitzer gemeinsam; Mischung und Produkt bleiben unbekannt.	PLANT_10_WHOLE_PLANT	LOW	YES	V70 zieht enge Art-, Zubereitungs- und Gebrauchswerte auf sichtbare Pflanzenteile oder Exemplarinhalt zurück.	H_HEADS	VISIBLE_OWNER_DEFAULT_NOT_CARD_OR_STEM_MEANING
OWN006	PROSE_FIELD	F006	f11r	HERBAL	H3	f11r.1	7	COMPOSITE_SEQUENCE	DIRECT_VISIBLE	PLANT_11_FLOWERLET_SET_AND_CANOPY	Der Artikel eröffnet die sichtbare blaue Blütenkopfmenge mit ihrer dichten Krone als Teilbesitzer.	PLANT_11_WHOLE_PLANT	MEDIUM	YES	V70 zieht enge Art-, Zubereitungs- und Gebrauchswerte auf sichtbare Pflanzenteile oder Exemplarinhalt zurück.	H_CANOPY	VISIBLE_OWNER_DEFAULT_NOT_CARD_OR_STEM_MEANING
OWN007	PROSE_FIELD	F007	f11r	HERBAL	H3	f11r.1	1	EXEMPLAR_ONLY	DIRECT_VISIBLE	PLANT_11_FLOWERLET_SET	Eine nicht weiter identifizierte Teilmenge der sichtbaren blauen Köpfe wird zurückgestellt.	PLANT_11_CANOPY	MEDIUM	YES	V70 zieht enge Art-, Zubereitungs- und Gebrauchswerte auf sichtbare Pflanzenteile oder Exemplarinhalt zurück.	H_CANOPY	VISIBLE_OWNER_DEFAULT_NOT_CARD_OR_STEM_MEANING
OWN008	PROSE_FIELD	F008	f11r	HERBAL	H3	f11r.4	5	COMPOSITE_SEQUENCE	INHERITED_VISIBLE	PLANT_11_CANOPY_DERIVED_PORTION	Nimm den im selben Record eröffneten Kronenposten wieder auf; Gefäß und Produkt bleiben exemplarabhängig.	PLANT_11_FLOWERLET_SET	LOW	YES	V70 zieht enge Art-, Zubereitungs- und Gebrauchswerte auf sichtbare Pflanzenteile oder Exemplarinhalt zurück.	H_CANOPY	VISIBLE_OWNER_DEFAULT_NOT_CARD_OR_STEM_MEANING
OWN009	PROSE_FIELD	F009	f11r	HERBAL	H3	f11r.7	4	COMPOSITE_SEQUENCE	INHERITED_VISIBLE	PLANT_11_RESERVED_FLOWERLET_PORTION	Führe die in F007 reservierte sichtbare Blütenkopfportion als stilles Argument fort.	PLANT_11_CANOPY	MEDIUM	YES	V70 zieht enge Art-, Zubereitungs- und Gebrauchswerte auf sichtbare Pflanzenteile oder Exemplarinhalt zurück.	H_CANOPY	VISIBLE_OWNER_DEFAULT_NOT_CARD_OR_STEM_MEANING
OWN010	PROSE_FIELD	F010	f55v	HERBAL	H4	f55v.5	5	COMPOSITE_SEQUENCE	DIRECT_VISIBLE	PLANT_55_BROAD_LEAF_MASS	Der erste Posten gehört der großen sichtbaren Blattmasse; Medium und Verarbeitung bleiben unbekannt.	PLANT_55_WHOLE_PLANT	HIGH	YES	V70 zieht enge Art-, Zubereitungs- und Gebrauchswerte auf sichtbare Pflanzenteile oder Exemplarinhalt zurück.	H_LEAF	VISIBLE_OWNER_DEFAULT_NOT_CARD_OR_STEM_MEANING
