selection_row	selected_from_role	unit_kind	unit_id	page	section	record_or_diagram	locus	member_count	owner_status	selected_visible_owner	silent_argument_default	visible_basis	strongest_rival	confidence	v69_revision	semantic_ceiling
V71S001	R2_HISTORICAL	PROSE_FIELD	F001	f10r	HERBAL	H1	f10r.2	10	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	One continuous axis joins leaves, flower, terminal form, and underground swellings; no water or implement is visible.	A flower-, leaf-, or underground-part-specific subarticle.	0.76	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	VISIBLE_OWNER_OR_ARTICLE_FRAME_NOT_CARD_MEANING
V71S002	R2_HISTORICAL	PROSE_FIELD	F002	f10r	HERBAL	H1	f10r.5	4	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	One continuous axis joins leaves, flower, terminal form, and underground swellings; no water or implement is visible.	A flower-, leaf-, or underground-part-specific subarticle.	0.76	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	VISIBLE_OWNER_OR_ARTICLE_FRAME_NOT_CARD_MEANING
V71S003	R2_HISTORICAL	PROSE_FIELD	F003	f10r	HERBAL	H2	f10r.6	9	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	One continuous axis joins leaves, flower, terminal form, and underground swellings; no water or implement is visible.	A flower-, leaf-, or underground-part-specific subarticle.	0.76	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	VISIBLE_OWNER_OR_ARTICLE_FRAME_NOT_CARD_MEANING
V71S004	R2_HISTORICAL	PROSE_FIELD	F004	f10r	HERBAL	H2	f10r.8	8	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	One continuous axis joins leaves, flower, terminal form, and underground swellings; no water or implement is visible.	A flower-, leaf-, or underground-part-specific subarticle.	0.76	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	VISIBLE_OWNER_OR_ARTICLE_FRAME_NOT_CARD_MEANING
V71S005	R2_HISTORICAL	PROSE_FIELD	F005	f10r	HERBAL	H2	f10r.9	7	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	One continuous axis joins leaves, flower, terminal form, and underground swellings; no water or implement is visible.	A flower-, leaf-, or underground-part-specific subarticle.	0.76	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	VISIBLE_OWNER_OR_ARTICLE_FRAME_NOT_CARD_MEANING
V71S006	R2_HISTORICAL	PROSE_FIELD	F006	f11r	HERBAL	H3	f11r.1	7	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	Crown, blooms, pale axes, and crossed root complex form one continuous specimen.	Several compressed shoots or separate specimens.	0.72	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	VISIBLE_OWNER_OR_ARTICLE_FRAME_NOT_CARD_MEANING
V71S007	R2_HISTORICAL	PROSE_FIELD	F007	f11r	HERBAL	H3	f11r.1	1	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	Crown, blooms, pale axes, and crossed root complex form one continuous specimen.	Several compressed shoots or separate specimens.	0.72	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	VISIBLE_OWNER_OR_ARTICLE_FRAME_NOT_CARD_MEANING
V71S008	R2_HISTORICAL	PROSE_FIELD	F008	f11r	HERBAL	H3	f11r.4	5	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	Crown, blooms, pale axes, and crossed root complex form one continuous specimen.	Several compressed shoots or separate specimens.	0.72	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	VISIBLE_OWNER_OR_ARTICLE_FRAME_NOT_CARD_MEANING
V71S009	R2_HISTORICAL	PROSE_FIELD	F009	f11r	HERBAL	H3	f11r.7	4	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	Crown, blooms, pale axes, and crossed root complex form one continuous specimen.	Several compressed shoots or separate specimens.	0.72	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	VISIBLE_OWNER_OR_ARTICLE_FRAME_NOT_CARD_MEANING
V71S010	R2_HISTORICAL	PROSE_FIELD	F010	f55v	HERBAL	H4	f55v.5	5	PAGE_OWNER_ONLY	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	The uninterrupted whole plant remains the subject across all four text pockets; a source recipe may silently supply an unpictured material or use.	The central stem continuously joins spray, leaf mass, and root; text pockets are contour-shaped leftovers.	One pocket per leaf, inflorescence, root, or independent grotesque creature.	0.81	REPLACE_OWNER; BLOCK_POCKETS_NOT_PART_LABELS	VISIBLE_OWNER_OR_ARTICLE_FRAME_NOT_CARD_MEANING
