revision_id	revision_family	affected_units	v69_owner_or_default	v71_visible_owner_or_default	reason	formal_ids_changed	semantic_status
REV01	A67_LEFT_INNER	7	seven named planetary rows	seven anonymous inner stations	Repeated stations may be retained without planetary labels.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV02	A67_LEFT_PROSE	2	medical lookup instructions	left upper prose block	Prose placement is visible; instruction meaning is not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV03	A67_LEFT_SECTORS	12	12 semantic zodiac columns	12 anonymous left-wheel sectors	The local sector series is visible; zodiac values are not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV04	A67_PAGE_TEXT	30	medical lookup clauses	paired-wheel page text	The exact subwheel owner cannot be reconstructed from the frozen table.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV05	A67_RIGHT_PROSE	3	medical election instruction	right lower prose block	The three prose lines are visible; their semantics are not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV06	A67_RIGHT_SECTORS	12	12 named astrological houses	12 anonymous right-wheel sectors	The sector series is visible; house meanings are not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV07	A67_RIGHT_STATIONS	8	eight named election checks	eight anonymous disk/crescent stations	Visible station topology does not identify conditions.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV08	A68_CENTRE_AMBIG	1	one lunar centre	unresolved among five face centres	The visible sheet has multiple face disks.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV09	A68_HEADERS	7	one catalogue header	panel-local star-field headers	The sheet has multiple panels and header blocks.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV10	A68_LEGEND	1	one central lunar legend	multipanel atlas legend	No unique centre owns the legend visibly.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV11	A68_STATIONS	28	28 named lunar mansions around one centre	28 anonymous source-position star stations	Addresses survive, names and one-centre geometry do not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV12	A69_LEFT_28	28	28 ordered medical or technical rules	28 anonymous places on the left spoke wheel	Only a local 28-place inventory survives the image.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV13	A69_MIDDLE_RING	1	second rule band	middle lobed-wheel ring text	The wheel is a local namespace.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV14	A69_PROSE	1	first rule band	separate upper-right prose block	The prose is outside the three wheels.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV15	A69_RIGHT_RING	1	third rule band	right face-petal-wheel ring text	The wheel is a local namespace.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV16	B81_SHARED	24	one directed thermal circulation network	shared two-tier figure pool or tableau	One dominant common enclosure is visible; flow and substance are absent.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV17	B82_LOWER	12	global filter/drain/refill network	lower irregular shared figure pool	The lower green field is a local owner and is not connected to every upper vignette.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV18	B82_MIDLEFT	4	global machine continuation	middle-left hand/device station	A local contact and strand device exists without page-wide pipe continuity.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV19	B82_RECLINING	2	global machine continuation	reclining figure funnel-vessel	The reclining scene is separately bounded.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV20	B82_UPPER	8	fields in one global f82 process	upper paired arc/cylinder assembly	This local assembly is connected internally but not to the lower page.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV21	B83_ARCH	10	directed main-basin cycle	arch-linked lower pair	The pair is visibly connected, but direction and contents are not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV22	B83_LEFT	11	filter/return subsystem	left descending blue-channel assembly	The channel is visible; filter and direction are not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV23	B83_MIDDLE	17	global C/W/L/F/U/R network	middle figure-vessel series	Several local scenes exist; precise field-to-scene binding is weak.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV24	B83_RIGHT	9	filter/return subsystem	right S-conduit and multi-ended hub	The connection is visible; inlet, outlet and use are not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV25	B83_TAIL_B5	5	warm transfer basin E	unresolved local f83 scene	No unique B5 image anchor survives.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV26	B83_TAIL_B6	2	cold filter basin F	unresolved local f83 scene	No unique B6 image anchor survives.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV27	B83_UPPER	11	global C/W/L/F/U/R network	upper marginal figure-vessel series	Several local scenes exist; precise field-to-scene binding is weak.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV28	H_CANOPY	4	violet remedies and products	PLANT_11 flowerlet/canopy portions	A flower-rich canopy is visible; species and remedy are not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV29	H_HEADS	3	two named therapeutic flower fractions	open-head versus closed-bud visible part set	The two visible stages are economical owners, but product and use remain exemplar values.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV30	H_LEAF	4	Allium-like leaf processing and wound use	PLANT_55 leaf mass with unresolved part relation	Broad leaves and crown are visible; medium and use are not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV31	H_ROOT	2	specific plant name plus distilled root-water process	anonymous PLANT_10 rootstock owner	The root is visible; plant name, water and apparatus are not.	NO	CREATIVE_VISIBLE_OWNER_ONLY
REV32	H_SCHEMATIC	7	sundew skin and chest preparations	PLANT_56 whole plant and head sets	The schematic plant supports parts but no named species or therapy.	NO	CREATIVE_VISIBLE_OWNER_ONLY
