revision_id	unit_scope	prior_v69_default	v71_image_owner	revision_action	historical_basis	strongest_rival	confidence	mapped_unit_count
H10_WHOLE	f10r/F001-F005	Two operational records and possible part-specific defaults.	One whole broad-toothed, radial-flowered herb owns the article.	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	Illustrated simple/herbal article practice; an unpictured recipe may follow the plant.	Flower-, leaf-, and underground-part subarticles.	0.76	5
H11_WHOLE	f11r/F006-F009	A narrow named plant and operation-bearing record.	One whole dense blue-flowered crown plant owns the article.	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	A whole illustrated simple can govern several prose fields without one field per part.	Several compressed shoots or specimens.	0.72	4
H55_WHOLE	f55v/F010-F013	Four text pockets read as distinct plant-part/process slots.	One uninterrupted broad-leaf panicled plant, including mnemonic root, owns all pockets.	REPLACE_OWNER; BLOCK_POCKETS_NOT_PART_LABELS	Image-first layout around a central plant is ordinary in illustrated herbals.	Root grotesque as an independently named creature or plant identity.	0.81	4
H56_WHOLE	f56r/F014-F020	Individual heads assigned separate preparation meanings.	One multihead spiny or emblematic herb owns the article.	REPLACE_OWNER; RETAIN_FIELD_ORDER_ONLY	Schematic growth stages may coexist in one herbal image without defining separate entries.	Several specimens or a sequence of growth stages.	0.70	7
B81_PAGE	f81v loci 2/7	A seven-stage preparation/cycle owner.	The shared enclosure and figure group own the page-level prose.	WITHDRAW_CYCLE; REPLACE_WITH_SHARED_VISIBLE_OWNER	Late-medieval bath manuscripts place grouped nude bathers inside one basin.	Two separate figure-row episodes.	0.63	4
B81_POOL	f81v loci 17-27	Successive process stations or named individual participants.	The prose inherits the one shared pool/enclosure; the final local locus may attach to its edge.	WITHDRAW_INDIVIDUAL_STAGE_NAMES; KEEP_SHARED_ASSEMBLY	A basin can own a regimen while individual users remain silent arguments.	Before/after rows or personified stages.	0.67	20
B82_UPPER	f82r loci 2-4	One page-wide impersonal circuit.	Upper paired arches, perforated cylinder, and two figure stations form one local assembly.	SPLIT_PAGE_OWNER_INTO_LOCAL_ASSEMBLIES; NO_FLOW_DIRECTION	Bath books and device books both permit locally bounded station scenes.	One abstract pipe network.	0.68	8
B82_CROSS	f82r locus 7	A continuation of the same page-wide station.	The four-arm crosspiece and its horizontal support line are the nearest local owner.	LOCALIZE_OWNER; NO_SOURCE_OR_SINK	Technical diagrams can isolate fittings, but their direction requires arrows or level evidence.	Decorative or cosmological emblem rather than fitting.	0.58	4
B82_RECLINED	f82r locus 19	A generic bath/process step in one circuit.	The reclined figure in a distinct funnel-footed vessel owns the nearby prose pocket.	LOCALIZE_OWNER_TO_FIGURE_VESSEL	Illustrated bath regimens can bind a text unit to a particular posture or vessel scene.	Personified state rather than patient/user.	0.72	2
B82_TRANSITION	f82r locus 23	A determinate station in one circuit.	No smallest owner is resolved between the reclined vessel and lower enclosure.	MARK_OWNER_UNRESOLVED	Text fitted into inter-image space need not label the closest contour.	Either adjacent local assembly.	0.38	3
B82_LOWER	f82r loci 26-27	A lower stage of one directional cycle.	The large irregular green enclosure, its figures, and terminating vertical marks form the owner.	LOCALIZE_OWNER; WITHDRAW_STAGE_NUMBER_AND_DIRECTION	A collective basin scene is historically simpler than an unseen modern closed circuit.	Allegorical region with personified states.	0.69	9
B83_MARGIN	f83r loci 3-16	One main basin/circuit owner.	The vertical left-margin sequence of small figure stations owns adjacent prose by inheritance.	SPLIT_SINGLE_CIRCUIT; LOCAL_MARGIN_OWNER	Marginal station series can organize exempla without implying hydraulic continuity.	Pure page ornament or one continuous process stage series.	0.62	28
B83_LEFT	f83r loci 20-24	One directed return/irrigation circuit.	The left vessel, over-arch, blue lower channel, and second figure station form one connected owner.	KEEP_CONNECTIVITY; WITHDRAW_DIRECTION_AND_FLUID	Taccola-type hydraulic drawing calibrates apparatus, not the identity or direction of contents.	A therapeutic posture scene rather than a device.	0.67	10
B83_GAP	f83r loci 25-28	Continuation of one page-wide circuit.	The text lies between two visibly disconnected lower assemblies; no owner is resolved.	MARK_DISCONNECTION_AND_OWNER_UNRESOLVED	Separate vignette ownership is normal in illustrated compilations.	Left assembly or right S-tube assembly.	0.36	11
B83_RIGHT	f83r loci 35-54	A continuation/return stage of the left apparatus.	The right figure cup, S-tube, and blue lobed terminal node form a separate local owner.	SPLIT_FROM_LEFT_ASSEMBLY; KEEP_LOCAL_CONNECTIVITY_ONLY	Visible tubing supports a formal apparatus relation but no source, sink, or medical gloss.	A personified state chain.	0.71	16
A67_INNER12	f67r2 loci 1-12	Twelve named sign/body columns in a 7x12 lookup matrix.	Each locus owns only a local radial sector/address in the paired-wheel page.	KEEP_LOCAL_SLOT; WITHDRAW_SIGN_NAME_BODY_NAME_AND_MATRIX	Twelvefold rings are period-plausible, but the drawing does not expose a rectangular cross-product.	Circumferential prose fragments rather than discrete sector labels.	0.61	12
A67_BANDS	f67r2 non-key loci 13-51	Lookup instructions mapped to one semantic matrix.	The source-to-side crosswalk is absent; owner remains unresolved between the two wheels.	WITHDRAW_LOOKUP_PROSE; MARK_WHEEL_OWNER_UNRESOLVED	Concentric bands can carry legends or rules, but adjacency alone does not choose a wheel or sector.	A page-level legend applying to both wheels.	0.34	32
