edition	identity	mode	at	word	target	status	reading
ZL3b	SAME	MASS	ZL3b|f2v.1|G006	chor	X1	MENTION_ASSUMED	Gegenstand X1 der Klasse chor
ZL3b	SAME	MASS	ZL3b|f2v.1|G007	dair	X1	AMOUNT_ASSUMED	Menge(X1)=A·U
ZL3b	SAME	MASS	ZL3b|f2v.2|G004	shol	X1	PROPERTY_ASSUMED	X1 ist feucht [PROPERTY_ASSUMED]
ZL3b	SAME	MASS	ZL3b|f2v.2|G007	qoty	X1	PROPERTY_ASSUMED	X1 ist kalt [PROPERTY_ASSUMED]
ZL3b	SAME	MASS	ZL3b|f2v.2|G008	chor	X1	MENTION_ASSUMED	Gegenstand X1 der Klasse chor
ZL3b	SAME	MASS	ZL3b|f2v.2|G009	daiin	X1	AMOUNT_ASSUMED	Menge(X1)=C·U
ZL3b	SAME	MASS	ZL3b|f2v.3|G002	chor	X1	MENTION_ASSUMED	Gegenstand X1 der Klasse chor
ZL3b	SAME	MASS	ZL3b|f2v.3|G004	chol	X1	CONFLICT	X1 ist trocken [CONFLICT]
ZL3b	SAME	MASS	ZL3b|f2v.3|G008	daiin	X1	AMOUNT_ASSUMED	Menge(X1)=C·U
ZL3b	SAME	GRADE	ZL3b|f2v.1|G006	chor	X1	MENTION_ASSUMED	Gegenstand X1 der Klasse chor
ZL3b	SAME	GRADE	ZL3b|f2v.1|G007	dair	X1	MISSING_AXIS	X1: ?Eigenschaft im Grad A [MISSING_AXIS]
ZL3b	SAME	GRADE	ZL3b|f2v.2|G004	shol	X1	PROPERTY_ASSUMED	X1 ist feucht [PROPERTY_ASSUMED]
ZL3b	SAME	GRADE	ZL3b|f2v.2|G007	qoty	X1	PROPERTY_ASSUMED	X1 ist kalt [PROPERTY_ASSUMED]
ZL3b	SAME	GRADE	ZL3b|f2v.2|G008	chor	X1	MENTION_ASSUMED	Gegenstand X1 der Klasse chor
ZL3b	SAME	GRADE	ZL3b|f2v.2|G009	daiin	X1	GRADE_ASSUMED	X1: kalt im Grad C [GRADE_ASSUMED]
ZL3b	SAME	GRADE	ZL3b|f2v.3|G002	chor	X1	MENTION_ASSUMED	Gegenstand X1 der Klasse chor
ZL3b	SAME	GRADE	ZL3b|f2v.3|G004	chol	X1	CONFLICT	X1 ist trocken [CONFLICT]
ZL3b	SAME	GRADE	ZL3b|f2v.3|G008	daiin	X1	GRADE_ASSUMED	X1: trocken im Grad C [GRADE_ASSUMED]
ZL3b	NEW	MASS	ZL3b|f2v.1|G006	chor	X1	MENTION_ASSUMED	Gegenstand X1 der Klasse chor
ZL3b	NEW	MASS	ZL3b|f2v.1|G007	dair	X1	AMOUNT_ASSUMED	Menge(X1)=A·U
