event_id	page	record	statement_id	source_hand	target_hand	exact_card_id	component_recipe	reading_de	source_surface	target_surface	surface_changed	render_mode	selection_tier	target_hand_evidence_events	card_and_meaning_preserved
E001	f10r	H1	H1-S001	HAND_1	HAND_2	PROC001	CH+E+Y	ENTNEHMEN · KURZ · DIES	dchey	dchey	NO	LOCAL_WHOLE_CARD_PRESERVED	NO_OTHER_HAND_CARD_MODEL	LOCAL_MODEL_COPY	YES
E002	f10r	H1	H1-S001	HAND_1	HAND_2	PROC002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	cthoor	cthoor	NO	LOCAL_WHOLE_CARD_PRESERVED	NO_OTHER_HAND_CARD_MODEL	LOCAL_MODEL_COPY	YES
E003	f10r	H1	H1-S001	HAND_1	HAND_2	PROC003	AR	QUELLE	char	char	NO	CROSS_HAND_SHARED_CARD_RENDERER	MATCH_LINE_FIRST_AND_PREV_DY	E105,E199,E238	YES
E004	f10r	H1	H1-S001	HAND_1	HAND_2	PROC004	T+Y	ANWENDEN · DIES	chty	chety	YES	CROSS_HAND_SHARED_CARD_RENDERER	MATCH_LINE_FIRST_AND_PREV_DY	E311	YES
E005	f10r	H1	H1-S001	HAND_1	HAND_2	PROC005	OS	FACH	os	os	NO	LOCAL_WHOLE_CARD_PRESERVED	NO_OTHER_HAND_CARD_MODEL	LOCAL_MODEL_COPY	YES
E006	f10r	H1	H1-S001	HAND_1	HAND_2	PROC006	CH+AIR	ENTNEHMEN · WASSER	chair	chair	NO	LOCAL_WHOLE_CARD_PRESERVED	NO_OTHER_HAND_CARD_MODEL	LOCAL_MODEL_COPY	YES
E007	f10r	H1	H1-S001	HAND_1	HAND_2	PROC007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	otytchol	otytchol	NO	LOCAL_WHOLE_CARD_PRESERVED	NO_OTHER_HAND_CARD_MODEL	LOCAL_MODEL_COPY	YES
E008	f10r	H1	H1-S001	HAND_1	HAND_2	PROC008	OK+Y	ANSETZEN · DIES	oky	qoky	YES	CROSS_HAND_SHARED_CARD_RENDERER	MATCH_LINE_FIRST_AND_PREV_DY	E140,E188,E195,E251,E323	YES
E009	f10r	H1	H1-S001	HAND_1	HAND_2	PROC009	AIIN	SOLLMASS	daiin	daiin	NO	CROSS_HAND_SHARED_CARD_RENDERER	MATCH_LINE_FIRST_AND_PREV_DY	E057,E116,E118,E207,E217,E233,E299,E369	YES
E010	f10r	H1	H1-S001	HAND_1	HAND_2	PROC010	E+T+Y	KURZ · ANWENDEN · DIES	etyd	etyd	NO	LOCAL_WHOLE_CARD_PRESERVED	NO_OTHER_HAND_CARD_MODEL	LOCAL_MODEL_COPY	YES
E011	f10r	H1	H1-S002	HAND_1	HAND_2	PROC011	OK+Y	ANSETZEN · DIES	qokchy	qokchy	NO	LOCAL_WHOLE_CARD_PRESERVED	NO_OTHER_HAND_CARD_MODEL	LOCAL_MODEL_COPY	YES
E012	f10r	H1	H1-S002	HAND_1	HAND_2	PROC012	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	qotchol	qotchol	NO	LOCAL_WHOLE_CARD_PRESERVED	NO_OTHER_HAND_CARD_MODEL	LOCAL_MODEL_COPY	YES
E013	f10r	H1	H1-S002	HAND_1	HAND_2	PROC013	OL	WEITER	chol	ol	YES	CROSS_HAND_SHARED_CARD_RENDERER	MATCH_LINE_FIRST_AND_PREV_DY	E106,E110,E114,E124,E133,E135,E148,E154,E324,E366,E376,E378	YES
