lead_id	candidate_surface	candidate_recipe	candidate_value_de	best_prose_event_window	statement_ids	current_surface_sequence	current_recipe_sequence	current_reading_sequence_de	visible_card_count_before	visible_card_count_after_hypothetical	compression_decision	decision_reason	manuscript_edit_policy
X01	okaiiin	OK+IIN	Arbeitsstufe einsetzen	NONE	NONE	NONE	NONE	NONE	0	0	NO_LOCAL_PROSE_SITE	No adjacent OK+IIN cards exist.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X02	iokeeor	OK+OR	Bedingungsansatz einsetzen	E080,E081	H5-S001	otchor · choky	OT+OR | OK+Y	Folgeansatz | einsetzen	2	1	NUANCE_LOSS__KEEP_ASTRO_OR_FUTURE_PROSE	The window also contains OT and Y; iokeeor would erase following/current scope.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X03	olar	OL+AR	aus derselben Quelle weiter	E105,E106	B1-S002	sar · ol	AR | OL	davon | weiter	2	1	CLEAN_TWO_TO_ONE_SHORTENING	AR and OL are exactly the two meanings carried by olar.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X04	alaiin	AL+AIIN	Sollwert am Ziel setzen	E274,E275	B3-S021	saiin · shedal	AIIN | AL+SHED	Sollmaß | am Ziel absetzen	2	1	NUANCE_LOSS__KEEP_ASTRO_OR_FUTURE_PROSE	The target card also carries SHED; alaiin would lose settling.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X05	chedaiin	CHED_TRANSFER+AIIN	Sollwert überführen	E285,E286	B3-S026	cheedar · chldaiin	AR+CHED_TRANSFER | AIIN	Quelltransfer | Sollabsetzung	2	1	NUANCE_LOSS__KEEP_ASTRO_OR_FUTURE_PROSE	The two-card phrase also specifies AR; chedaiin would lose its source.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X06	eckhear	AR+CKHE	von der Quelle seihen	NONE	NONE	NONE	NONE	NONE	0	0	NO_LOCAL_PROSE_SITE	No adjacent AR+CKHE prose construction occurs.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X07	qotair	AIR+OT	zum nächsten Lauf wechseln	E300,E301	B3-S030	schedair · otchedy	AIR | OT+DY+CHED_TRANSFER	Weiterlauf | Folgetransfer; Schluss; Arbeitsschritt festsetzen	2	1	NUANCE_LOSS__KEEP_ASTRO_OR_FUTURE_PROSE	The local OT card also transfers and closes; qotair would lose both operations.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X08	otcheody	CHEO+OT	zum nächsten Auszug wechseln	NONE	NONE	NONE	NONE	NONE	0	0	NO_LOCAL_PROSE_SITE	No adjacent OT+CHEO prose construction occurs.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X09	saral	AL+AR	von der Quelle zum Ziel	E359,E360	B4-S016	dal · skar	AL | AR	dorthin | Quellausguss	2	1	CLEAN_TWO_TO_ONE_SHORTENING	AL and AR are exactly the source-target address pair carried by saral.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X10	salsain	AIN+AL	Portion am Ziel	E108,E109	B1-S002	olkain · al	OL+AIN | AL	weiterer Anteil | dorthin	2	1	NUANCE_LOSS__KEEP_ASTRO_OR_FUTURE_PROSE	The portion is explicitly under OL continuation; salsain would lose continuation.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X11	otokeeey	OK+OT	den folgenden Einsatz vollständig ausführen	E321,E322	B4-S003	otchey · qokeey	OT+Y | OK+E_GRADE+Y	das nächste | länger einwirken lassen	2	1	NUANCE_LOSS__KEEP_ASTRO_OR_FUTURE_PROSE	The phrase has current-item Y and a long rather than full grade.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
X12	okolar	AR+OK+OL	einsetzen und aus gleicher Quelle fortfahren	E104,E105,E106	B1-S002	okal · sar · ol	OK+AL | AR | OL	dorthin einsetzen | davon | weiter	3	1	NUANCE_LOSS__KEEP_ASTRO_OR_FUTURE_PROSE	The local chain also contains an AL target not represented in OK+OL+AR.	DO_NOT_REPLACE_VISIBLE_TEXT__USE_AS_FORWARD_WRITING_PREDICTION
