segment_id	clause_id	physical_page	segment_order	segment_kind	pattern_id	action_sequence	action_tokens	instruction_ids	spoken_segment_de
P937-S0001	P915-C001	f10r	1	SINGLE_ACTION	SINGLE_P	P	1	P917-I0001	einsetzen
P937-S0002	P915-C001	f10r	2	TAUGHT_MACRO	P928-F14	CH>O>CTH	3	P917-I0001	entnehmen, dann ausführen, dann bereitstellen
P937-S0003	P915-C001	f10r	3	TAUGHT_MACRO	HALTEN_DANN_AUSFUEHREN	SH>O	2	P917-I0002|P917-I0003	halten, dann den Gang ausführen
P937-S0004	P915-C001	f10r	4	SINGLE_ACTION	SINGLE_CTH	CTH	1	P917-I0003	bereitstellen
P937-S0005	P915-C001	f10r	5	SINGLE_ACTION	SINGLE_O	O	1	P917-I0003	ausführen
P937-S0006	P915-C001	f10r	6	TAUGHT_MACRO	ZWEIMAL_ENTNEHMEN	CH>CH	2	P917-I0004	zweimal nacheinander entnehmen
P937-S0007	P915-C001	f10r	7	SINGLE_ACTION	SINGLE_P	P	1	P917-I0005	einsetzen
P937-S0008	P915-C001	f10r	8	TAUGHT_MACRO	ENTNEHMEN_DANN_AUSFUEHREN	CH>O	2	P917-I0005	entnehmen und den Gang ausführen
P937-S0009	P915-C001	f10r	9	TAUGHT_MACRO	ENTNEHMEN_DANN_AUSFUEHREN	CH>O	2	P917-I0006	entnehmen und den Gang ausführen
P937-S0010	P915-C001	f10r	10	SINGLE_ACTION	SINGLE_P	P	1	P917-I0006	einsetzen
P937-S0011	P915-C001	f10r	11	SINGLE_ACTION	SINGLE_CH	CH	1	P917-I0006	entnehmen
P937-S0012	P915-C001	f10r	12	SINGLE_ACTION	SINGLE_P	P	1	P917-I0007	einsetzen
P937-S0013	P915-C001	f10r	13	TAUGHT_MACRO	ENTNEHMEN_DANN_ZUGEBEN	CH>K	2	P917-I0007|P917-I0008	entnehmen und zugeben
P937-S0014	P915-C001	f10r	14	SINGLE_ACTION	SINGLE_O	O	1	P917-I0008	ausführen
P937-S0015	P915-C001	f10r	15	SINGLE_ACTION	SINGLE_CH	CH	1	P917-I0009	entnehmen
P937-S0016	P915-C001	f10r	16	SINGLE_ACTION	SINGLE_CTH	CTH	1	P917-I0010	bereitstellen
P937-S0017	P915-C001	f10r	17	SINGLE_ACTION	SINGLE_O	O	1	P917-I0010	ausführen
P937-S0018	P915-C001	f10r	18	TAUGHT_MACRO	P928-F10	CH>T>CH	3	P917-I0011|P917-I0012	entnehmen, dann einstellen, dann entnehmen
P937-S0019	P915-C001	f10r	19	SINGLE_ACTION	SINGLE_T	T	1	P917-I0013	einstellen
P937-S0020	P915-C001	f10r	20	TAUGHT_MACRO	ENTNEHMEN_DANN_ANSETZEN	CH>OK	2	P917-I0013|P917-I0014	einen Anteil entnehmen und ansetzen
P937-S0021	P915-C001	f10r	21	SINGLE_ACTION	SINGLE_T	T	1	P917-I0015	einstellen
P937-S0022	P915-C001	f10r	22	SINGLE_ACTION	SINGLE_O	O	1	P917-I0016	ausführen
P937-S0023	P915-C001	f10r	23	TAUGHT_MACRO	P928-F04	T>CH>O	3	P917-I0017|P917-I0018	einstellen, dann entnehmen, dann ausführen
P937-S0024	P915-C001	f10r	24	SINGLE_ACTION	SINGLE_CTH	CTH	1	P917-I0018	bereitstellen
P937-S0025	P915-C001	f10r	25	SINGLE_ACTION	SINGLE_T	T	1	P917-I0019	einstellen
P937-S0026	P915-C001	f10r	26	SINGLE_ACTION	SINGLE_S	S	1	P917-I0020	auswählen
P937-S0027	P915-C001	f10r	27	TAUGHT_MACRO	ZWEIMAL_ENTNEHMEN	CH>CH	2	P917-I0021|P917-I0022	zweimal nacheinander entnehmen
P937-S0028	P915-C001	f10r	28	SINGLE_ACTION	SINGLE_CTH	CTH	1	P917-I0022	bereitstellen
P937-S0029	P915-C001	f10r	29	SINGLE_ACTION	SINGLE_CTH	CTH	1	P917-I0023	bereitstellen
P937-S0030	P915-C001	f10r	30	SINGLE_ACTION	SINGLE_O	O	1	P917-I0023	ausführen
P937-S0031	P915-C001	f10r	31	TAUGHT_MACRO	P928-F27	CH>T>CH>O	4	P917-I0024|P917-I0025	entnehmen, dann einstellen, dann entnehmen, dann ausführen
P937-S0032	P915-C001	f10r	32	SINGLE_ACTION	SINGLE_R	R	1	P917-I0025	kennzeichnen
P937-S0033	P915-C001	f10r	33	SINGLE_ACTION	SINGLE_O	O	1	P917-I0026	ausführen
P937-S0034	P915-C002	f10r	1	TAUGHT_MACRO	ANSETZEN_DANN_ENTNEHMEN	OK>CH	2	P917-I0027|P917-I0028	ansetzen, dann einen Anteil entnehmen
P937-S0035	P915-C002	f10r	2	SINGLE_ACTION	SINGLE_CTH	CTH	1	P917-I0029	bereitstellen
P937-S0036	P915-C002	f10r	3	SINGLE_ACTION	SINGLE_R	R	1	P917-I0030	kennzeichnen
P937-S0037	P915-C002	f10r	4	SINGLE_ACTION	SINGLE_CTH	CTH	1	P917-I0031	bereitstellen
P937-S0038	P915-C002	f10r	5	SINGLE_ACTION	SINGLE_CH	CH	1	P917-I0032	entnehmen
P937-S0039	P915-C002	f10r	6	SINGLE_ACTION	SINGLE_CTH	CTH	1	P917-I0033	bereitstellen
P937-S0040	P915-C002	f10r	7	TAUGHT_MACRO	AUSFUEHREN_BIS_BEREIT	O>CTH	2	P917-I0034	den Gang bis zum Bereitschaftspunkt ausführen
P937-S0041	P915-C002	f10r	8	TAUGHT_MACRO	EINSTELLEN_DANN_ANSETZEN	T>OK	2	P917-I0035|P917-I0036	einstellen und danach ansetzen
P937-S0042	P915-C002	f10r	9	TAUGHT_MACRO	ZUGEBEN_DANN_ENTNEHMEN	K>CH	2	P917-I0037	zugeben, dann den bezeichneten Anteil entnehmen
P937-S0043	P915-C002	f10r	10	SINGLE_ACTION	SINGLE_T	T	1	P917-I0038	einstellen
P937-S0044	P915-C002	f10r	11	SINGLE_ACTION	SINGLE_CTH	CTH	1	P917-I0039	bereitstellen
