clause_id	physical_page	register	page_model	start_event	end_event	events	action_tokens	macro_segments	single_segments	macro_action_tokens	source_quantity_inventory	target_path_inventory	grade_inventory	end_reason	natural_macro_translation_de
P915-C001	f10r	HERBAL	PFLANZENZUBEREITUNG_MIT_BEREITSCHAFTSPRUEFUNG	P912-E0001	P912-E0039	39	49	11	22	27	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß	Ziel- oder Anschlussstelle;Durchlass	kurz	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: einsetzen; dann entnehmen, dann ausführen, dann bereitstellen; dann halten, dann den Gang ausführen; dann bereitstellen; dann ausführen; dann zweimal nacheinander entnehmen; dann einsetzen; dann entnehmen und den Gang ausführen; dann entnehmen und den Gang ausführen; dann einsetzen; dann entnehmen; dann einsetzen; dann entnehmen und zugeben; dann ausführen; dann entnehmen; dann bereitstellen; dann ausführen; dann entnehmen, dann einstellen, dann entnehmen; dann einstellen; dann einen Anteil entnehmen und ansetzen; dann einstellen; dann ausführen; dann einstellen, dann entnehmen, dann ausführen; dann bereitstellen; dann einstellen; dann auswählen; dann zweimal nacheinander entnehmen; dann bereitstellen; dann bereitstellen; dann ausführen; dann entnehmen, dann einstellen, dann entnehmen, dann ausführen; dann kennzeichnen; dann ausführen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß; Weg: Ziel- oder Anschlussstelle, Durchlass; Grad: kurz. Schritt schließen.
P915-C002	f10r	HERBAL	PFLANZENZUBEREITUNG_MIT_BEREITSCHAFTSPRUEFUNG	P912-E0040	P912-E0092	53	37	8	17	20	Entnahmestelle oder bezeichnetes Teil;Ansatz;Auszug;Sollmaß;Portion	NONE	NONE	PAGE_END_OPEN	Beim gezeigten Pflanzenmaterial: ansetzen, dann einen Anteil entnehmen; dann bereitstellen; dann kennzeichnen; dann bereitstellen; dann entnehmen; dann bereitstellen; dann den Gang bis zum Bereitschaftspunkt ausführen; dann einstellen und danach ansetzen; dann zugeben, dann den bezeichneten Anteil entnehmen; dann einstellen; dann bereitstellen; dann entnehmen, dann entnehmen, dann ausführen, dann zugeben; dann entnehmen; dann halten; dann entnehmen, dann zugeben, dann entnehmen; dann ausführen; dann ausführen; dann trennen; dann bereitstellen; dann ausführen, dann den nächsten Posten auswählen; dann einstellen; dann ausführen, dann entnehmen, dann ausführen; dann halten; dann bereitstellen; dann ausführen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Auszug, Sollmaß, Portion. Für die Fortsetzung offenlassen.
P915-C003	f11r	HERBAL	GEHALTENE_UND_ABGETRENNTE_PFLANZENPORTION	P912-E0093	P912-E0099	7	11	2	6	5	Sollmaß	Ziel- oder Anschlussstelle	kurz	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: einstellen; dann halten; dann halten, dann den Gang ausführen; dann trennen; dann halten; dann umleiten; dann halten; dann einstellen, dann entnehmen, dann ausführen. Einsatz: Sollmaß; Weg: Ziel- oder Anschlussstelle; Grad: kurz. Schritt schließen.
P915-C004	f11r	HERBAL	GEHALTENE_UND_ABGETRENNTE_PFLANZENPORTION	P912-E0100	P912-E0151	52	39	12	11	28	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß;Portion	weiterer Lauf	NONE	PAGE_END_OPEN	Beim gezeigten Pflanzenmaterial: halten, dann den Gang ausführen; dann einstellen; dann auswählen; dann den Gang bis zum Bereitschaftspunkt ausführen; dann ausführen; dann den Gang ausführen und danach zugeben; dann halten; dann einstellen; dann einstellen und danach ansetzen; dann zugeben; dann bereitstellen; dann zugeben, dann den bezeichneten Anteil entnehmen; dann entnehmen, dann entnehmen, dann ausführen, dann zugeben; dann einstellen; dann halten; dann halten und anschließend zugeben; dann bereitstellen; dann entnehmen und den Gang ausführen; dann ausführen, dann den nächsten Posten auswählen; dann entnehmen, dann zugeben, dann entnehmen; dann entnehmen, dann ausführen, dann bereitstellen; dann auswählen und ansetzen; dann bereitstellen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß, Portion; Weg: weiterer Lauf. Für die Fortsetzung offenlassen.
P915-C005	f13r	HERBAL	FUENF_KURZE_PFLANZENARBEITSGAENGE	P912-E0152	P912-E0193	42	40	8	23	17	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß	Ziel- oder Anschlussstelle	vollständig	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: einstellen; dann halten, dann den Gang ausführen; dann einsetzen; dann halten, dann den Gang ausführen; dann einsetzen; dann halten, dann den Gang ausführen; dann einsetzen; dann entnehmen; dann einsetzen; dann entnehmen; dann halten und anschließend zugeben; dann zugeben; dann auswählen; dann auswählen; dann entnehmen; dann halten, dann den Gang ausführen; dann auswählen; dann zugeben, dann den bezeichneten Anteil entnehmen; dann einstellen; dann zugeben; dann zugeben; dann ausführen; dann einstellen; dann entnehmen; dann halten, dann den Gang ausführen; dann ausführen; dann einstellen; dann zugeben; dann einsetzen; dann ausführen, dann einsetzen, dann entnehmen; dann trennen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß; Weg: Ziel- oder Anschlussstelle; Grad: vollständig. Schritt schließen.
P915-C006	f13r	HERBAL	FUENF_KURZE_PFLANZENARBEITSGAENGE	P912-E0194	P912-E0209	16	9	3	1	8	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß	Durchlass	NONE	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: einstellen; dann zweimal nacheinander entnehmen; dann ansetzen, dann ansetzen, dann entnehmen; dann ausführen, dann ansetzen, dann ausführen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß; Weg: Durchlass. Schritt schließen.
P915-C007	f13r	HERBAL	FUENF_KURZE_PFLANZENARBEITSGAENGE	P912-E0210	P912-E0219	10	8	2	2	6	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß	NONE	NONE	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: ansetzen, dann entnehmen, dann ausführen; dann ansetzen; dann einstellen; dann zugeben, dann auswählen, dann ansetzen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Schritt schließen.
P915-C008	f13r	HERBAL	FUENF_KURZE_PFLANZENARBEITSGAENGE	P912-E0220	P912-E0225	6	5	2	0	5	Entnahmestelle oder bezeichnetes Teil	Ziel- oder Anschlussstelle	kurz	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: halten, dann den Gang ausführen; dann zugeben, dann ansetzen, dann entnehmen. Einsatz: Entnahmestelle oder bezeichnetes Teil; Weg: Ziel- oder Anschlussstelle; Grad: kurz. Schritt schließen.
P915-C009	f13r	HERBAL	FUENF_KURZE_PFLANZENARBEITSGAENGE	P912-E0226	P912-E0228	3	3	1	1	2	Ansatz	NONE	NONE	PAGE_END_OPEN	Beim gezeigten Pflanzenmaterial: auswählen; dann zugeben und neu ansetzen. Einsatz: Ansatz. Für die Fortsetzung offenlassen.
P915-C010	f55v	HERBAL	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	P912-E0229	P912-E0236	8	8	2	4	4	Entnahmestelle oder bezeichnetes Teil;Sollmaß;Portion	Durchlass	kurz;länger;vollständig	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: zugeben, dann den bezeichneten Anteil entnehmen; dann umsetzen; dann ausführen; dann ausführen; dann ausführen; dann einstellen und danach ansetzen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Sollmaß, Portion; Weg: Durchlass; Grad: kurz, länger, vollständig. Schritt schließen.
P915-C011	f55v	HERBAL	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	P912-E0237	P912-E0258	22	17	4	6	11	Entnahmestelle oder bezeichnetes Teil;Auszug;Sollmaß;Portion	Ziel- oder Anschlussstelle;Durchlass	kurz;länger;vollständig	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: ausführen, dann ansetzen, dann ausführen; dann zugeben, dann auswählen, dann ansetzen; dann ausführen; dann umsetzen; dann auswählen; dann zugeben, dann ansetzen, dann entnehmen; dann zugeben; dann ausführen; dann umsetzen und an der neuen Stelle ansetzen; dann ausführen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Auszug, Sollmaß, Portion; Weg: Ziel- oder Anschlussstelle, Durchlass; Grad: kurz, länger, vollständig. Schritt schließen.
P915-C012	f55v	HERBAL	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	P912-E0259	P912-E0263	5	5	1	3	2	Sollmaß;Portion	NONE	NONE	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: ansetzen, dann einen Anteil entnehmen; dann zugeben; dann zugeben; dann ausführen. Einsatz: Sollmaß, Portion. Schritt schließen.
P915-C013	f55v	HERBAL	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	P912-E0264	P912-E0319	56	41	9	20	21	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß;Portion	Ziel- oder Anschlussstelle	kurz;länger	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: umsetzen; dann einstellen; dann zugeben; dann zugeben; dann behandeln; dann ansetzen und zur nächsten Stelle umsetzen; dann zugeben; dann halten, dann erneut ansetzen; dann entnehmen und zugeben; dann umsetzen; dann einsetzen; dann entnehmen; dann kennzeichnen; dann einstellen; dann umsetzen, dann ansetzen, dann ansetzen; dann einstellen; dann ausführen und einen neuen Zug ansetzen; dann zugeben; dann zugeben, dann ansetzen, dann ansetzen, dann ansetzen; dann zugeben; dann zugeben; dann ausführen, dann den nächsten Posten auswählen; dann in zwei aufeinanderfolgenden Zügen ansetzen; dann einstellen; dann zugeben; dann zugeben; dann zugeben, dann den bezeichneten Anteil entnehmen; dann ausführen; dann behandeln. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß, Portion; Weg: Ziel- oder Anschlussstelle; Grad: kurz, länger. Schritt schließen.
P915-C014	f55v	HERBAL	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	P912-E0320	P912-E0334	15	6	1	4	2	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß;Portion	Ziel- oder Anschlussstelle;weiterer Lauf	kurz;länger	PAGE_END_OPEN	Beim gezeigten Pflanzenmaterial: ansetzen; dann einstellen; dann behandeln; dann zugeben, dann den bezeichneten Anteil entnehmen; dann auswählen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß, Portion; Weg: Ziel- oder Anschlussstelle, weiterer Lauf; Grad: kurz, länger. Für die Fortsetzung offenlassen.
P915-C015	f56r	HERBAL	PORTIONSWEISE_ENTNAHME_UND_NEUANSATZ	P912-E0335	P912-E0340	6	6	2	2	4	NONE	Ziel- oder Anschlussstelle	kurz	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: ausführen; dann zweimal nacheinander entnehmen; dann entnehmen, dann den nächsten Posten auswählen; dann auswählen. Weg: Ziel- oder Anschlussstelle; Grad: kurz. Schritt schließen.
P915-C016	f56r	HERBAL	PORTIONSWEISE_ENTNAHME_UND_NEUANSATZ	P912-E0341	P912-E0385	45	40	15	6	34	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß	Ziel- oder Anschlussstelle;Durchlass	kurz;länger	LICENSED_DY_CLOSE	Beim gezeigten Pflanzenmaterial: entnehmen und den Gang ausführen; dann umleiten; dann zweimal nacheinander entnehmen; dann ansetzen, dann einen Anteil entnehmen; dann zugeben, dann den bezeichneten Anteil entnehmen; dann entnehmen, dann zugeben, dann entnehmen; dann halten, dann erneut ansetzen; dann ansetzen und zugeben; dann ansetzen, dann ansetzen, dann ansetzen; dann auswählen; dann zweimal nacheinander entnehmen; dann ansetzen; dann behandeln; dann ansetzen und zur nächsten Stelle umsetzen; dann entnehmen, dann zugeben, dann entnehmen; dann ausführen; dann entnehmen und zugeben; dann halten, dann den Gang ausführen; dann zugeben, dann den bezeichneten Anteil entnehmen; dann ansetzen, dann ansetzen, dann entnehmen; dann ausführen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß; Weg: Ziel- oder Anschlussstelle, Durchlass; Grad: kurz, länger. Schritt schließen.
P915-C017	f56r	HERBAL	PORTIONSWEISE_ENTNAHME_UND_NEUANSATZ	P912-E0386	P912-E0439	54	60	19	15	45	Entnahmestelle oder bezeichnetes Teil;Ansatz;Auszug;Sollmaß	Ziel- oder Anschlussstelle	kurz;länger	PAGE_END_OPEN	Beim gezeigten Pflanzenmaterial: einstellen und danach ansetzen; dann zugeben; dann halten; dann zweimal nacheinander entnehmen; dann einstellen; dann einstellen; dann zweimal nacheinander entnehmen; dann ansetzen; dann einstellen; dann kennzeichnen; dann ansetzen, dann zugeben, dann entnehmen; dann bereitstellen; dann entnehmen und den Gang ausführen; dann auswählen und ansetzen; dann halten und anschließend zugeben; dann entnehmen, dann ansetzen, dann ansetzen; dann entnehmen, dann ansetzen, dann ansetzen; dann zugeben, dann den bezeichneten Anteil entnehmen; dann auswählen; dann entnehmen, dann einstellen, dann entnehmen, dann ausführen; dann einstellen; dann bereitstellen; dann entnehmen, dann ausführen, dann bereitstellen; dann ausführen; dann kennzeichnen; dann zugeben, dann den bezeichneten Anteil entnehmen; dann ansetzen, dann ansetzen, dann entnehmen; dann auswählen; dann entnehmen; dann halten, dann den Gang ausführen; dann ansetzen, dann einen Anteil entnehmen; dann zugeben, dann den bezeichneten Anteil entnehmen; dann ausführen, dann den nächsten Posten auswählen; dann den Gang ausführen und danach zugeben. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Auszug, Sollmaß; Weg: Ziel- oder Anschlussstelle; Grad: kurz, länger. Für die Fortsetzung offenlassen.
P915-C018	f75r	BIOLOGICAL	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P912-E0440	P912-E0446	7	8	1	5	3	Entnahmestelle oder bezeichnetes Teil	NONE	länger	LICENSED_DY_CLOSE	An der gezeigten Station: zugeben; dann umsetzen; dann zugeben, dann ansetzen, dann ansetzen; dann zugeben; dann umsetzen; dann absetzen. Einsatz: Entnahmestelle oder bezeichnetes Teil; Grad: länger. Schritt schließen.
P915-C019	f75r	BIOLOGICAL	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P912-E0447	P912-E0451	5	3	0	3	0	Portion	weiterer Lauf	kurz	LICENSED_DY_CLOSE	An der gezeigten Station: halten; dann auswählen; dann halten. Einsatz: Portion; Weg: weiterer Lauf; Grad: kurz. Schritt schließen.
P915-C020	f75r	BIOLOGICAL	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P912-E0452	P912-E0453	2	3	0	3	0	Entnahmestelle oder bezeichnetes Teil	NONE	länger	LICENSED_DY_CLOSE	An der gezeigten Station: umsetzen; dann zugeben; dann behandeln. Einsatz: Entnahmestelle oder bezeichnetes Teil; Grad: länger. Schritt schließen.
P915-C021	f75r	BIOLOGICAL	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P912-E0454	P912-E0473	20	17	5	5	12	Entnahmestelle oder bezeichnetes Teil;Ansatz;Portion	Ziel- oder Anschlussstelle;weiterer Lauf;Durchlass	kurz;länger	LICENSED_DY_CLOSE	An der gezeigten Station: kennzeichnen; dann ansetzen, dann einen Anteil entnehmen; dann zugeben; dann halten und anschließend zugeben; dann einstellen; dann auffangen; dann zugeben; dann den Gang ausführen und danach zugeben; dann halten und anschließend zugeben; dann halten, dann ansetzen, dann halten, dann ansetzen. Einsatz: Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion; Weg: Ziel- oder Anschlussstelle, weiterer Lauf, Durchlass; Grad: kurz, länger. Schritt schließen.
