rule_inventory_id	source_layer	exact_signature	normalized_families	occurrence_count	pages	page_count	panels	other_page_exists	exact_support_status	family_support_pages	new_rule_family_required	note_de
BC-RULE-001	ATTACHMENT_ATOMIC_RULE	AR_AL_DEFAULT_OWNER	OWNER_ADDRESS_FALLBACK	15	f75r|f76r|f77r|f81v|f82r|f83r|f72r	7	BIOLOGICAL|CELESTIAL	YES	EXACT_SIGNATURE_SHARED	f75r|f76r|f77r|f81v|f82r|f83r|f72r	NO	Atomarer Pass1023-Regeltyp nach Aufspaltung kombinierter Signaturen.
BC-RULE-002	ATTACHMENT_ATOMIC_RULE	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD	NEAREST_HEAD_LEFT_ON_TIE	94	f75r|f76r|f77r|f81v|f82r|f83r|f67r2|f68r1|f71v|f72r	10	BIOLOGICAL|CELESTIAL	YES	EXACT_SIGNATURE_SHARED	f75r|f76r|f77r|f81v|f82r|f83r|f67r2|f68r1|f71v|f72r	NO	Atomarer Pass1023-Regeltyp nach Aufspaltung kombinierter Signaturen.
BC-RULE-003	ATTACHMENT_ATOMIC_RULE	FORWARD_RELATION_FRAME	RIGHT_RELATION_FRAME	1	f77r	1	BIOLOGICAL	NO	PAGE_PRIVATE_SIGNATURE_SHARED_RULE_FAMILY	f75r|f76r|f77r|f81v|f82r|f83r	NO	Atomarer Pass1023-Regeltyp nach Aufspaltung kombinierter Signaturen.
BC-RULE-004	ATTACHMENT_ATOMIC_RULE	GRADE_TO_NEXT_COMPATIBLE_HEAD	ONE_CARD_BOUNDED_FORWARD	1	f67r2	1	CELESTIAL	NO	PAGE_PRIVATE_SIGNATURE_SHARED_RULE_FAMILY	f75r|f76r|f77r|f81v|f82r|f83r|f67r2|f71v|f72r	NO	Atomarer Pass1023-Regeltyp nach Aufspaltung kombinierter Signaturen.
BC-RULE-005	ATTACHMENT_ATOMIC_RULE	LABEL_ONLY_OWNER_ADDRESS_GATE	OWNER_ADDRESS_ONLY_GATE	358	f69v|f70v	2	CELESTIAL	YES	EXACT_SIGNATURE_SHARED	f69v|f70v	NO	Atomarer Pass1023-Regeltyp nach Aufspaltung kombinierter Signaturen.
BC-RULE-006	ATTACHMENT_ATOMIC_RULE	L_OR_AIR_RIGHT_FRAME	RIGHT_RELATION_FRAME	22	f75r|f76r|f77r|f81v|f82r|f83r	6	BIOLOGICAL	YES	EXACT_SIGNATURE_SHARED	f75r|f76r|f77r|f81v|f82r|f83r	NO	Atomarer Pass1023-Regeltyp nach Aufspaltung kombinierter Signaturen.
BC-RULE-007	ATTACHMENT_ATOMIC_RULE	OPENING_ARGUMENT_FORWARD	ONE_CARD_BOUNDED_FORWARD	41	f75r|f76r|f77r|f81v|f82r|f83r|f72r	7	BIOLOGICAL|CELESTIAL	YES	EXACT_SIGNATURE_SHARED	f75r|f76r|f77r|f81v|f82r|f83r|f67r2|f71v|f72r	NO	Atomarer Pass1023-Regeltyp nach Aufspaltung kombinierter Signaturen.
BC-RULE-008	ATTACHMENT_ATOMIC_RULE	OPENING_ARGUMENT_TO_NEXT_Q_PACKET	ONE_CARD_BOUNDED_FORWARD	2	f67r2	1	CELESTIAL	NO	PAGE_PRIVATE_SIGNATURE_SHARED_RULE_FAMILY	f75r|f76r|f77r|f81v|f82r|f83r|f67r2|f71v|f72r	NO	Atomarer Pass1023-Regeltyp nach Aufspaltung kombinierter Signaturen.
BC-RULE-009	ATTACHMENT_ATOMIC_RULE	OT_SIBLING_FORWARD	ONE_CARD_BOUNDED_FORWARD	44	f75r|f76r|f77r|f81v|f82r|f83r|f71v|f72r	8	BIOLOGICAL|CELESTIAL	YES	EXACT_SIGNATURE_SHARED	f75r|f76r|f77r|f81v|f82r|f83r|f67r2|f71v|f72r	NO	Atomarer Pass1023-Regeltyp nach Aufspaltung kombinierter Signaturen.
BC-RULE-010	ATTACHMENT_ATOMIC_RULE	PASS1022_CLEAR_ATTACHMENT	BASE_LOCAL_ATTACHMENT	2826	f75r|f76r|f77r|f81v|f82r|f83r|f67r2|f68r1|f71v|f72r	10	BIOLOGICAL|CELESTIAL	YES	EXACT_SIGNATURE_SHARED	f75r|f76r|f77r|f81v|f82r|f83r|f67r2|f68r1|f71v|f72r	NO	Atomarer Pass1023-Regeltyp nach Aufspaltung kombinierter Signaturen.
