private_pattern_id	physical_page	register	topology_signature	occurrence_count	attachment_ids	example_component_recipe	example_focus_core	rule_type	parent_rules	rule_supported_other_page	parent_supported_other_page	classification
HPRP001	f13r	HERBAL	LOCAL_NEAREST_LEFT|OR|LEFT_ONLY|LEFT_ONLY|PACKAGE_SCOPE_DESCENT|PACKAGE_INNER	1	SA00203	OK+OR+OR+Y	OR	LOCAL_NEAREST_LEFT	DUPLICATE_PACKAGE_RULE|NEAREST_HEAD_LEFT_TIE	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP002	f13r	HERBAL	LOCAL_NEAREST_LEFT|OR|LEFT_ONLY|LEFT_ONLY|PACKAGE_SCOPE_DESCENT|PACKAGE_OUTER	1	SA00202	OK+OR+OR+Y	OR	LOCAL_NEAREST_LEFT	DUPLICATE_PACKAGE_RULE|NEAREST_HEAD_LEFT_TIE	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP003	f18r	HERBAL	R_POSITIONAL_NESTED|AIR|LEFT_ONLY|LEFT_ONLY|SINGLE|SINGLE	1	SA00267	P+D_ADDR+R+AIR+DY	AIR	R_POSITIONAL_NESTED	R_POSITIONAL_MARKING	NO	SUPPORTED	GENUINE_PRIVATE_RULE_SUBTYPE
HPRP004	f55v	HERBAL	STACK_INHERITED_ACTION|EEE|NO_LOCAL|NO_LOCAL|SINGLE|SINGLE	1	SA00343	O+EEE+D_ADDR	EEE	STACK_INHERITED_ACTION	STACK_INHERITANCE	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP005	f88r	PHARMA	LOCAL_NEAREST_RIGHT|OR|RIGHT_ONLY|RIGHT_ONLY|SINGLE|SINGLE	2	SA03647|SA03705	D_ADDR+OR+SH+E+O+Y	OR	LOCAL_NEAREST_RIGHT	NEAREST_HEAD_LEFT_TIE	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP006	f88r	PHARMA	STACK_PREVIOUS_CARD|Y|NO_LOCAL|NO_LOCAL|FREE_PLURAL_OR_REPEAT|FREE_PEER_1	1	SA03739	Y+Y	Y	STACK_PREVIOUS_CARD	DUPLICATE_PACKAGE_RULE|STACK_INHERITANCE	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP007	f88r	PHARMA	STACK_PREVIOUS_CARD|Y|NO_LOCAL|NO_LOCAL|FREE_PLURAL_OR_REPEAT|FREE_PEER_2	1	SA03740	Y+Y	Y	STACK_PREVIOUS_CARD	DUPLICATE_PACKAGE_RULE|STACK_INHERITANCE	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP008	f88v	PHARMA	LOCAL_AL_AR_LEFT|AR|BOTH|RIGHT_CLOSER|SINGLE|SINGLE	1	SA03843	OK+E+AR+CH+E+O+L	AR	LOCAL_AL_AR_LEFT	AL_AR_LEFT_OR_OWNER	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP009	f89r	PHARMA	R_POSITIONAL_HEAD|AR|NO_LOCAL|NO_LOCAL|SINGLE|SINGLE	1	SA04336	AR	AR	R_POSITIONAL_HEAD	R_POSITIONAL_MARKING	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP010	f89r	PHARMA	R_POSITIONAL_TAIL|OR|NO_LOCAL|NO_LOCAL|SINGLE|SINGLE	1	SA04297	OR+Y	OR	R_POSITIONAL_TAIL	R_POSITIONAL_MARKING	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP011	f89r	PHARMA	STACK_INHERITED_ACTION|Y|NO_LOCAL|NO_LOCAL|FREE_PLURAL_OR_REPEAT|FREE_PEER_1	1	SA04088	Y+Y	Y	STACK_INHERITED_ACTION	DUPLICATE_PACKAGE_RULE|STACK_INHERITANCE	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP012	f89r	PHARMA	STACK_INHERITED_ACTION|Y|NO_LOCAL|NO_LOCAL|FREE_PLURAL_OR_REPEAT|FREE_PEER_2	1	SA04089	Y+Y	Y	STACK_INHERITED_ACTION	DUPLICATE_PACKAGE_RULE|STACK_INHERITANCE	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP013	f89r	PHARMA	STACK_OWNER|AL|NO_LOCAL|NO_LOCAL|FREE_PLURAL_OR_REPEAT|FREE_PEER_1	1	SA04060	AL+AL	AL	STACK_OWNER	DUPLICATE_PACKAGE_RULE|OWNER_STACK	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
HPRP014	f89r	PHARMA	STACK_OWNER|AL|NO_LOCAL|NO_LOCAL|FREE_PLURAL_OR_REPEAT|FREE_PEER_2	1	SA04061	AL+AL	AL	STACK_OWNER	DUPLICATE_PACKAGE_RULE|OWNER_STACK	YES	SUPPORTED	PRIVATE_COMBINATION_OF_PORTABLE_RULES
