replay_attachment_id	attachment_id	physical_page	register	statement_id	event_id	locus	surface_card	component_recipe	focus_core	focus_value_de	local_head_configuration	direct_or_stack	teaching_rule_families	micro_signature	selected_attachment_de	changed_in_pass1023	owner_bound_selection	other_page_support_by_family	all_rule_families_supported_outside_page	micro_signature_other_pages	micro_signature_page_private	replay_result
P1024-A00001	SA00001	f10r	HERBAL	P1009-S001	P912-E0001	f10r.1	pchocthy	P+CH+O+CH+T+Y	Y	AKTIVER POSTEN	LEFT_ONLY	DIRECT_LOCAL	NEAREST_HEAD_LEFT_TIE	ARGUMENT_GRADE_ONLY_LEFT	T=EINSTELLEN[Y=AKTIVER POSTEN]	NO	NO	NEAREST_HEAD_LEFT_TIE:f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	YES	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	TRANSFERRED_RULE_FAMILY
P1024-A00002	SA00002	f10r	HERBAL	P1009-S001	P912-E0002	f10r.1	shor	SH+OR	OR	EINHEIT	LEFT_ONLY	DIRECT_LOCAL	NEAREST_HEAD_LEFT_TIE	ARGUMENT_GRADE_ONLY_LEFT	SH=HALTEN[OR=EINHEIT]	NO	NO	NEAREST_HEAD_LEFT_TIE:f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	YES	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	TRANSFERRED_RULE_FAMILY
P1024-A00003	SA00003	f10r	HERBAL	P1009-S001	P912-E0003	f10r.1	octhody	O+CH+T+O+D_ADDR+Y	Y	AKTIVER POSTEN	LEFT_ONLY	DIRECT_LOCAL	NEAREST_HEAD_LEFT_TIE	ARGUMENT_GRADE_ONLY_LEFT	T=EINSTELLEN[Y=AKTIVER POSTEN]	NO	NO	NEAREST_HEAD_LEFT_TIE:f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	YES	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	TRANSFERRED_RULE_FAMILY
P1024-A00004	SA00004	f10r	HERBAL	P1009-S001	P912-E0004	f10r.1	chorchy	CH+OR+CH+Y	OR	EINHEIT	BOTH	DIRECT_LOCAL	NEAREST_HEAD_LEFT_TIE	EQUAL_LEFT	CH=NEHMEN@CURRENT_CARD_ATOM1	NO	NO	NEAREST_HEAD_LEFT_TIE:f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	YES	f11r,f13r,f17r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	TRANSFERRED_RULE_FAMILY
P1024-A00005	SA00005	f10r	HERBAL	P1009-S001	P912-E0004	f10r.1	chorchy	CH+OR+CH+Y	Y	AKTIVER POSTEN	LEFT_ONLY	DIRECT_LOCAL	NEAREST_HEAD_LEFT_TIE	ARGUMENT_GRADE_ONLY_LEFT	CH=NEHMEN[Y=AKTIVER POSTEN]	NO	NO	NEAREST_HEAD_LEFT_TIE:f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	YES	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	TRANSFERRED_RULE_FAMILY
P1024-A00006	SA00006	f10r	HERBAL	P1009-S001	P912-E0006	f10r.1	chopchal	CH+O+P+CH+AL	AL	ZIELORT	LEFT_ONLY	DIRECT_LOCAL	AL_AR_ORDERED_FALLBACK	AL_AR_LOCAL_LEFT	CH=NEHMEN[AL=ZIELORT]	NO	NO	AL_AR_ORDERED_FALLBACK:f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	YES	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	TRANSFERRED_RULE_FAMILY
P1024-A00007	SA00007	f10r	HERBAL	P1009-S001	P912-E0007	f10r.1	ypch	Y+P+CH	Y	AKTIVER POSTEN	RIGHT_ONLY	DIRECT_LOCAL	NEAREST_HEAD_LEFT_TIE	ARGUMENT_GRADE_ONLY_RIGHT	[Y=AKTIVER POSTEN]→P=EINSETZEN	NO	NO	NEAREST_HEAD_LEFT_TIE:f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	YES	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	TRANSFERRED_RULE_FAMILY
P1024-A00008	SA00008	f10r	HERBAL	P1009-S001	P912-E0009	f10r.2	dchey	CH+E+Y	E	GRAD I	LEFT_ONLY	DIRECT_LOCAL	NEAREST_HEAD_LEFT_TIE	ARGUMENT_GRADE_ONLY_LEFT	CH=NEHMEN[E=GRAD I]	NO	NO	NEAREST_HEAD_LEFT_TIE:f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	YES	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	TRANSFERRED_RULE_FAMILY
P1024-A00009	SA00009	f10r	HERBAL	P1009-S001	P912-E0009	f10r.2	dchey	CH+E+Y	Y	AKTIVER POSTEN	LEFT_ONLY	DIRECT_LOCAL	NEAREST_HEAD_LEFT_TIE	ARGUMENT_GRADE_ONLY_LEFT	CH=NEHMEN[Y=AKTIVER POSTEN]	NO	NO	NEAREST_HEAD_LEFT_TIE:f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	YES	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	TRANSFERRED_RULE_FAMILY
P1024-A00010	SA00010	f10r	HERBAL	P1009-S001	P912-E0010	f10r.2	cthoor	CH+T+O+OR	OR	EINHEIT	LEFT_ONLY	DIRECT_LOCAL	NEAREST_HEAD_LEFT_TIE	ARGUMENT_GRADE_ONLY_LEFT	T=EINSTELLEN[OR=EINHEIT]	NO	NO	NEAREST_HEAD_LEFT_TIE:f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	YES	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	TRANSFERRED_RULE_FAMILY
