physical_page	register	attachment_count	direct_local	stack	bounded_forward	owner	pass1023_resolved_count	pass1023_changed_count	distinct_required_rule_count	unsupported_rule_types	unsupported_same_register_rule_types	strict_replay_result	same_register_replay_result	parent_replay_result	private_topology_rows	private_topology_signatures	private_exact_form_rows	private_exact_form_signatures
f10r	HERBAL	82	50	32	0	0	1	0	7	NONE	NONE	REPLAYABLE_FROM_OTHER_PAGES	REPLAYABLE_WITHIN_REGISTER	PARENT_RULE_SUPPORTED	0	0	21	19
f11r	HERBAL	54	33	21	0	0	1	0	7	NONE	NONE	REPLAYABLE_FROM_OTHER_PAGES	REPLAYABLE_WITHIN_REGISTER	PARENT_RULE_SUPPORTED	0	0	19	19
f13r	HERBAL	68	48	20	0	0	1	0	7	NONE	NONE	REPLAYABLE_FROM_OTHER_PAGES	REPLAYABLE_WITHIN_REGISTER	PARENT_RULE_SUPPORTED	2	2	18	18
f17r	HERBAL	62	48	12	2	0	5	2	9	NONE	FORWARD_L_AIR_FRAME	REPLAYABLE_FROM_OTHER_PAGES	NEEDS_OTHER_REGISTER_EXAMPLE	PARENT_RULE_SUPPORTED	0	0	28	28
f18r	HERBAL	70	43	24	2	1	5	2	10	R_POSITIONAL_NESTED	OWNER_AL_AR_DEFAULT|R_POSITIONAL_NESTED	PRIVATE_RULE_SUBTYPE	NEEDS_OTHER_REGISTER_EXAMPLE	PARENT_RULE_SUPPORTED	1	1	6	6
f55v	HERBAL	120	81	36	3	0	7	3	10	NONE	FORWARD_Q_PACKET	REPLAYABLE_FROM_OTHER_PAGES	NEEDS_OTHER_REGISTER_EXAMPLE	PARENT_RULE_SUPPORTED	1	1	39	35
f56r	HERBAL	94	68	25	1	0	6	1	8	NONE	NONE	REPLAYABLE_FROM_OTHER_PAGES	REPLAYABLE_WITHIN_REGISTER	PARENT_RULE_SUPPORTED	0	0	33	33
f88r	PHARMA	151	118	33	0	0	6	0	10	NONE	NONE	REPLAYABLE_FROM_OTHER_PAGES	REPLAYABLE_WITHIN_REGISTER	PARENT_RULE_SUPPORTED	4	3	56	55
f88v	PHARMA	176	133	37	4	2	9	5	13	NONE	FORWARD_OT_SIBLING	REPLAYABLE_FROM_OTHER_PAGES	NEEDS_OTHER_REGISTER_EXAMPLE	PARENT_RULE_SUPPORTED	1	1	58	58
f89r	PHARMA	372	255	105	2	10	17	5	14	NONE	OWNER_AL_AR_DEFAULT	REPLAYABLE_FROM_OTHER_PAGES	NEEDS_OTHER_REGISTER_EXAMPLE	PARENT_RULE_SUPPORTED	6	6	31	29
