micro_signature	attachment_occurrences	support_page_count	support_pages	page_private_microform	covered_by_cross_page_rule_family
AL_AR_ACTIVE_LEFT	11	6	f72r,f76r,f83r,f88r,f88v,f89r	NO	YES
AL_AR_LOCAL_LEFT	285	20	f10r,f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	YES
AL_AR_RIGHT_FALLBACK_NO_LEFT	1	1	f77r	YES	YES
ARGUMENT_GRADE_LEFT_CLOSER	56	14	f10r,f17r,f55v,f67r2,f68r1,f71v,f72r,f76r,f81v,f82r,f83r,f88r,f88v,f89r	NO	YES
ARGUMENT_GRADE_ONLY_LEFT	2281	20	f10r,f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	YES
ARGUMENT_GRADE_ONLY_RIGHT	136	20	f10r,f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	YES
ARGUMENT_GRADE_RIGHT_CLOSER	5	3	f11r,f67r2,f81v	NO	YES
BOUNDED_FORWARD	127	15	f17r,f18r,f55v,f56r,f67r2,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88v,f89r	NO	YES
EQUAL_LEFT	118	19	f10r,f11r,f13r,f17r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	YES
EQUAL_LEFT+R_HEAD	1	1	f82r	YES	YES
EQUAL_RIGHT	1	1	f77r	YES	YES
L_AIR_LEFT_FALLBACK_NO_RIGHT	59	18	f10r,f11r,f17r,f18r,f55v,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	YES
L_AIR_LOCAL_RIGHT	121	11	f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	YES
OWNER_ONLY	19	9	f18r,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f89r	NO	YES
R_HEAD	45	15	f18r,f55v,f56r,f67r2,f68r1,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	YES
R_NESTED	1	1	f18r	YES	YES
R_TAIL	16	6	f67r2,f72r,f81v,f82r,f88v,f89r	NO	YES
STACK_FALLBACK_NO_LOCAL_HEAD	1062	20	f10r,f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f68r1,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	YES
