replay_event_id	event_id	physical_page	register	statement_id	locus	surface	component_recipe	component_atom_count	all_atoms_on_apprentice_sheet	contains_local_channel	exact_surface_other_pages	exact_recipe_other_pages	surface_page_private	recipe_page_private	event_replay_result
P1024-E0001	P912-E0001	f10r	HERBAL	P1009-S001	f10r.1	pchocthy	P+CH+O+CH+T+Y	6	YES	NO	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0002	P912-E0002	f10r	HERBAL	P1009-S001	f10r.1	shor	SH+OR	2	YES	NO	f11r,f17r,f18r,f77r,f88v,f89r	f11r,f17r,f18r,f77r,f88v,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0003	P912-E0003	f10r	HERBAL	P1009-S001	f10r.1	octhody	O+CH+T+O+D_ADDR+Y	6	YES	YES	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0004	P912-E0004	f10r	HERBAL	P1009-S001	f10r.1	chorchy	CH+OR+CH+Y	4	YES	NO	f56r	f56r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0005	P912-E0005	f10r	HERBAL	P1009-S001	f10r.1	pchodol	P+CH+O+D_ADDR+OL	5	YES	YES	NONE	f89r	YES	NO	ROOT_RECIPE_TRANSFERS
P1024-E0006	P912-E0006	f10r	HERBAL	P1009-S001	f10r.1	chopchal	CH+O+P+CH+AL	5	YES	NO	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0007	P912-E0007	f10r	HERBAL	P1009-S001	f10r.1	ypch	Y+P+CH	3	YES	NO	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0008	P912-E0008	f10r	HERBAL	P1009-S001	f10r.1	kom	K+O+M_LOCAL	3	YES	YES	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0009	P912-E0009	f10r	HERBAL	P1009-S001	f10r.2	dchey	CH+E+Y	3	YES	NO	f56r,f88r	f56r,f88r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0010	P912-E0010	f10r	HERBAL	P1009-S001	f10r.2	cthoor	CH+T+O+OR	4	YES	NO	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0011	P912-E0011	f10r	HERBAL	P1009-S001	f10r.2	char	AR	1	YES	NO	f75r,f82r	f55v,f67r2,f71v,f72r,f75r,f76r,f77r,f82r,f83r,f88r,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0012	P912-E0012	f10r	HERBAL	P1009-S001	f10r.2	chty	CH+T+Y	3	YES	NO	NONE	f11r,f17r,f18r,f56r,f75r,f76r,f83r	YES	NO	ROOT_RECIPE_TRANSFERS
P1024-E0013	P912-E0013	f10r	HERBAL	P1009-S001	f10r.2	os	OS	1	YES	YES	f55v,f67r2,f72r	f55v,f67r2,f72r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0014	P912-E0014	f10r	HERBAL	P1009-S001	f10r.2	chair	CH+AIR	2	YES	NO	NONE	f18r	YES	NO	ROOT_RECIPE_TRANSFERS
P1024-E0015	P912-E0015	f10r	HERBAL	P1009-S001	f10r.2	otytchol	OT+Y+T+CH+OL	5	YES	NO	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0016	P912-E0016	f10r	HERBAL	P1009-S001	f10r.2	oky	OK+Y	2	YES	NO	f55v,f76r,f81v,f82r,f88r,f89r	f13r,f17r,f18r,f55v,f56r,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0017	P912-E0017	f10r	HERBAL	P1009-S001	f10r.2	daiin	AIIN	1	YES	NO	f11r,f13r,f18r,f55v,f56r,f67r2,f71v,f72r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	f11r,f13r,f18r,f55v,f56r,f67r2,f71v,f72r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0018	P912-E0018	f10r	HERBAL	P1009-S001	f10r.2	etyd	E+T+Y	3	YES	NO	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0019	P912-E0019	f10r	HERBAL	P1009-S001	f10r.3	qotor	OT+OR	2	YES	NO	NONE	f68r1,f71v,f83r	YES	NO	ROOT_RECIPE_TRANSFERS
P1024-E0020	P912-E0020	f10r	HERBAL	P1009-S001	f10r.3	o	O	1	YES	NO	f17r,f56r,f72r,f75r,f76r,f83r,f89r	f17r,f56r,f72r,f75r,f76r,f77r,f83r,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0021	P912-E0021	f10r	HERBAL	P1009-S001	f10r.3	tchy	T+Y	2	YES	NO	NONE	f13r,f83r	YES	NO	ROOT_RECIPE_TRANSFERS
P1024-E0022	P912-E0022	f10r	HERBAL	P1009-S001	f10r.3	daiin	AIIN	1	YES	NO	f11r,f13r,f18r,f55v,f56r,f67r2,f71v,f72r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	f11r,f13r,f18r,f55v,f56r,f67r2,f71v,f72r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0023	P912-E0023	f10r	HERBAL	P1009-S001	f10r.3	chocthy	CH+O+CH+T+Y	5	YES	NO	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0024	P912-E0024	f10r	HERBAL	P1009-S001	f10r.3	qotchy	OT+Y	2	YES	NO	f11r,f56r	f11r,f13r,f56r,f67r2,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0025	P912-E0025	f10r	HERBAL	P1009-S001	f10r.3	chol	OL	1	YES	NO	f11r,f13r,f17r,f18r,f56r,f67r2,f72r,f76r,f77r,f88r,f89r	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0026	P912-E0026	f10r	HERBAL	P1009-S001	f10r.3	or	OR	1	YES	NO	f17r,f18r,f55v,f67r2,f71v,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f89r	f17r,f18r,f55v,f67r2,f71v,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0027	P912-E0027	f10r	HERBAL	P1009-S001	f10r.3	yty	Y+T+Y	3	YES	NO	f89r	f11r,f13r,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0028	P912-E0028	f10r	HERBAL	P1009-S001	f10r.3	dy	Y	1	YES	NO	f11r,f13r,f18r,f56r,f67r2,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f88v,f89r	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0029	P912-E0029	f10r	HERBAL	P1009-S001	f10r.3	dy	Y	1	YES	NO	f11r,f13r,f18r,f56r,f67r2,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f88v,f89r	f11r,f13r,f17r,f18r,f55v,f56r,f67r2,f71v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0030	P912-E0030	f10r	HERBAL	P1009-S001	f10r.4	sor	S+OR	2	YES	NO	f67r2,f75r,f76r,f83r	f67r2,f72r,f75r,f76r,f83r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0031	P912-E0031	f10r	HERBAL	P1009-S001	f10r.4	chaiin	CH+AIIN	2	YES	NO	f11r,f55v	f11r,f55v,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0032	P912-E0032	f10r	HERBAL	P1009-S001	f10r.4	chcthy	CH+CH+T+Y	4	YES	NO	f18r,f75r,f76r,f77r,f81v	f18r,f75r,f76r,f77r,f81v	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0033	P912-E0033	f10r	HERBAL	P1009-S001	f10r.4	ctho	CH+T+O	3	YES	NO	f56r	f56r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0034	P912-E0034	f10r	HERBAL	P1009-S001	f10r.4	ckhy	CH+K+Y	3	YES	NO	f81v	f13r,f18r,f55v,f72r,f75r,f76r,f77r,f81v,f82r,f83r,f88v,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0035	P912-E0035	f10r	HERBAL	P1009-S001	f10r.4	or	OR	1	YES	NO	f17r,f18r,f55v,f67r2,f71v,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f89r	f17r,f18r,f55v,f67r2,f71v,f75r,f76r,f77r,f81v,f82r,f83r,f88r,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0036	P912-E0036	f10r	HERBAL	P1009-S001	f10r.4	aiin	AIIN	1	YES	NO	f55v,f56r,f67r2,f71v,f72r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	f11r,f13r,f18r,f55v,f56r,f67r2,f71v,f72r,f76r,f77r,f81v,f82r,f83r,f88r,f88v,f89r	NO	NO	EXACT_SURFACE_TRANSFERS
P1024-E0037	P912-E0037	f10r	HERBAL	P1009-S001	f10r.4	chtchor	CH+T+CH+OR	4	YES	NO	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0038	P912-E0038	f10r	HERBAL	P1009-S001	f10r.4	doiir	D_ADDR+O+IIN+R	4	YES	YES	NONE	NONE	YES	YES	NEW_ROOT_COMPOSITION_READABLE
P1024-E0039	P912-E0039	f10r	HERBAL	P1009-S001	f10r.4	ody	O+DY	2	YES	NO	f55v	f55v	NO	NO	EXACT_SURFACE_TRANSFERS
