page_ordinal	physical_page	register	visible_group_count	running_event_count	local_address_or_label_count	statement_count	focus_attachment_count	direct_local_attachment_count	owner_package_stack_attachment_count	pass1023_resolved_attachment_count	pass1023_changed_attachment_count	owner_bound_focus_count	rule_families_used	unsupported_rule_families_when_page_held	page_private_micro_signatures	page_private_micro_occurrences	running_events_with_local_channel	exact_surface_cross_page_event_count	page_private_surface_event_count	exact_recipe_cross_page_event_count	page_private_recipe_event_count	all_running_atoms_on_sheet	leave_one_page_replay_result
1	f10r	HERBAL	92	92	0	2	82	50	32	1	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	NONE	NONE	0	14	62	30	73	19	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
2	f11r	HERBAL	59	59	0	2	54	33	21	1	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	NONE	NONE	0	13	42	17	43	16	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
3	f13r	HERBAL	77	77	0	5	68	48	20	1	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	NONE	NONE	0	17	56	21	63	14	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
4	f17r	HERBAL	80	78	2	8	62	48	14	5	2	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK	NONE	NONE	0	30	37	41	46	32	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
5	f18r	HERBAL	84	84	0	5	70	43	27	5	2	1	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	R_NESTED	1	14	59	25	83	1	YES	RULE_FAMILIES_TRANSFER__NEW_MICROFORM_COVERED
6	f55v	HERBAL	106	106	0	5	120	81	39	7	3	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	NONE	0	20	79	27	85	21	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
7	f56r	HERBAL	105	105	0	3	94	67	27	6	1	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	NONE	0	10	69	36	79	26	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
8	f67r2	CELESTIAL	190	126	64	11	145	88	57	15	8	3	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	NONE	0	36	68	58	76	50	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
9	f68r1	CELESTIAL	65	31	34	3	44	43	1	5	0	0	AL_AR_ORDERED_FALLBACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	NONE	0	4	15	16	18	13	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
10	f69v	CELESTIAL	140	0	140	0	0	0	0	0	0	0	NONE	NONE	NONE	0	0	0	0	0	0	YES	LOCAL_ADDRESS_COPY_ONLY
11	f70v	CELESTIAL	218	0	218	0	0	0	0	0	0	0	NONE	NONE	NONE	0	0	0	0	0	0	YES	LOCAL_ADDRESS_COPY_ONLY
12	f71v	CELESTIAL	100	78	22	5	105	66	39	5	2	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	NONE	NONE	0	10	48	30	58	20	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
13	f72r	CELESTIAL	384	288	96	22	345	190	155	34	21	7	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	NONE	0	31	184	104	280	8	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
14	f75r	BIOLOGICAL	418	408	10	111	433	314	119	37	17	19	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	NONE	0	32	344	64	361	47	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
15	f76r	BIOLOGICAL	569	560	9	118	641	462	179	45	27	27	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	NONE	0	35	446	114	548	12	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
16	f77r	BIOLOGICAL	332	321	11	82	359	256	103	41	19	23	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	AL_AR_RIGHT_FALLBACK_NO_LEFT|EQUAL_RIGHT	2	28	265	56	279	42	YES	RULE_FAMILIES_TRANSFER__NEW_MICROFORM_COVERED
17	f81v	BIOLOGICAL	255	253	2	54	282	228	54	23	7	11	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	NONE	0	25	192	61	208	45	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
18	f82r	BIOLOGICAL	291	278	13	62	353	275	78	32	14	7	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	EQUAL_LEFT+R_HEAD	1	24	212	66	225	53	YES	RULE_FAMILIES_TRANSFER__NEW_MICROFORM_COVERED
19	f83r	BIOLOGICAL	345	341	4	91	389	308	81	33	10	12	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	NONE	0	31	259	82	280	61	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
20	f88r	PHARMA	150	134	16	5	151	118	33	6	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	NONE	0	27	97	37	104	30	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
21	f88v	PHARMA	145	131	14	13	176	132	44	9	5	2	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	NONE	0	35	83	48	101	30	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
22	f89r	PHARMA	376	338	38	20	372	250	122	17	5	10	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	NONE	0	54	242	96	330	8	YES	RULE_FAMILIES_TRANSFER_DIRECTLY
