physical_page	panel	page_mode	running_event_count	statement_count	scope_attachment_count	resolved_attachment_count	changed_attachment_count	label_address_count	label_locus_count	label_rows_with_address_core	label_rows_with_action_core	running_owner_count	top_owner_de	top_owner_attachment_count	owner_bound_attachment_count	owner_bound_rate	hier_event_count	variante_event_count	klasse_event_count	vorbezug_event_count	q_push_count	ot_switch_count	ol_continue_count	os_restore_count	dy_close_count	carried_scope_event_count	multihead_card_count	max_heads_on_card	max_statement_event_count	end_modes	attachment_rule_families	stack_rule_families	page_private_exact_attachment_signatures	page_private_exact_end_modes	same_panel_missing_families	global_missing_families	local_owner_load_de	replay_verdict
f75r	BIOLOGICAL	RUNNING_SCOPE	408	111	433	37	17	0	0	0	0	1	großes Bad-/Stationsblatt mit dreieckiger Insel	433	19	0.043880	30	0	2	0	0	26	59	0	111	147	56	4	50	LICENSED_DY_CLOSE:110+NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY:1	BASE_LOCAL_ATTACHMENT|NEAREST_HEAD_LEFT_ON_TIE|ONE_CARD_BOUNDED_FORWARD|OWNER_ADDRESS_FALLBACK|RIGHT_RELATION_FRAME|R_POSITIONAL_HEAD	DY_CLOSE_AFTER_CARD|LICENSED_CLOSE|MULTIHEAD_NEST|OL_CONTINUE|OT_SWITCH|RUNNING_HEAD_CARRY|VISIBLE_OWNER_OR_PROSEBLOCK_RESET	NONE	NONE	NONE	NONE	19/433 Fokusanschluesse direkt am Besitzer; 1 dokumentierte laufende Besitzer.	PASS_WITHIN_PANEL_SHARED_RULES
f76r	BIOLOGICAL	RUNNING_SCOPE	560	118	641	45	27	0	0	0	0	13	unbebilderter Textabschnitt C	84	27	0.042122	35	0	1	0	7	33	71	0	105	204	65	3	21	LICENSED_DY_CLOSE:105+VISIBLE_PARAGRAPH_BOUNDARY:13	BASE_LOCAL_ATTACHMENT|NEAREST_HEAD_LEFT_ON_TIE|ONE_CARD_BOUNDED_FORWARD|OWNER_ADDRESS_FALLBACK|RIGHT_RELATION_FRAME|R_POSITIONAL_HEAD	DY_CLOSE_AFTER_CARD|LICENSED_CLOSE|MULTIHEAD_NEST|OL_CONTINUE|OT_SWITCH|Q_PUSH|RUNNING_HEAD_CARRY|VISIBLE_OWNER_OR_PROSEBLOCK_RESET	NONE	VISIBLE_PARAGRAPH_BOUNDARY	NONE	NONE	27/641 Fokusanschluesse direkt am Besitzer; 13 dokumentierte laufende Besitzer.	PASS_WITHIN_PANEL_SHARED_RULES
f77r	BIOLOGICAL	RUNNING_SCOPE	321	82	359	41	19	0	0	0	0	1	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	359	23	0.064067	27	1	0	0	6	36	52	0	81	119	30	4	38	LICENSED_DY_CLOSE:81+OWNER_RESET_TO_LOWER_STATION_LABELS:1	BASE_LOCAL_ATTACHMENT|NEAREST_HEAD_LEFT_ON_TIE|ONE_CARD_BOUNDED_FORWARD|OWNER_ADDRESS_FALLBACK|RIGHT_RELATION_FRAME|R_POSITIONAL_HEAD	DY_CLOSE_AFTER_CARD|LICENSED_CLOSE|MULTIHEAD_NEST|OL_CONTINUE|OT_SWITCH|Q_PUSH|RUNNING_HEAD_CARRY|VISIBLE_OWNER_OR_PROSEBLOCK_RESET	FORWARD_RELATION_FRAME	OWNER_RESET_TO_LOWER_STATION_LABELS	NONE	NONE	23/359 Fokusanschluesse direkt am Besitzer; 1 dokumentierte laufende Besitzer.	PASS_WITHIN_PANEL_SHARED_RULES
f81v	BIOLOGICAL	RUNNING_SCOPE	253	54	282	23	7	0	0	0	0	1	gemeinsames zweireihiges Badfeld	282	11	0.039007	25	0	0	0	5	7	51	0	53	87	40	4	17	LICENSED_DY_CLOSE:53+NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY:1	BASE_LOCAL_ATTACHMENT|NEAREST_HEAD_LEFT_ON_TIE|ONE_CARD_BOUNDED_FORWARD|OWNER_ADDRESS_FALLBACK|RIGHT_RELATION_FRAME|R_POSITIONAL_HEAD|R_POSITIONAL_TAIL	DY_CLOSE_AFTER_CARD|LICENSED_CLOSE|MULTIHEAD_NEST|OL_CONTINUE|OT_SWITCH|Q_PUSH|RUNNING_HEAD_CARRY|VISIBLE_OWNER_OR_PROSEBLOCK_RESET	R4_TAIL_BEFORE_OL	NONE	NONE	NONE	11/282 Fokusanschluesse direkt am Besitzer; 1 dokumentierte laufende Besitzer.	PASS_WITHIN_PANEL_SHARED_RULES
f82r	BIOLOGICAL	RUNNING_SCOPE	278	62	353	32	14	0	0	0	0	1	mehrere getrennte Bad- und Leitungsstationen	353	7	0.019830	24	1	0	0	6	22	29	0	60	80	40	5	23	LICENSED_DY_CLOSE:60+NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY:2	BASE_LOCAL_ATTACHMENT|NEAREST_HEAD_LEFT_ON_TIE|ONE_CARD_BOUNDED_FORWARD|OWNER_ADDRESS_FALLBACK|RIGHT_RELATION_FRAME|R_POSITIONAL_HEAD|R_POSITIONAL_TAIL	DY_CLOSE_AFTER_CARD|LICENSED_CLOSE|MULTIHEAD_NEST|OL_CONTINUE|OT_SWITCH|Q_PUSH|RUNNING_HEAD_CARRY|VISIBLE_OWNER_OR_PROSEBLOCK_RESET	CLOSE_OPEN_HEAD_BEFORE_NEXT_HEAD+R1_HEAD_WITH_LOCAL_RIGHT|R1_HEAD_IN_RIGHT_FRAME	NONE	NONE	NONE	7/353 Fokusanschluesse direkt am Besitzer; 1 dokumentierte laufende Besitzer.	PASS_WITHIN_PANEL_SHARED_RULES
f83r	BIOLOGICAL	RUNNING_SCOPE	341	91	389	33	10	0	0	0	0	1	Variantenatlas lokaler Becken und Anwendungen	389	12	0.030848	28	3	0	0	9	28	40	0	89	99	72	4	19	LICENSED_DY_CLOSE:89+NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY:1+PAGE_END_OPEN:1	BASE_LOCAL_ATTACHMENT|NEAREST_HEAD_LEFT_ON_TIE|ONE_CARD_BOUNDED_FORWARD|OWNER_ADDRESS_FALLBACK|RIGHT_RELATION_FRAME|R_POSITIONAL_HEAD	DY_CLOSE_AFTER_CARD|LICENSED_CLOSE|MULTIHEAD_NEST|OL_CONTINUE|OT_SWITCH|Q_PUSH|RUNNING_HEAD_CARRY|TRUE_OPEN_END|VISIBLE_OWNER_OR_PROSEBLOCK_RESET	NONE	NONE	TRUE_OPEN_END	NONE	12/389 Fokusanschluesse direkt am Besitzer; 1 dokumentierte laufende Besitzer.	PASS_WITH_OTHER_PANEL_RULE_SUPPORT
f67r2	CELESTIAL	RUNNING_SCOPE	126	11	145	15	8	0	0	0	0	1	zwei getrennte Himmelsräder und Tabelle	145	3	0.020690	30	4	1	2	5	2	12	2	3	61	24	3	36	LICENSED_DY_CLOSE:3+NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY:7+PAGE_END_OPEN:1	BASE_LOCAL_ATTACHMENT|NEAREST_HEAD_LEFT_ON_TIE|ONE_CARD_BOUNDED_FORWARD|R_POSITIONAL_HEAD|R_POSITIONAL_TAIL	DY_CLOSE_AFTER_CARD|LICENSED_CLOSE|MULTIHEAD_NEST|OL_CONTINUE|OT_SWITCH|OWNER_RESTORE|Q_PUSH|RUNNING_HEAD_CARRY|TRUE_OPEN_END|VISIBLE_OWNER_OR_PROSEBLOCK_RESET	GRADE_TO_NEXT_COMPATIBLE_HEAD|OPENING_ARGUMENT_TO_NEXT_Q_PACKET	NONE	NONE	NONE	3/145 Fokusanschluesse direkt am Besitzer; 1 dokumentierte laufende Besitzer.	PASS_WITHIN_PANEL_SHARED_RULES
f68r1	CELESTIAL	RUNNING_SCOPE	31	3	44	5	0	0	0	0	0	1	mehrteilige Sternstellentafel	44	0	0.000000	4	1	0	0	1	3	3	0	2	5	13	4	16	LICENSED_DY_CLOSE:2+NONPROSE_OWNER_OR_DIAGRAM_BOUNDARY:1	BASE_LOCAL_ATTACHMENT|NEAREST_HEAD_LEFT_ON_TIE|R_POSITIONAL_HEAD	DY_CLOSE_AFTER_CARD|LICENSED_CLOSE|MULTIHEAD_NEST|OL_CONTINUE|OT_SWITCH|Q_PUSH|RUNNING_HEAD_CARRY|VISIBLE_OWNER_OR_PROSEBLOCK_RESET	NONE	NONE	NONE	NONE	0/44 Fokusanschluesse direkt am Besitzer; 1 dokumentierte laufende Besitzer.	PASS_WITHIN_PANEL_SHARED_RULES
f69v	CELESTIAL	LABEL_ONLY_OWNER_ADDRESS	0	0	0	0	0	140	31	40	70	0	NONE	0	0	NOT_APPLICABLE	0	0	0	0	0	0	0	0	0	0	0	0	0	NONE	OWNER_ADDRESS_ONLY_GATE	OWNER_ADDRESS_ONLY_GATE	NONE	NONE	NONE	NONE	140 lokale Label-/Adressgruppen in 31 Loci; 70 tragen handlungsaehnliche Kerne, aber keine wird als Prosehandlung geoeffnet.	PASS_OWNER_ADDRESS_ONLY_GATE
f70v	CELESTIAL	LABEL_ONLY_OWNER_ADDRESS	0	0	0	0	0	218	50	87	91	0	NONE	0	0	NOT_APPLICABLE	0	0	0	0	0	0	0	0	0	0	0	0	0	NONE	OWNER_ADDRESS_ONLY_GATE	OWNER_ADDRESS_ONLY_GATE	NONE	NONE	NONE	NONE	218 lokale Label-/Adressgruppen in 50 Loci; 91 tragen handlungsaehnliche Kerne, aber keine wird als Prosehandlung geoeffnet.	PASS_OWNER_ADDRESS_ONLY_GATE
