master_card_id	master_form	records	event_count	old_composite_default_de	atomic_whole_card_default_de	syntactic_type	teaching_rule
MC001	chdal	B5	1	übertragen · Ziel	Zieltransfer	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC003	sheedy	B3	1	absetzen · länger; schließen	Langabsetzen; Schluss	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC008	lchy	B2	1	abführen · Posten	Abführgut	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC009	chary	B3	1	Quelle · Posten	Quellposten	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC011	lchedar	B2	1	abführen · übertragen · Quelle	Quellabführung	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC016	rol	B1	1	weiter	Anschluss	LEARNED_ORDER_OR_LINK	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC018	qotedaiin	B3	1	danach · kurz · Sollmaß	Kurzsoll	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC020	solkeey	B6	1	auffangen · länger · Posten	Langsammlung	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC022	chckhal	B4	1	Passage · Ziel	Zielpassage	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC023	kair	B1	1	Lauf	Beckenlauf	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC024	qokol	B4	1	einsetzen · weiter	Weiter einsetzen	LEARNED_ORDER_OR_LINK	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC029	lar	B2	1	abführen · Quelle	Quellabzug	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC030	lo	B3	1	abführen	Abzug	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC031	dalchdy	B3	1	Ziel · übertragen; schließen	Zieltransfer; Schluss	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC036	solkaiin	B2	1	auffangen · Sollmaß	Sollsammlung	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC038	lshedy	B1	2	waschen; schließen	Waschgang; Schluss	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC042	cheedar	B3	1	übertragen · Quelle	Quelltransfer	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC043	shecthedchy	B3	1	bereitstellen · übertragen · Posten	Vorbereitungstransfer	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC044	qokar	B2	1	einsetzen · Quelle	Quelleinsatz	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC046	raly	B6	1	Ziel · Posten	Endposten	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC050	solkey	B4	1	auffangen · kurz · Posten	Kurzsammlung	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC051	lchedal	B1	1	abführen · übertragen · Ziel	Zielabführung	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC052	qekey	B6	1	bearbeiten · kurz · Posten	Kurzbearbeitung	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC054	qokaly	B2	1	einsetzen · Ziel · Posten	Zieleinsatz	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC056	ral	B1	1	Ziel	Zielmarke	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
