global_priority_rank	tier_rank	priority_tier	priority_reason	source_matrix_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_component_trace_de	current_default_phrase_de	state_requirement	editorial_change_type	component_count	action_component_count	repeated_action_root_count	repeated_action_roots	repeated_action_fluency_warning	local_observed_head_count	local_observed_heads	local_observed_event_count	local_observed_clause_form_count	local_observed_page_count	local_observed_pages	cross_register_observed_cell_count	cross_register_observed_registers	cross_register_observed_event_count	cross_register_observed_page_count	cross_register_observed_pages	all_component_value_cells_old	evidence_status_retained	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
1	1	A_LOCAL_MULTIHEAD	TWO_OR_MORE_EXACT_OTHER_ACTION_CELLS_SAME_FRAME_REGISTER	G498-M178	@ACTION+AL	P	P+AL	BIOLOGICAL	EINSETZEN · ZIELORT	POSTEN EINSETZEN · ZIELSTATION	Setze das zuvor Genannte ein; zur Zielstation.	ACTIVE_ARGUMENT_REQUIRED	CONTEXT_NOUN_GENERALIZED	2	1	0	NONE	NO	8	OK|CH|SH|K|S|CHD|T|R	54	13	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	0	NONE	0	0	NONE	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
2	2	A_LOCAL_MULTIHEAD	TWO_OR_MORE_EXACT_OTHER_ACTION_CELLS_SAME_FRAME_REGISTER	G498-M413	@ACTION+Y	CH	CH+Y	BIOLOGICAL	NEHMEN · POSTEN	POSTEN ENTNEHMEN · STATIONSPOSTEN	Entnimm den Stationsposten.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	2	1	0	NONE	NO	7	OK|SH|K|CHD|T|R|P	136	7	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	0	NONE	0	0	NONE	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
3	3	A_LOCAL_MULTIHEAD	TWO_OR_MORE_EXACT_OTHER_ACTION_CELLS_SAME_FRAME_REGISTER	G498-M428	@ACTION+Y	S	S+Y	BIOLOGICAL	WÄHLEN · POSTEN	STATION WÄHLEN · STATIONSPOSTEN	Wähle den Stationsposten.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	2	1	0	NONE	NO	7	OK|SH|K|CHD|T|R|P	136	7	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	0	NONE	0	0	NONE	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
4	4	A_LOCAL_MULTIHEAD	TWO_OR_MORE_EXACT_OTHER_ACTION_CELLS_SAME_FRAME_REGISTER	G498-M027	@ACTION	CHD	CHD	HERBAL	BEARBEITEN	MATERIAL BEARBEITEN	Bearbeite das zuvor Genannte.	ACTIVE_ARGUMENT_REQUIRED	CONTEXT_NOUN_GENERALIZED	1	1	0	NONE	NO	7	OK|CH|SH|K|S|T|R	22	12	6	f11r|f13r|f24v|f55v|f56r|f95v	1	BIOLOGICAL	2	2	f77r|f83r	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
5	5	A_LOCAL_MULTIHEAD	TWO_OR_MORE_EXACT_OTHER_ACTION_CELLS_SAME_FRAME_REGISTER	G498-M042	@ACTION	P	P	HERBAL	EINSETZEN	MATERIAL EINSETZEN	Setze das zuvor Genannte ein.	ACTIVE_ARGUMENT_REQUIRED	CONTEXT_NOUN_GENERALIZED	1	1	0	NONE	NO	7	OK|CH|SH|K|S|T|R	22	12	6	f11r|f13r|f24v|f55v|f56r|f95v	0	NONE	0	0	NONE	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
6	6	A_LOCAL_MULTIHEAD	TWO_OR_MORE_EXACT_OTHER_ACTION_CELLS_SAME_FRAME_REGISTER	G498-M323	@ACTION+OL	CH	CH+OL	BIOLOGICAL	NEHMEN · FORTSETZEN	POSTEN ENTNEHMEN · STATION WEITERFÜHREN	Fahre fort: Entnimm das zuvor Genannte.	ACTIVE_ARGUMENT_REQUIRED	CONTEXT_NOUN_GENERALIZED__FORTSETZEN_COLON	2	1	0	NONE	NO	7	OK|SH|K|CHD|T|R|P	21	11	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	0	NONE	0	0	NONE	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
7	7	A_LOCAL_MULTIHEAD	TWO_OR_MORE_EXACT_OTHER_ACTION_CELLS_SAME_FRAME_REGISTER	G498-M338	@ACTION+OL	S	S+OL	BIOLOGICAL	WÄHLEN · FORTSETZEN	STATION WÄHLEN · STATION WEITERFÜHREN	Fahre fort: Wähle das zuvor Genannte.	ACTIVE_ARGUMENT_REQUIRED	CONTEXT_NOUN_GENERALIZED__FORTSETZEN_COLON	2	1	0	NONE	NO	7	OK|SH|K|CHD|T|R|P	21	11	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	0	NONE	0	0	NONE	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
8	8	A_LOCAL_MULTIHEAD	TWO_OR_MORE_EXACT_OTHER_ACTION_CELLS_SAME_FRAME_REGISTER	G498-M098	@ACTION+AIN	CH	CH+AIN	BIOLOGICAL	NEHMEN · ANTEIL	POSTEN ENTNEHMEN · STATIONSANTEIL	Entnimm den Stationsanteil.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	2	1	0	NONE	NO	6	OK|K|S|CHD|T|R	83	6	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	0	NONE	0	0	NONE	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
9	9	A_LOCAL_MULTIHEAD	TWO_OR_MORE_EXACT_OTHER_ACTION_CELLS_SAME_FRAME_REGISTER	G498-M133	@ACTION+AIN	P	P+AIN	BIOLOGICAL	EINSETZEN · ANTEIL	POSTEN EINSETZEN · STATIONSANTEIL	Setze den Stationsanteil ein.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	2	1	0	NONE	NO	6	OK|K|S|CHD|T|R	83	6	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	0	NONE	0	0	NONE	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
10	10	A_LOCAL_MULTIHEAD	TWO_OR_MORE_EXACT_OTHER_ACTION_CELLS_SAME_FRAME_REGISTER	G498-M103	@ACTION+AIN	SH	SH+AIN	BIOLOGICAL	HALTEN · ANTEIL	POSTEN HALTEN · STATIONSANTEIL	Halte den Stationsanteil.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	2	1	0	NONE	NO	6	OK|K|S|CHD|T|R	83	6	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	0	NONE	0	0	NONE	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
