global_priority_rank	tier_rank	priority_tier	priority_reason	source_matrix_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_component_trace_de	current_default_phrase_de	state_requirement	editorial_change_type	component_count	action_component_count	repeated_action_root_count	repeated_action_roots	repeated_action_fluency_warning	local_observed_head_count	local_observed_heads	local_observed_event_count	local_observed_clause_form_count	local_observed_page_count	local_observed_pages	cross_register_observed_cell_count	cross_register_observed_registers	cross_register_observed_event_count	cross_register_observed_page_count	cross_register_observed_pages	all_component_value_cells_old	evidence_status_retained	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
254	1	C_CROSS_REGISTER_SAME_ACTION	EXACT_SAME_ACTION_FRAME_IN_OTHER_REGISTER	G498-M182	@ACTION+AL+Y	OK	OK+AL+Y	HERBAL	SETZEN · ZIELORT · POSTEN	ARBEITSGANG ANSETZEN · ZIELSTELLE · PFLANZENPOSTEN	Setze den Pflanzenposten im Arbeitsgang an; zur Zielstelle.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	3	1	0	NONE	NO	0	NONE	0	0	0	NONE	2	BIOLOGICAL|CELESTIAL	5	4	f72r|f76r|f77r|f82r	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
255	2	C_CROSS_REGISTER_SAME_ACTION	EXACT_SAME_ACTION_FRAME_IN_OTHER_REGISTER	G498-M181	@ACTION+AL+Y	OK	OK+AL+Y	SOURCE_SECTION_T	SETZEN · ZIELORT · POSTEN	EINTRAGEN · ZIELSPALTE · LAUFENDER EINTRAG	Trage den laufenden Eintrag ein; zur Zielspalte.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	3	1	0	NONE	NO	0	NONE	0	0	0	NONE	2	BIOLOGICAL|CELESTIAL	5	4	f72r|f76r|f77r|f82r	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
256	3	C_CROSS_REGISTER_SAME_ACTION	EXACT_SAME_ACTION_FRAME_IN_OTHER_REGISTER	G498-M304	@ACTION+CHD+Y	T	T+CHD+Y	CELESTIAL	EINSTELLEN · BEARBEITEN · POSTEN	WERT EINSTELLEN · EINTRAG BEARBEITEN · POSITIONSPOSTEN	Stelle den Positionsposten ein und bearbeite den Positionsposten.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED	3	2	0	NONE	NO	0	NONE	0	0	0	NONE	2	HERBAL|BIOLOGICAL	5	3	f75r|f83r|f95v	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
257	4	C_CROSS_REGISTER_SAME_ACTION	EXACT_SAME_ACTION_FRAME_IN_OTHER_REGISTER	G498-M305	@ACTION+CHD+Y	T	T+CHD+Y	PHARMA	EINSTELLEN · BEARBEITEN · POSTEN	ANSATZWERT EINSTELLEN · ANSATZ BEARBEITEN · DROGENPOSTEN	Stelle den Drogenposten ein und bearbeite den Drogenposten.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED	3	2	0	NONE	NO	0	NONE	0	0	0	NONE	2	HERBAL|BIOLOGICAL	5	3	f75r|f83r|f95v	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
258	5	C_CROSS_REGISTER_SAME_ACTION	EXACT_SAME_ACTION_FRAME_IN_OTHER_REGISTER	G498-M301	@ACTION+CHD+Y	T	T+CHD+Y	SOURCE_SECTION_T	EINSTELLEN · BEARBEITEN · POSTEN	FESTLEGEN · EINTRAG BEARBEITEN · LAUFENDER EINTRAG	Lege den laufenden Eintrag fest und bearbeite den laufenden Eintrag.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED	3	2	0	NONE	NO	0	NONE	0	0	0	NONE	2	HERBAL|BIOLOGICAL	5	3	f75r|f83r|f95v	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
259	6	C_CROSS_REGISTER_SAME_ACTION	EXACT_SAME_ACTION_FRAME_IN_OTHER_REGISTER	G498-M187	@ACTION+AL+Y	CH	CH+AL+Y	HERBAL	NEHMEN · ZIELORT · POSTEN	PFLANZENTEIL NEHMEN · ZIELSTELLE · PFLANZENPOSTEN	Nimm den Pflanzenposten; zur Zielstelle.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	3	1	0	NONE	NO	0	NONE	0	0	0	NONE	2	BIOLOGICAL|PHARMA	3	3	f76r|f88v|f89r	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
260	7	C_CROSS_REGISTER_SAME_ACTION	EXACT_SAME_ACTION_FRAME_IN_OTHER_REGISTER	G498-M186	@ACTION+AL+Y	CH	CH+AL+Y	SOURCE_SECTION_T	NEHMEN · ZIELORT · POSTEN	ENTNEHMEN · ZIELSPALTE · LAUFENDER EINTRAG	Entnimm den laufenden Eintrag; zur Zielspalte.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	3	1	0	NONE	NO	0	NONE	0	0	0	NONE	2	BIOLOGICAL|PHARMA	3	3	f76r|f88v|f89r	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
261	8	C_CROSS_REGISTER_SAME_ACTION	EXACT_SAME_ACTION_FRAME_IN_OTHER_REGISTER	G498-M274	@ACTION+CHD+Y	OK	OK+CHD+Y	CELESTIAL	SETZEN · BEARBEITEN · POSTEN	POSITION SETZEN · EINTRAG BEARBEITEN · POSITIONSPOSTEN	Setze den Positionsposten und bearbeite den Positionsposten.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	3	2	0	NONE	NO	0	NONE	0	0	0	NONE	1	BIOLOGICAL	4	2	f81r|f83r	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
262	9	C_CROSS_REGISTER_SAME_ACTION	EXACT_SAME_ACTION_FRAME_IN_OTHER_REGISTER	G498-M275	@ACTION+CHD+Y	OK	OK+CHD+Y	PHARMA	SETZEN · BEARBEITEN · POSTEN	ANSATZ ANSETZEN · ANSATZ BEARBEITEN · DROGENPOSTEN	Setze den Drogenposten als Ansatz an und bearbeite den Drogenposten.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	3	2	0	NONE	NO	0	NONE	0	0	0	NONE	1	BIOLOGICAL	4	2	f81r|f83r	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
263	10	C_CROSS_REGISTER_SAME_ACTION	EXACT_SAME_ACTION_FRAME_IN_OTHER_REGISTER	G498-M271	@ACTION+CHD+Y	OK	OK+CHD+Y	SOURCE_SECTION_T	SETZEN · BEARBEITEN · POSTEN	EINTRAGEN · EINTRAG BEARBEITEN · LAUFENDER EINTRAG	Trage den laufenden Eintrag ein und bearbeite den laufenden Eintrag.	SELF_CONTAINED_ARGUMENT	UNCHANGED_SELF_CONTAINED_RENDERER	3	2	0	NONE	NO	0	NONE	0	0	0	NONE	1	BIOLOGICAL	4	2	f81r|f83r	YES	COMPOSED_WORKING	NO	NO	NO	COMPOSED_WORKING_RETAINED__NO_SURFACE_OR_OCCURRENCE_PREDICTION
