local_witness_id	target_matrix_cell_id	target_frame	target_action_root	target_action_recipe	target_register	observed_matrix_cell_id	observed_action_root	observed_action_recipe	observed_event_count	observed_clause_form_count	observed_pages	observed_event_ids	observed_selected_phrase_de	all_observed_clause_forms_de	exact_same_frame_and_register
G499-L0001	G498-M004	@ACTION	OK	OK	CELESTIAL	G498-M024	S	S	3	3	f67r2|f72r	G407-E0903|G407-E1243|G407-E1325	Wähle.	Wähle den Positionsposten [wie zuvor]. || Wähle die Positionseinheit [wie zuvor]. || Wähle.	YES
G499-L0002	G498-M004	@ACTION	OK	OK	CELESTIAL	G498-M039	R	R	2	2	f67r2|f72r	G407-E0938|G407-E1249	Markiere den Positionsposten [wie zuvor].	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	YES
G499-L0003	G498-M005	@ACTION	OK	OK	PHARMA	G498-M025	S	S	13	4	f88r|f88v|f89r	G407-E3812|G407-E3860|G407-E3862|G407-E3887|G407-E3903|G407-E3959|G407-E4090|G407-E4099|G407-E4147|G407-E4269|G407-E4289|G407-E4340|G407-E4378	Wähle den Drogenposten [wie zuvor].	Wähle den Drogenanteil [wie zuvor]. || Wähle den Drogenposten [wie zuvor]. || Wähle den Mengenwert [wie zuvor]. || Wähle die Ansatzeinheit [wie zuvor].	YES
G499-L0004	G498-M005	@ACTION	OK	OK	PHARMA	G498-M040	R	R	3	2	f88v|f89r	G407-E4030|G407-E4172|G407-E4386	Markiere den Drogenposten [wie zuvor].	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	YES
G499-L0005	G498-M006	@ACTION	CH	CH	SOURCE_SECTION_T	G498-M001	OK	OK	2	2	f1r	G407-E0203|G407-E0211	Trage die Eintragseinheit [wie zuvor] ein.	Trage den laufenden Eintrag [wie zuvor] ein. || Trage die Eintragseinheit [wie zuvor] ein.	YES
G499-L0006	G498-M006	@ACTION	CH	CH	SOURCE_SECTION_T	G498-M011	SH	SH	1	1	f1r	G407-E0051	Halte den laufenden Eintrag [wie zuvor] fest.	Halte den laufenden Eintrag [wie zuvor] fest.	YES
G499-L0007	G498-M006	@ACTION	CH	CH	SOURCE_SECTION_T	G498-M021	S	S	1	1	f1r	G407-E0052	Wähle den laufenden Eintrag [wie zuvor].	Wähle den laufenden Eintrag [wie zuvor].	YES
G499-L0008	G498-M006	@ACTION	CH	CH	SOURCE_SECTION_T	G498-M036	R	R	1	1	f1r	G407-E0110	Kennzeichne den laufenden Eintrag [wie zuvor].	Kennzeichne den laufenden Eintrag [wie zuvor].	YES
G499-L0009	G498-M009	@ACTION	CH	CH	CELESTIAL	G498-M024	S	S	3	3	f67r2|f72r	G407-E0903|G407-E1243|G407-E1325	Wähle.	Wähle den Positionsposten [wie zuvor]. || Wähle die Positionseinheit [wie zuvor]. || Wähle.	YES
G499-L0010	G498-M009	@ACTION	CH	CH	CELESTIAL	G498-M039	R	R	2	2	f67r2|f72r	G407-E0938|G407-E1249	Markiere den Positionsposten [wie zuvor].	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	YES
G499-L0011	G498-M010	@ACTION	CH	CH	PHARMA	G498-M025	S	S	13	4	f88r|f88v|f89r	G407-E3812|G407-E3860|G407-E3862|G407-E3887|G407-E3903|G407-E3959|G407-E4090|G407-E4099|G407-E4147|G407-E4269|G407-E4289|G407-E4340|G407-E4378	Wähle den Drogenposten [wie zuvor].	Wähle den Drogenanteil [wie zuvor]. || Wähle den Drogenposten [wie zuvor]. || Wähle den Mengenwert [wie zuvor]. || Wähle die Ansatzeinheit [wie zuvor].	YES
G499-L0012	G498-M010	@ACTION	CH	CH	PHARMA	G498-M040	R	R	3	2	f88v|f89r	G407-E4030|G407-E4172|G407-E4386	Markiere den Drogenposten [wie zuvor].	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	YES
G499-L0013	G498-M014	@ACTION	SH	SH	CELESTIAL	G498-M024	S	S	3	3	f67r2|f72r	G407-E0903|G407-E1243|G407-E1325	Wähle.	Wähle den Positionsposten [wie zuvor]. || Wähle die Positionseinheit [wie zuvor]. || Wähle.	YES
G499-L0014	G498-M014	@ACTION	SH	SH	CELESTIAL	G498-M039	R	R	2	2	f67r2|f72r	G407-E0938|G407-E1249	Markiere den Positionsposten [wie zuvor].	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	YES
G499-L0015	G498-M015	@ACTION	SH	SH	PHARMA	G498-M025	S	S	13	4	f88r|f88v|f89r	G407-E3812|G407-E3860|G407-E3862|G407-E3887|G407-E3903|G407-E3959|G407-E4090|G407-E4099|G407-E4147|G407-E4269|G407-E4289|G407-E4340|G407-E4378	Wähle den Drogenposten [wie zuvor].	Wähle den Drogenanteil [wie zuvor]. || Wähle den Drogenposten [wie zuvor]. || Wähle den Mengenwert [wie zuvor]. || Wähle die Ansatzeinheit [wie zuvor].	YES
G499-L0016	G498-M015	@ACTION	SH	SH	PHARMA	G498-M040	R	R	3	2	f88v|f89r	G407-E4030|G407-E4172|G407-E4386	Markiere den Drogenposten [wie zuvor].	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	YES
G499-L0017	G498-M016	@ACTION	K	K	SOURCE_SECTION_T	G498-M001	OK	OK	2	2	f1r	G407-E0203|G407-E0211	Trage die Eintragseinheit [wie zuvor] ein.	Trage den laufenden Eintrag [wie zuvor] ein. || Trage die Eintragseinheit [wie zuvor] ein.	YES
G499-L0018	G498-M016	@ACTION	K	K	SOURCE_SECTION_T	G498-M011	SH	SH	1	1	f1r	G407-E0051	Halte den laufenden Eintrag [wie zuvor] fest.	Halte den laufenden Eintrag [wie zuvor] fest.	YES
G499-L0019	G498-M016	@ACTION	K	K	SOURCE_SECTION_T	G498-M021	S	S	1	1	f1r	G407-E0052	Wähle den laufenden Eintrag [wie zuvor].	Wähle den laufenden Eintrag [wie zuvor].	YES
G499-L0020	G498-M016	@ACTION	K	K	SOURCE_SECTION_T	G498-M036	R	R	1	1	f1r	G407-E0110	Kennzeichne den laufenden Eintrag [wie zuvor].	Kennzeichne den laufenden Eintrag [wie zuvor].	YES
G499-L0021	G498-M018	@ACTION	K	K	BIOLOGICAL	G498-M003	OK	OK	1	1	f75r	G407-E1456	Setze den Stationsposten [wie zuvor] im Stationsgang an.	Setze den Stationsposten [wie zuvor] im Stationsgang an.	YES
G499-L0022	G498-M018	@ACTION	K	K	BIOLOGICAL	G498-M008	CH	CH	1	1	f75r	G407-E1811	Entnimm den Stationswert [wie zuvor].	Entnimm den Stationswert [wie zuvor].	YES
G499-L0023	G498-M018	@ACTION	K	K	BIOLOGICAL	G498-M013	SH	SH	1	1	f77r	G407-E2652	Halte den Stationswert [wie zuvor].	Halte den Stationswert [wie zuvor].	YES
G499-L0024	G498-M018	@ACTION	K	K	BIOLOGICAL	G498-M023	S	S	12	4	f75r|f76r|f77r|f81v|f82r|f83r	G407-E1731|G407-E1945|G407-E2659|G407-E2666|G407-E2691|G407-E2982|G407-E3299|G407-E3321|G407-E3544|G407-E3571|G407-E3702|G407-E3716	Wähle den Stationsposten [wie zuvor].	Wähle den Stationsanteil [wie zuvor]. || Wähle den Stationsposten [wie zuvor]. || Wähle den Stationswert [wie zuvor]. || Wähle die Stationseinheit [wie zuvor].	YES
G499-L0025	G498-M018	@ACTION	K	K	BIOLOGICAL	G498-M028	CHD	CHD	2	2	f77r|f83r	G407-E2428|G407-E3624	Bearbeite den Stationswert [wie zuvor].	Bearbeite den Stationsanteil [wie zuvor]. || Bearbeite den Stationswert [wie zuvor].	YES
G499-L0026	G498-M018	@ACTION	K	K	BIOLOGICAL	G498-M038	R	R	12	2	f75r|f76r|f77r|f81v|f82r|f83r	G407-E1463|G407-E1527|G407-E1912|G407-E2127|G407-E2152|G407-E2513|G407-E2656|G407-E3063|G407-E3237|G407-E3273|G407-E3296|G407-E3532	Markiere den Stationsposten [wie zuvor].	Markiere den Stationsposten [wie zuvor]. || Markiere.	YES
G499-L0027	G498-M019	@ACTION	K	K	CELESTIAL	G498-M024	S	S	3	3	f67r2|f72r	G407-E0903|G407-E1243|G407-E1325	Wähle.	Wähle den Positionsposten [wie zuvor]. || Wähle die Positionseinheit [wie zuvor]. || Wähle.	YES
G499-L0028	G498-M019	@ACTION	K	K	CELESTIAL	G498-M039	R	R	2	2	f67r2|f72r	G407-E0938|G407-E1249	Markiere den Positionsposten [wie zuvor].	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	YES
G499-L0029	G498-M020	@ACTION	K	K	PHARMA	G498-M025	S	S	13	4	f88r|f88v|f89r	G407-E3812|G407-E3860|G407-E3862|G407-E3887|G407-E3903|G407-E3959|G407-E4090|G407-E4099|G407-E4147|G407-E4269|G407-E4289|G407-E4340|G407-E4378	Wähle den Drogenposten [wie zuvor].	Wähle den Drogenanteil [wie zuvor]. || Wähle den Drogenposten [wie zuvor]. || Wähle den Mengenwert [wie zuvor]. || Wähle die Ansatzeinheit [wie zuvor].	YES
G499-L0030	G498-M020	@ACTION	K	K	PHARMA	G498-M040	R	R	3	2	f88v|f89r	G407-E4030|G407-E4172|G407-E4386	Markiere den Drogenposten [wie zuvor].	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	YES
G499-L0031	G498-M026	@ACTION	CHD	CHD	SOURCE_SECTION_T	G498-M001	OK	OK	2	2	f1r	G407-E0203|G407-E0211	Trage die Eintragseinheit [wie zuvor] ein.	Trage den laufenden Eintrag [wie zuvor] ein. || Trage die Eintragseinheit [wie zuvor] ein.	YES
G499-L0032	G498-M026	@ACTION	CHD	CHD	SOURCE_SECTION_T	G498-M011	SH	SH	1	1	f1r	G407-E0051	Halte den laufenden Eintrag [wie zuvor] fest.	Halte den laufenden Eintrag [wie zuvor] fest.	YES
G499-L0033	G498-M026	@ACTION	CHD	CHD	SOURCE_SECTION_T	G498-M021	S	S	1	1	f1r	G407-E0052	Wähle den laufenden Eintrag [wie zuvor].	Wähle den laufenden Eintrag [wie zuvor].	YES
G499-L0034	G498-M026	@ACTION	CHD	CHD	SOURCE_SECTION_T	G498-M036	R	R	1	1	f1r	G407-E0110	Kennzeichne den laufenden Eintrag [wie zuvor].	Kennzeichne den laufenden Eintrag [wie zuvor].	YES
G499-L0035	G498-M027	@ACTION	CHD	CHD	HERBAL	G498-M002	OK	OK	2	2	f24v|f56r	G407-E0671|G407-E0856	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an.	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an. || Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an.	YES
G499-L0036	G498-M027	@ACTION	CHD	CHD	HERBAL	G498-M007	CH	CH	1	1	f55v	G407-E0739	Nimm den Materialanteil [wie zuvor].	Nimm den Materialanteil [wie zuvor].	YES
G499-L0037	G498-M027	@ACTION	CHD	CHD	HERBAL	G498-M012	SH	SH	2	2	f24v|f56r	G407-E0632|G407-E0868	Halte den Pflanzenposten [wie zuvor].	Halte den Pflanzenposten [wie zuvor]. || Halte die Arbeitseinheit [wie zuvor].	YES
G499-L0038	G498-M027	@ACTION	CHD	CHD	HERBAL	G498-M017	K	K	4	2	f13r|f24v|f95v	G407-E0429|G407-E0613|G407-E4536|G407-E4547	Gib den Arbeitswert [wie zuvor] zu.	Gib den Arbeitswert [wie zuvor] zu. || Gib den Pflanzenposten [wie zuvor] zu.	YES
G499-L0039	G498-M027	@ACTION	CHD	CHD	HERBAL	G498-M022	S	S	9	2	f11r|f13r|f55v|f56r|f95v	G407-E0352|G407-E0360|G407-E0384|G407-E0386|G407-E0430|G407-E0768|G407-E0875|G407-E4436|G407-E4563	Wähle den Pflanzenposten [wie zuvor].	Wähle den Arbeitswert [wie zuvor]. || Wähle den Pflanzenposten [wie zuvor].	YES
G499-L0040	G498-M027	@ACTION	CHD	CHD	HERBAL	G498-M032	T	T	1	1	f56r	G407-E0858	Stelle den Pflanzenposten [wie zuvor] ein.	Stelle den Pflanzenposten [wie zuvor] ein.	YES
G499-L0041	G498-M027	@ACTION	CHD	CHD	HERBAL	G498-M037	R	R	3	2	f24v|f56r	G407-E0644|G407-E0860|G407-E0886	Markiere den Pflanzenposten [wie zuvor].	Markiere den Pflanzenposten [wie zuvor]. || Markiere die Arbeitseinheit [wie zuvor].	YES
G499-L0042	G498-M029	@ACTION	CHD	CHD	CELESTIAL	G498-M024	S	S	3	3	f67r2|f72r	G407-E0903|G407-E1243|G407-E1325	Wähle.	Wähle den Positionsposten [wie zuvor]. || Wähle die Positionseinheit [wie zuvor]. || Wähle.	YES
G499-L0043	G498-M029	@ACTION	CHD	CHD	CELESTIAL	G498-M039	R	R	2	2	f67r2|f72r	G407-E0938|G407-E1249	Markiere den Positionsposten [wie zuvor].	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	YES
G499-L0044	G498-M030	@ACTION	CHD	CHD	PHARMA	G498-M025	S	S	13	4	f88r|f88v|f89r	G407-E3812|G407-E3860|G407-E3862|G407-E3887|G407-E3903|G407-E3959|G407-E4090|G407-E4099|G407-E4147|G407-E4269|G407-E4289|G407-E4340|G407-E4378	Wähle den Drogenposten [wie zuvor].	Wähle den Drogenanteil [wie zuvor]. || Wähle den Drogenposten [wie zuvor]. || Wähle den Mengenwert [wie zuvor]. || Wähle die Ansatzeinheit [wie zuvor].	YES
G499-L0045	G498-M030	@ACTION	CHD	CHD	PHARMA	G498-M040	R	R	3	2	f88v|f89r	G407-E4030|G407-E4172|G407-E4386	Markiere den Drogenposten [wie zuvor].	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	YES
G499-L0046	G498-M031	@ACTION	T	T	SOURCE_SECTION_T	G498-M001	OK	OK	2	2	f1r	G407-E0203|G407-E0211	Trage die Eintragseinheit [wie zuvor] ein.	Trage den laufenden Eintrag [wie zuvor] ein. || Trage die Eintragseinheit [wie zuvor] ein.	YES
G499-L0047	G498-M031	@ACTION	T	T	SOURCE_SECTION_T	G498-M011	SH	SH	1	1	f1r	G407-E0051	Halte den laufenden Eintrag [wie zuvor] fest.	Halte den laufenden Eintrag [wie zuvor] fest.	YES
G499-L0048	G498-M031	@ACTION	T	T	SOURCE_SECTION_T	G498-M021	S	S	1	1	f1r	G407-E0052	Wähle den laufenden Eintrag [wie zuvor].	Wähle den laufenden Eintrag [wie zuvor].	YES
G499-L0049	G498-M031	@ACTION	T	T	SOURCE_SECTION_T	G498-M036	R	R	1	1	f1r	G407-E0110	Kennzeichne den laufenden Eintrag [wie zuvor].	Kennzeichne den laufenden Eintrag [wie zuvor].	YES
G499-L0050	G498-M033	@ACTION	T	T	BIOLOGICAL	G498-M003	OK	OK	1	1	f75r	G407-E1456	Setze den Stationsposten [wie zuvor] im Stationsgang an.	Setze den Stationsposten [wie zuvor] im Stationsgang an.	YES
G499-L0051	G498-M033	@ACTION	T	T	BIOLOGICAL	G498-M008	CH	CH	1	1	f75r	G407-E1811	Entnimm den Stationswert [wie zuvor].	Entnimm den Stationswert [wie zuvor].	YES
G499-L0052	G498-M033	@ACTION	T	T	BIOLOGICAL	G498-M013	SH	SH	1	1	f77r	G407-E2652	Halte den Stationswert [wie zuvor].	Halte den Stationswert [wie zuvor].	YES
G499-L0053	G498-M033	@ACTION	T	T	BIOLOGICAL	G498-M023	S	S	12	4	f75r|f76r|f77r|f81v|f82r|f83r	G407-E1731|G407-E1945|G407-E2659|G407-E2666|G407-E2691|G407-E2982|G407-E3299|G407-E3321|G407-E3544|G407-E3571|G407-E3702|G407-E3716	Wähle den Stationsposten [wie zuvor].	Wähle den Stationsanteil [wie zuvor]. || Wähle den Stationsposten [wie zuvor]. || Wähle den Stationswert [wie zuvor]. || Wähle die Stationseinheit [wie zuvor].	YES
G499-L0054	G498-M033	@ACTION	T	T	BIOLOGICAL	G498-M028	CHD	CHD	2	2	f77r|f83r	G407-E2428|G407-E3624	Bearbeite den Stationswert [wie zuvor].	Bearbeite den Stationsanteil [wie zuvor]. || Bearbeite den Stationswert [wie zuvor].	YES
G499-L0055	G498-M033	@ACTION	T	T	BIOLOGICAL	G498-M038	R	R	12	2	f75r|f76r|f77r|f81v|f82r|f83r	G407-E1463|G407-E1527|G407-E1912|G407-E2127|G407-E2152|G407-E2513|G407-E2656|G407-E3063|G407-E3237|G407-E3273|G407-E3296|G407-E3532	Markiere den Stationsposten [wie zuvor].	Markiere den Stationsposten [wie zuvor]. || Markiere.	YES
G499-L0056	G498-M034	@ACTION	T	T	CELESTIAL	G498-M024	S	S	3	3	f67r2|f72r	G407-E0903|G407-E1243|G407-E1325	Wähle.	Wähle den Positionsposten [wie zuvor]. || Wähle die Positionseinheit [wie zuvor]. || Wähle.	YES
G499-L0057	G498-M034	@ACTION	T	T	CELESTIAL	G498-M039	R	R	2	2	f67r2|f72r	G407-E0938|G407-E1249	Markiere den Positionsposten [wie zuvor].	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	YES
G499-L0058	G498-M035	@ACTION	T	T	PHARMA	G498-M025	S	S	13	4	f88r|f88v|f89r	G407-E3812|G407-E3860|G407-E3862|G407-E3887|G407-E3903|G407-E3959|G407-E4090|G407-E4099|G407-E4147|G407-E4269|G407-E4289|G407-E4340|G407-E4378	Wähle den Drogenposten [wie zuvor].	Wähle den Drogenanteil [wie zuvor]. || Wähle den Drogenposten [wie zuvor]. || Wähle den Mengenwert [wie zuvor]. || Wähle die Ansatzeinheit [wie zuvor].	YES
G499-L0059	G498-M035	@ACTION	T	T	PHARMA	G498-M040	R	R	3	2	f88v|f89r	G407-E4030|G407-E4172|G407-E4386	Markiere den Drogenposten [wie zuvor].	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	YES
G499-L0060	G498-M041	@ACTION	P	P	SOURCE_SECTION_T	G498-M001	OK	OK	2	2	f1r	G407-E0203|G407-E0211	Trage die Eintragseinheit [wie zuvor] ein.	Trage den laufenden Eintrag [wie zuvor] ein. || Trage die Eintragseinheit [wie zuvor] ein.	YES
G499-L0061	G498-M041	@ACTION	P	P	SOURCE_SECTION_T	G498-M011	SH	SH	1	1	f1r	G407-E0051	Halte den laufenden Eintrag [wie zuvor] fest.	Halte den laufenden Eintrag [wie zuvor] fest.	YES
G499-L0062	G498-M041	@ACTION	P	P	SOURCE_SECTION_T	G498-M021	S	S	1	1	f1r	G407-E0052	Wähle den laufenden Eintrag [wie zuvor].	Wähle den laufenden Eintrag [wie zuvor].	YES
G499-L0063	G498-M041	@ACTION	P	P	SOURCE_SECTION_T	G498-M036	R	R	1	1	f1r	G407-E0110	Kennzeichne den laufenden Eintrag [wie zuvor].	Kennzeichne den laufenden Eintrag [wie zuvor].	YES
G499-L0064	G498-M042	@ACTION	P	P	HERBAL	G498-M002	OK	OK	2	2	f24v|f56r	G407-E0671|G407-E0856	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an.	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an. || Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an.	YES
G499-L0065	G498-M042	@ACTION	P	P	HERBAL	G498-M007	CH	CH	1	1	f55v	G407-E0739	Nimm den Materialanteil [wie zuvor].	Nimm den Materialanteil [wie zuvor].	YES
G499-L0066	G498-M042	@ACTION	P	P	HERBAL	G498-M012	SH	SH	2	2	f24v|f56r	G407-E0632|G407-E0868	Halte den Pflanzenposten [wie zuvor].	Halte den Pflanzenposten [wie zuvor]. || Halte die Arbeitseinheit [wie zuvor].	YES
G499-L0067	G498-M042	@ACTION	P	P	HERBAL	G498-M017	K	K	4	2	f13r|f24v|f95v	G407-E0429|G407-E0613|G407-E4536|G407-E4547	Gib den Arbeitswert [wie zuvor] zu.	Gib den Arbeitswert [wie zuvor] zu. || Gib den Pflanzenposten [wie zuvor] zu.	YES
