frozen_frame	composed_cell_count	tier_a_multihead_count	tier_b_single_head_count	tier_c_cross_register_count	tier_d_old_values_only_count	local_witness_cell_count	local_witness_event_count	cross_witness_cell_count	cross_witness_event_count	repeated_action_warning_count	all_composed_labels_retained
@ACTION	24	24	0	0	0	80	303	30	52	0	YES
@ACTION+AIIN	22	22	0	0	0	94	417	42	131	0	YES
@ACTION+AIN	29	13	16	0	0	74	345	30	130	0	YES
@ACTION+AL	25	17	8	0	0	66	166	42	120	0	YES
@ACTION+AL+Y	39	13	8	8	10	40	67	20	32	0	YES
@ACTION+CH+E+Y	40	6	16	10	8	34	34	20	20	5	YES
@ACTION+CHD+Y	39	12	0	15	12	34	76	22	51	5	YES
@ACTION+OL	25	25	0	0	0	86	297	24	60	0	YES
@ACTION+OR+Y	41	7	16	8	10	30	30	16	16	0	YES
@ACTION+Y	27	19	8	0	0	78	511	26	91	0	YES
CH+@ACTION	41	7	16	8	10	30	30	16	16	5	YES
