cross_witness_id	target_matrix_cell_id	target_frame	target_action_root	target_action_recipe	target_register	observed_matrix_cell_id	observed_register	observed_event_count	observed_clause_form_count	observed_pages	observed_event_ids	observed_selected_phrase_de	all_observed_clause_forms_de	exact_same_action_and_frame
G499-X0001	G498-M004	@ACTION	OK	OK	CELESTIAL	G498-M001	SOURCE_SECTION_T	2	2	f1r	G407-E0203|G407-E0211	Trage die Eintragseinheit [wie zuvor] ein.	Trage den laufenden Eintrag [wie zuvor] ein. || Trage die Eintragseinheit [wie zuvor] ein.	YES
G499-X0002	G498-M004	@ACTION	OK	OK	CELESTIAL	G498-M002	HERBAL	2	2	f24v|f56r	G407-E0671|G407-E0856	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an.	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an. || Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an.	YES
G499-X0003	G498-M004	@ACTION	OK	OK	CELESTIAL	G498-M003	BIOLOGICAL	1	1	f75r	G407-E1456	Setze den Stationsposten [wie zuvor] im Stationsgang an.	Setze den Stationsposten [wie zuvor] im Stationsgang an.	YES
G499-X0004	G498-M005	@ACTION	OK	OK	PHARMA	G498-M001	SOURCE_SECTION_T	2	2	f1r	G407-E0203|G407-E0211	Trage die Eintragseinheit [wie zuvor] ein.	Trage den laufenden Eintrag [wie zuvor] ein. || Trage die Eintragseinheit [wie zuvor] ein.	YES
G499-X0005	G498-M005	@ACTION	OK	OK	PHARMA	G498-M002	HERBAL	2	2	f24v|f56r	G407-E0671|G407-E0856	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an.	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an. || Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an.	YES
G499-X0006	G498-M005	@ACTION	OK	OK	PHARMA	G498-M003	BIOLOGICAL	1	1	f75r	G407-E1456	Setze den Stationsposten [wie zuvor] im Stationsgang an.	Setze den Stationsposten [wie zuvor] im Stationsgang an.	YES
G499-X0007	G498-M006	@ACTION	CH	CH	SOURCE_SECTION_T	G498-M007	HERBAL	1	1	f55v	G407-E0739	Nimm den Materialanteil [wie zuvor].	Nimm den Materialanteil [wie zuvor].	YES
G499-X0008	G498-M006	@ACTION	CH	CH	SOURCE_SECTION_T	G498-M008	BIOLOGICAL	1	1	f75r	G407-E1811	Entnimm den Stationswert [wie zuvor].	Entnimm den Stationswert [wie zuvor].	YES
G499-X0009	G498-M009	@ACTION	CH	CH	CELESTIAL	G498-M007	HERBAL	1	1	f55v	G407-E0739	Nimm den Materialanteil [wie zuvor].	Nimm den Materialanteil [wie zuvor].	YES
G499-X0010	G498-M009	@ACTION	CH	CH	CELESTIAL	G498-M008	BIOLOGICAL	1	1	f75r	G407-E1811	Entnimm den Stationswert [wie zuvor].	Entnimm den Stationswert [wie zuvor].	YES
G499-X0011	G498-M010	@ACTION	CH	CH	PHARMA	G498-M007	HERBAL	1	1	f55v	G407-E0739	Nimm den Materialanteil [wie zuvor].	Nimm den Materialanteil [wie zuvor].	YES
G499-X0012	G498-M010	@ACTION	CH	CH	PHARMA	G498-M008	BIOLOGICAL	1	1	f75r	G407-E1811	Entnimm den Stationswert [wie zuvor].	Entnimm den Stationswert [wie zuvor].	YES
G499-X0013	G498-M014	@ACTION	SH	SH	CELESTIAL	G498-M011	SOURCE_SECTION_T	1	1	f1r	G407-E0051	Halte den laufenden Eintrag [wie zuvor] fest.	Halte den laufenden Eintrag [wie zuvor] fest.	YES
G499-X0014	G498-M014	@ACTION	SH	SH	CELESTIAL	G498-M012	HERBAL	2	2	f24v|f56r	G407-E0632|G407-E0868	Halte den Pflanzenposten [wie zuvor].	Halte den Pflanzenposten [wie zuvor]. || Halte die Arbeitseinheit [wie zuvor].	YES
G499-X0015	G498-M014	@ACTION	SH	SH	CELESTIAL	G498-M013	BIOLOGICAL	1	1	f77r	G407-E2652	Halte den Stationswert [wie zuvor].	Halte den Stationswert [wie zuvor].	YES
G499-X0016	G498-M015	@ACTION	SH	SH	PHARMA	G498-M011	SOURCE_SECTION_T	1	1	f1r	G407-E0051	Halte den laufenden Eintrag [wie zuvor] fest.	Halte den laufenden Eintrag [wie zuvor] fest.	YES
G499-X0017	G498-M015	@ACTION	SH	SH	PHARMA	G498-M012	HERBAL	2	2	f24v|f56r	G407-E0632|G407-E0868	Halte den Pflanzenposten [wie zuvor].	Halte den Pflanzenposten [wie zuvor]. || Halte die Arbeitseinheit [wie zuvor].	YES
G499-X0018	G498-M015	@ACTION	SH	SH	PHARMA	G498-M013	BIOLOGICAL	1	1	f77r	G407-E2652	Halte den Stationswert [wie zuvor].	Halte den Stationswert [wie zuvor].	YES
G499-X0019	G498-M016	@ACTION	K	K	SOURCE_SECTION_T	G498-M017	HERBAL	4	2	f13r|f24v|f95v	G407-E0429|G407-E0613|G407-E4536|G407-E4547	Gib den Arbeitswert [wie zuvor] zu.	Gib den Arbeitswert [wie zuvor] zu. || Gib den Pflanzenposten [wie zuvor] zu.	YES
G499-X0020	G498-M018	@ACTION	K	K	BIOLOGICAL	G498-M017	HERBAL	4	2	f13r|f24v|f95v	G407-E0429|G407-E0613|G407-E4536|G407-E4547	Gib den Arbeitswert [wie zuvor] zu.	Gib den Arbeitswert [wie zuvor] zu. || Gib den Pflanzenposten [wie zuvor] zu.	YES
G499-X0021	G498-M019	@ACTION	K	K	CELESTIAL	G498-M017	HERBAL	4	2	f13r|f24v|f95v	G407-E0429|G407-E0613|G407-E4536|G407-E4547	Gib den Arbeitswert [wie zuvor] zu.	Gib den Arbeitswert [wie zuvor] zu. || Gib den Pflanzenposten [wie zuvor] zu.	YES
G499-X0022	G498-M020	@ACTION	K	K	PHARMA	G498-M017	HERBAL	4	2	f13r|f24v|f95v	G407-E0429|G407-E0613|G407-E4536|G407-E4547	Gib den Arbeitswert [wie zuvor] zu.	Gib den Arbeitswert [wie zuvor] zu. || Gib den Pflanzenposten [wie zuvor] zu.	YES
G499-X0023	G498-M026	@ACTION	CHD	CHD	SOURCE_SECTION_T	G498-M028	BIOLOGICAL	2	2	f77r|f83r	G407-E2428|G407-E3624	Bearbeite den Stationswert [wie zuvor].	Bearbeite den Stationsanteil [wie zuvor]. || Bearbeite den Stationswert [wie zuvor].	YES
G499-X0024	G498-M027	@ACTION	CHD	CHD	HERBAL	G498-M028	BIOLOGICAL	2	2	f77r|f83r	G407-E2428|G407-E3624	Bearbeite den Stationswert [wie zuvor].	Bearbeite den Stationsanteil [wie zuvor]. || Bearbeite den Stationswert [wie zuvor].	YES
G499-X0025	G498-M029	@ACTION	CHD	CHD	CELESTIAL	G498-M028	BIOLOGICAL	2	2	f77r|f83r	G407-E2428|G407-E3624	Bearbeite den Stationswert [wie zuvor].	Bearbeite den Stationsanteil [wie zuvor]. || Bearbeite den Stationswert [wie zuvor].	YES
G499-X0026	G498-M030	@ACTION	CHD	CHD	PHARMA	G498-M028	BIOLOGICAL	2	2	f77r|f83r	G407-E2428|G407-E3624	Bearbeite den Stationswert [wie zuvor].	Bearbeite den Stationsanteil [wie zuvor]. || Bearbeite den Stationswert [wie zuvor].	YES
G499-X0027	G498-M031	@ACTION	T	T	SOURCE_SECTION_T	G498-M032	HERBAL	1	1	f56r	G407-E0858	Stelle den Pflanzenposten [wie zuvor] ein.	Stelle den Pflanzenposten [wie zuvor] ein.	YES
G499-X0028	G498-M033	@ACTION	T	T	BIOLOGICAL	G498-M032	HERBAL	1	1	f56r	G407-E0858	Stelle den Pflanzenposten [wie zuvor] ein.	Stelle den Pflanzenposten [wie zuvor] ein.	YES
G499-X0029	G498-M034	@ACTION	T	T	CELESTIAL	G498-M032	HERBAL	1	1	f56r	G407-E0858	Stelle den Pflanzenposten [wie zuvor] ein.	Stelle den Pflanzenposten [wie zuvor] ein.	YES
G499-X0030	G498-M035	@ACTION	T	T	PHARMA	G498-M032	HERBAL	1	1	f56r	G407-E0858	Stelle den Pflanzenposten [wie zuvor] ein.	Stelle den Pflanzenposten [wie zuvor] ein.	YES
