exact_card_id	surfaces	component_recipe	working_reading_de	events	action_members	o_strip_members	action_stack	o_strip_stack
PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	1	CH	NONE	NO	NO
PROC002	cthoor	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	1	CTH	O+OR	NO	YES
PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	1	CH	NONE	NO	NO
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	1	CH	NONE	NO	NO
PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	1	CH	NONE	NO	NO
PROC014	checthy|cthy|shcthy	CTH+Y	BEREITEN · DIES	7	CTH	NONE	NO	NO
PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	1	CH	OR	NO	NO
PROC016	chor|or|shor|sor	OR	ANSATZ	7	NONE	OR	NO	NO
PROC017	cthaiin	CTH+AIIN	BEREITEN · SOLLMASS	1	CTH	NONE	NO	NO
PROC018	qoctholy	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	1	CTH	O	NO	NO
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	2	CH	OR	NO	NO
PROC022	cholor|olor	OL+OR	WEITER · ANSATZ	2	NONE	OR	NO	NO
PROC023	oykchor	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	1	NONE	O+OR	NO	YES
PROC025	chodaiin	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	1	CH	O	NO	NO
PROC026	tshol	T+SH+OL	ANWENDEN · HALTEN · WEITER	1	SH	NONE	NO	NO
PROC027	schoal	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	1	SH	O	NO	NO
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · DIES · SOLLMASS	1	SH	NONE	NO	NO
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · DIES	4	SH	NONE	NO	NO
PROC157	sheey	SH+EE+Y	HALTEN · LANG · DIES	1	SH	NONE	NO	NO
PROC032	tchody	T+CH+O+DY	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	1	CH	O	NO	NO
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	1	SH	O	NO	NO
PROC041	ody	O+DY	ARBEITSGANG · SCHLUSS	1	NONE	O	NO	NO
PROC045	cheoar	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	1	CH	O	NO	NO
PROC050	orain	OR+AIN	ANSATZ · PORTION	1	NONE	OR	NO	NO
PROC051	chochor	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	1	CH	OR+HO	NO	YES
PROC052	cho|sho	HO	ZUTAT	4	NONE	HO	NO	NO
PROC053	chodaly	HO+AL+Y	ZUTAT · ZIELSTELLE · DIES	1	NONE	HO	NO	NO
PROC056	choy	HO+Y	ZUTAT · DIES	1	NONE	HO	NO	NO
PROC057	cheeckhody	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	1	CH	O	NO	NO
PROC058	sh	SH	HALTEN	1	SH	NONE	NO	NO
PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	1	CH	O	NO	NO
PROC063	kchoar	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	1	NONE	HO	NO	NO
PROC064	sotodan	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	1	NONE	O	NO	NO
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	1	SH	NONE	NO	NO
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	1	SH	NONE	NO	NO
PROC084	lsho	LSH+O	WASCHEN · ARBEITSGANG	1	NONE	O	NO	NO
PROC096	dsheol	SH+E+OL	HALTEN · KURZ · WEITER	1	SH	NONE	NO	NO
PROC097	oiiin|soiiin	O+IIN	ARBEITSGANG · ARBEITSSTUFE	2	NONE	O	NO	NO
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	3	SH	NONE	NO	NO
PROC106	octheol	O+CTH+E+OL	ARBEITSGANG · BEREITEN · KURZ · WEITER	1	CTH	O	NO	NO
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	1	SH	NONE	NO	NO
PROC111	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	1	SH	NONE	NO	NO
PROC114	solshedy	OL+SH+E+DY	WEITER · HALTEN · KURZ · SCHLUSS	1	SH	NONE	NO	NO
PROC116	lchy	L+CH+Y	LEITEN · ENTNEHMEN · DIES	1	CH	NONE	NO	NO
PROC117	qcthey|shcthey	CTH+E+Y	BEREITEN · KURZ · DIES	2	CTH	NONE	NO	NO
PROC122	tshey	SH+E+Y	HALTEN · KURZ · DIES	1	SH	NONE	NO	NO
PROC124	ches	CH+E+S	ENTNEHMEN · KURZ · TEIL	1	CH	NONE	NO	NO
PROC126	rsheal	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	1	SH	NONE	NO	NO
PROC130	lochedy	L+O+CHD+DY	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	1	NONE	O	NO	NO
