source_event	page	statement_id	owner_de	source_member	source_surface	target_member	target_card	target_surfaces	fixed_tail	substituted_prompt_de	other_statement_events_fixed	owner_fixed	source_statement	swap_status
E001	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	CH	dchey	CH	PROC001	dchey	E+Y	ENTNEHMEN · KURZ · DIES	YES	YES	dchey cthoor char chty os chair otytchol oky daiin etyd	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E001	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	CH	dchey	SH	PROC122	tshey	E+Y	HALTEN · KURZ · DIES	YES	YES	dchey cthoor char chty os chair otytchol oky daiin etyd	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E001	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	CH	dchey	CTH	PROC117	qcthey|shcthey	E+Y	BEREITEN · KURZ · DIES	YES	YES	dchey cthoor char chty os chair otytchol oky daiin etyd	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E204	f82r	B2-S012	unteres grünes Mehrfigurenbecken	CTH	qcthey	CH	PROC001	dchey	E+Y	ENTNEHMEN · KURZ · DIES	YES	YES	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E204	f82r	B2-S012	unteres grünes Mehrfigurenbecken	CTH	qcthey	SH	PROC122	tshey	E+Y	HALTEN · KURZ · DIES	YES	YES	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E204	f82r	B2-S012	unteres grünes Mehrfigurenbecken	CTH	qcthey	CTH	PROC117	qcthey|shcthey	E+Y	BEREITEN · KURZ · DIES	YES	YES	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E212	f82r	B2-S015	kleine Randstationen des unteren Beckens	SH	tshey	CH	PROC001	dchey	E+Y	ENTNEHMEN · KURZ · DIES	YES	YES	tshey qokeedy	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E212	f82r	B2-S015	kleine Randstationen des unteren Beckens	SH	tshey	SH	PROC122	tshey	E+Y	HALTEN · KURZ · DIES	YES	YES	tshey qokeedy	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E212	f82r	B2-S015	kleine Randstationen des unteren Beckens	SH	tshey	CTH	PROC117	qcthey|shcthey	E+Y	BEREITEN · KURZ · DIES	YES	YES	tshey qokeedy	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E258	f83r	B3-S013	untere Randfigur im korbartigen Gefäß	CTH	shcthey	CH	PROC001	dchey	E+Y	ENTNEHMEN · KURZ · DIES	YES	YES	qokaiin chkain shcthey qokedy	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E258	f83r	B3-S013	untere Randfigur im korbartigen Gefäß	CTH	shcthey	SH	PROC122	tshey	E+Y	HALTEN · KURZ · DIES	YES	YES	qokaiin chkain shcthey qokedy	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
E258	f83r	B3-S013	untere Randfigur im korbartigen Gefäß	CTH	shcthey	CTH	PROC117	qcthey|shcthey	E+Y	BEREITEN · KURZ · DIES	YES	YES	qokaiin chkain shcthey qokedy	ATTESTED_CARD_INSERTED__CREATIVE_READBACK
