source_ordinal	source_id	main_visible_event	page	record	statement_id	exact_card_id	surface	component_recipe	reading_de	render_count	layout_license
1	S001	E001	f10r	H1	H1-S001	PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	1	NORMAL_ONCE
2	S002	E002	f10r	H1	H1-S001	PROC002	cthoor	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	1	NORMAL_ONCE
3	S003	E003	f10r	H1	H1-S001	PROC003	char	AR	QUELLE	1	NORMAL_ONCE
4	S004	E004	f10r	H1	H1-S001	PROC004	chty	T+Y	ANWENDEN · DIES	1	NORMAL_ONCE
5	S005	E005	f10r	H1	H1-S001	PROC005	os	OS	FACH	1	NORMAL_ONCE
6	S006	E006	f10r	H1	H1-S001	PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	1	NORMAL_ONCE
7	S007	E007	f10r	H1	H1-S001	PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	1	NORMAL_ONCE
8	S008	E008	f10r	H1	H1-S001	PROC008	oky	OK+Y	ANSETZEN · DIES	1	NORMAL_ONCE
9	S009	E009	f10r	H1	H1-S001	PROC009	daiin	AIIN	SOLLMASS	1	NORMAL_ONCE
10	S010	E010	f10r	H1	H1-S001	PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	1	NORMAL_ONCE
11	S011	E011	f10r	H1	H1-S002	PROC011	qokchy	OK+Y	ANSETZEN · DIES	1	NORMAL_ONCE
12	S012	E012	f10r	H1	H1-S002	PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	1	NORMAL_ONCE
13	S013	E013	f10r	H1	H1-S002	PROC013	chol	OL	WEITER	1	NORMAL_ONCE
14	S014	E014	f10r	H1	H1-S002	PROC014	cthy	CTH+Y	BEREITEN · DIES	1	NORMAL_ONCE
15	S015	E015	f10r	H2	H2-S001	PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	1	NORMAL_ONCE
16	S016	E016	f10r	H2	H2-S001	PROC014	cthy	CTH+Y	BEREITEN · DIES	1	NORMAL_ONCE
17	S017	E017	f10r	H2	H2-S001	PROC016	chor	OR	ANSATZ	1	NORMAL_ONCE
18	S018	E018	f10r	H2	H2-S001	PROC017	cthaiin	CTH+AIIN	BEREITEN · SOLLMASS	1	NORMAL_ONCE
19	S019	E019	f10r	H2	H2-S001	PROC018	qoctholy	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	1	NORMAL_ONCE
20	S020	E020	f10r	H2	H2-S001	PROC019	dy	Y	DIES	1	NORMAL_ONCE
21	S021	E021	f10r	H2	H2-S001	PROC019	chy	Y	DIES	1	NORMAL_ONCE
22	S022	E022	f10r	H2	H2-S001	PROC009	taiin	AIIN	SOLLMASS	1	NORMAL_ONCE
23	S023	E023	f10r	H2	H2-S001	PROC019	shy	Y	DIES	1	NORMAL_ONCE
24	S024	E024	f10r	H2	H2-S002	PROC020	qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	1	NORMAL_ONCE
25	S025	E025	f10r	H2	H2-S002	PROC016	chor	OR	ANSATZ	1	NORMAL_ONCE
26	S026	E026	f10r	H2	H2-S002	PROC021	otol	OT+OL	DANACH · WEITER	1	NORMAL_ONCE
27	S027	E027	f10r	H2	H2-S002	PROC013	chol	OL	WEITER	1	NORMAL_ONCE
28	S028	E028	f10r	H2	H2-S002	PROC022	cholor	OL+OR	WEITER · ANSATZ	1	NORMAL_ONCE
29	S029	E029	f10r	H2	H2-S002	PROC013	chol	OL	WEITER	1	NORMAL_ONCE
30	S030	E030	f10r	H2	H2-S002	PROC009	daiin	AIIN	SOLLMASS	1	NORMAL_ONCE
31	S031	E031	f10r	H2	H2-S002	PROC003	dar	AR	QUELLE	1	NORMAL_ONCE
32	S032	E032	f10r	H2	H2-S003	PROC023	oykchor	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	1	NORMAL_ONCE
33	S033	E033	f10r	H2	H2-S003	PROC016	shor	OR	ANSATZ	1	NORMAL_ONCE
34	S034	E034	f10r	H2	H2-S003	PROC016	chor	OR	ANSATZ	1	NORMAL_ONCE
35	S035	E035	f10r	H2	H2-S003	PROC019	chy	Y	DIES	1	NORMAL_ONCE
36	S036	E036	f10r	H2	H2-S003	PROC024	kaiiin	K+IIN	ZUGEBEN · ARBEITSSTUFE	1	NORMAL_ONCE
37	S037	E037	f10r	H2	H2-S003	PROC019	dy	Y	DIES	1	NORMAL_ONCE
38	S038	E038	f10r	H2	H2-S003	PROC025	chodaiin	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	1	NORMAL_ONCE
39	S039	E039	f11r	H3	H3-S001	PROC026	tshol	T+SH+OL	ANWENDEN · HALTEN · WEITER	1	NORMAL_ONCE
40	S040	E040	f11r	H3	H3-S001	PROC027	schoal	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	1	NORMAL_ONCE
41	S041	E041	f11r	H3	H3-S001	PROC028	cfhy	CFH+Y	AUSWRINGEN · DIES	1	NORMAL_ONCE
42	S042	E042	f11r	H3	H3-S001	PROC029	shfydaiin	SH+Y+AIIN	HALTEN · DIES · SOLLMASS	1	NORMAL_ONCE
43	S043	E043	f11r	H3	H3-S001	PROC030	cphy	P+Y	FUELLEN · DIES	1	NORMAL_ONCE
44	S044	E044	f11r	H3	H3-S001	PROC031	shey	SH+EE+Y	HALTEN · LANG · DIES	1	NORMAL_ONCE
45	S045	E045	f11r	H3	H3-S001	PROC032	tchody	T+CH+O+DY	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	1	NORMAL_ONCE
46	S046	E046	f11r	H3	H3-S002	PROC033	shoyty	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	1	NORMAL_ONCE
47	S047	E047	f11r	H3	H3-S003	PROC034	dchol	RESUME_CARD	WIEDERAUFNEHMEN	1	NORMAL_ONCE
48	S048	E048	f11r	H3	H3-S003	PROC019	chy	Y	DIES	1	NORMAL_ONCE
49	S049	E049	f11r	H3	H3-S003	PROC035	kchy	K+Y	ZUGEBEN · DIES	1	NORMAL_ONCE
50	S050	E050	f11r	H3	H3-S003	PROC019	dy	Y	DIES	1	NORMAL_ONCE
51	S051	E051	f11r	H3	H3-S003	PROC009	daiin	AIIN	SOLLMASS	1	NORMAL_ONCE
52	S052	E052	f11r	H3	H3-S004	PROC036	qotchy	OT+Y	DANACH · DIES	1	NORMAL_ONCE
53	S053	E053	f11r	H3	H3-S004	PROC037	okchol	OK+OL	ANSETZEN · WEITER	1	NORMAL_ONCE
54	S054	E054	f11r	H3	H3-S004	PROC014	cthy	CTH+Y	BEREITEN · DIES	1	NORMAL_ONCE
55	S055	E055	f11r	H3	H3-S004	PROC019	dy	Y	DIES	1	NORMAL_ONCE
