visible_event	source_id	page	record	statement_id	exact_card_id	surface	component_recipe	render_operation
E001	S001	f10r	H1	H1-S001	PROC001	dchey	CH+E+Y	NORMAL_ONCE
E002	S002	f10r	H1	H1-S001	PROC002	cthoor	CTH+O+OR	NORMAL_ONCE
E003	S003	f10r	H1	H1-S001	PROC003	char	AR	NORMAL_ONCE
E004	S004	f10r	H1	H1-S001	PROC004	chty	T+Y	NORMAL_ONCE
E005	S005	f10r	H1	H1-S001	PROC005	os	OS	NORMAL_ONCE
E006	S006	f10r	H1	H1-S001	PROC006	chair	CH+AIR	NORMAL_ONCE
E007	S007	f10r	H1	H1-S001	PROC007	otytchol	OT+Y+T+CH+OL	NORMAL_ONCE
E008	S008	f10r	H1	H1-S001	PROC008	oky	OK+Y	NORMAL_ONCE
E009	S009	f10r	H1	H1-S001	PROC009	daiin	AIIN	NORMAL_ONCE
E010	S010	f10r	H1	H1-S001	PROC010	etyd	E+T+Y	NORMAL_ONCE
E011	S011	f10r	H1	H1-S002	PROC011	qokchy	OK+Y	NORMAL_ONCE
E012	S012	f10r	H1	H1-S002	PROC012	qotchol	OT+CH+OL	NORMAL_ONCE
E013	S013	f10r	H1	H1-S002	PROC013	chol	OL	NORMAL_ONCE
E014	S014	f10r	H1	H1-S002	PROC014	cthy	CTH+Y	NORMAL_ONCE
E015	S015	f10r	H2	H2-S001	PROC015	ycheor	Y+CH+E+OR	NORMAL_ONCE
E016	S016	f10r	H2	H2-S001	PROC014	cthy	CTH+Y	NORMAL_ONCE
E017	S017	f10r	H2	H2-S001	PROC016	chor	OR	NORMAL_ONCE
E018	S018	f10r	H2	H2-S001	PROC017	cthaiin	CTH+AIIN	NORMAL_ONCE
E019	S019	f10r	H2	H2-S001	PROC018	qoctholy	O+CTH+OL+Y	NORMAL_ONCE
E020	S020	f10r	H2	H2-S001	PROC019	dy	Y	NORMAL_ONCE
E021	S021	f10r	H2	H2-S001	PROC019	chy	Y	NORMAL_ONCE
E022	S022	f10r	H2	H2-S001	PROC009	taiin	AIIN	NORMAL_ONCE
E023	S023	f10r	H2	H2-S001	PROC019	shy	Y	NORMAL_ONCE
E024	S024	f10r	H2	H2-S002	PROC020	qotchor	OT+CH+OR	NORMAL_ONCE
E025	S025	f10r	H2	H2-S002	PROC016	chor	OR	NORMAL_ONCE
E026	S026	f10r	H2	H2-S002	PROC021	otol	OT+OL	NORMAL_ONCE
E027	S027	f10r	H2	H2-S002	PROC013	chol	OL	NORMAL_ONCE
E028	S028	f10r	H2	H2-S002	PROC022	cholor	OL+OR	NORMAL_ONCE
E029	S029	f10r	H2	H2-S002	PROC013	chol	OL	NORMAL_ONCE
