statement_id	page	record	logical_source_cards	visible_cards	source_recipe_sequence	rendered_recipe_sequence	pass762_forward_sequence	layout_action	open_statement
H1-S001	f10r	H1	10	10	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	NONE	YES
H1-S002	f10r	H1	4	4	OK+Y | OT+CH+OL | OL | CTH+Y	OK+Y | OT+CH+OL | OL | CTH+Y	OK+Y | OT+CH+OL | OL | CTH+Y	NONE	YES
H2-S001	f10r	H2	9	9	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	NONE	YES
H2-S002	f10r	H2	8	8	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	NONE	YES
H2-S003	f10r	H2	7	7	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	NONE	YES
H3-S001	f11r	H3	7	7	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	NONE	NO
H3-S002	f11r	H3	1	1	SH+O+Y+T+Y	SH+O+Y+T+Y	SH+O+Y+T+Y	NONE	YES
H3-S003	f11r	H3	5	5	RESUME_CARD | Y | K+Y | Y | AIIN	RESUME_CARD | Y | K+Y | Y | AIIN	RESUME_CARD | Y | K+Y | Y | AIIN	NONE	YES
H3-S004	f11r	H3	4	4	OT+Y | OK+OL | CTH+Y | Y	OT+Y | OK+OL | CTH+Y | Y	OT+Y | OK+OL | CTH+Y | Y	NONE	YES
H4-S001	f55v	H4	5	5	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	NONE	NO
H4-S002	f55v	H4	3	3	AIIN | CHD+Y | TALAM	AIIN | CHD+Y | TALAM	AIIN | CHD+Y | TALAM	NONE	YES
H4-S003	f55v	H4	4	4	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	NONE	NO
