event_id	diagram_unit	physical_page	locus	surface	owner_id	visible_owner_de	component_recipe	portable_card_reading_de	local_address_reading_de	diagram_model
P912-E0848	f75r	f75r	f75r.47	sal	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	S+AL	AUSWÄHLEN · ZIELSTATION	Zielklasse wählen; am zweiten Grad eintragen und schließen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0849	f75r	f75r	f75r.47	okeedy	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	OK+EE+DY	AN STATION SETZEN · LÄNGER · SCHLUSS	Zielklasse wählen; am zweiten Grad eintragen und schließen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0850	f75r	f75r	f75r.48	daly	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	AL+Y	ZIELSTATION · POSTEN	Diesen Zielplatz mit dem wiederholten Gegenplatz verbinden.	BECKEN_UND_FIGURENSTATIONEN
P912-E0851	f75r	f75r	f75r.48	ychey	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	Y+Y	POSTEN · POSTEN	Diesen Zielplatz mit dem wiederholten Gegenplatz verbinden.	BECKEN_UND_FIGURENSTATIONEN
P912-E0852	f75r	f75r	f75r.49	sols	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	OL+S	FORTSETZEN · AUSWÄHLEN	Dieselbe Klasse an der unteren Quelladresse fortführen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0853	f75r	f75r	f75r.49	dara	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	D_ADDR+AR+A_ADDR	TEIL · QUELLSTATION · ORT	Dieselbe Klasse an der unteren Quelladresse fortführen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0854	f75r	f75r	f75r.50	ychty	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	Y+CH+T+Y	POSTEN · AUS STATION NEHMEN · EINSTELLEN · POSTEN	Diesen Platz auswählen, markieren und wieder als laufenden Platz setzen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0855	f75r	f75r	f75r.51	saino	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	S+AIN+O	AUSWÄHLEN · TEILMENGE · AUSFÜHREN	Eine Einheit auswählen und ihren örtlichen Gang aufrufen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0856	f75r	f75r	f75r.52	saldy	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	S+AL+DY	AUSWÄHLEN · ZIELSTATION · SCHLUSS	Den gewählten Zielplatz schließen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0857	f75r	f75r	f75r.53	dainy	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	AIN+Y	TEILMENGE · POSTEN	Eine Einheit gehört zu diesem Platz.	BECKEN_UND_FIGURENSTATIONEN
P912-E1111	f81v	f81v	f81v.28	otain	f81v	gemeinsames Bad- und Beckenfeld	OT+AIN	DANACH · TEILMENGE	gemeinsames Bad- und Beckenfeld: nächster Platz, Einheit.	GEMEINSAMES_BADFELD
P912-E1112	f81v	f81v	f81v.28	olkal	f81v	gemeinsames Bad- und Beckenfeld	OL+K+AL	FORTSETZEN · IN STATION GEBEN · ZIELSTATION	gemeinsames Bad- und Beckenfeld: gleiche Reihe weiter, Wert zuordnen, Zielplatz.	GEMEINSAMES_BADFELD
P912-E1185	f82r	f82r	f82r.10	oroldair	f82r	mehrere lokale Bad- und Leitungsstationen	OR+OL+D_ADDR+AIR	ARBEITSSATZ · FORTSETZEN · TEIL · BECKENLAUF	mehrere lokale Bad- und Leitungsstationen: Eintragsklasse, gleiche Reihe weiter, Unterplatz, Ringlauf.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1392	f82r	f82r	f82r.34	okor	f82r	mehrere lokale Bad- und Leitungsstationen	OK+OR	AN STATION SETZEN · ARBEITSSATZ	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Eintragsklasse.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1393	f82r	f82r	f82r.35	darol	f82r	mehrere lokale Bad- und Leitungsstationen	DA+R+OL	ZWEIT · MARKIEREN · FORTSETZEN	mehrere lokale Bad- und Leitungsstationen: zweite Stufe, Zustandsmarke, gleiche Reihe weiter.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1394	f82r	f82r	f82r.36	okal	f82r	mehrere lokale Bad- und Leitungsstationen	OK+AL	AN STATION SETZEN · ZIELSTATION	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Zielplatz.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1395	f82r	f82r	f82r.37	okaldy	f82r	mehrere lokale Bad- und Leitungsstationen	OK+AL+DY	AN STATION SETZEN · ZIELSTATION · SCHLUSS	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Zielplatz, Eintrag schließen.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1396	f82r	f82r	f82r.38	darary	f82r	mehrere lokale Bad- und Leitungsstationen	DA+R+AR+Y	ZWEIT · MARKIEREN · QUELLSTATION · POSTEN	mehrere lokale Bad- und Leitungsstationen: zweite Stufe, Zustandsmarke, Quell- oder Bezugsstelle, dieser Platz.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1397	f82r	f82r	f82r.39	okairady	f82r	mehrere lokale Bad- und Leitungsstationen	OK+AIR+A_ADDR+D_ADDR+Y	AN STATION SETZEN · BECKENLAUF · ORT · TEIL · POSTEN	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Ringlauf, lokale Adresse, Unterplatz, dieser Platz.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1398	f82r	f82r	f82r.40	sororl	f82r	mehrere lokale Bad- und Leitungsstationen	S+OR+OR+L	AUSWÄHLEN · ARBEITSSATZ · ARBEITSSATZ · LEITEN	mehrere lokale Bad- und Leitungsstationen: Klasse wählen, Eintragsklasse, Verbindung.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1399	f82r	f82r	f82r.41	olkoky	f82r	mehrere lokale Bad- und Leitungsstationen	OL+K+OK+Y	FORTSETZEN · IN STATION GEBEN · AN STATION SETZEN · POSTEN	mehrere lokale Bad- und Leitungsstationen: gleiche Reihe weiter, Wert zuordnen, Platz aktivieren, dieser Platz.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1400	f82r	f82r	f82r.42	sokoly	f82r	mehrere lokale Bad- und Leitungsstationen	S+OK+OL+Y	AUSWÄHLEN · AN STATION SETZEN · FORTSETZEN · POSTEN	mehrere lokale Bad- und Leitungsstationen: Klasse wählen, Platz aktivieren, gleiche Reihe weiter, dieser Platz.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1401	f82r	f82r	f82r.43	dolol	f82r	mehrere lokale Bad- und Leitungsstationen	D_ADDR+OL+OL	TEIL · FORTSETZEN · FORTSETZEN	mehrere lokale Bad- und Leitungsstationen: Unterplatz, gleiche Reihe weiter.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1402	f82r	f82r	f82r.44	olaiin	f82r	mehrere lokale Bad- und Leitungsstationen	OL+AIIN	FORTSETZEN · STATIONSWERT	mehrere lokale Bad- und Leitungsstationen: gleiche Reihe weiter, verzeichneter Sollwert.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1403	f82r	f82r	f82r.45	okeear	f82r	mehrere lokale Bad- und Leitungsstationen	OK+EE+AR	AN STATION SETZEN · LÄNGER · QUELLSTATION	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, zweiter Grad, Quell- oder Bezugsstelle.	LOKALE_BAD_UND_LEITUNGSSTATIONEN
P912-E1718	f83r	f83r	f83r.45	chtorol	f83r	lokale Becken-, Figuren- und Verbindungsstationen	CH+T+OR+OL	AUS STATION NEHMEN · EINSTELLEN · ARBEITSSATZ · FORTSETZEN	lokale Becken-, Figuren- und Verbindungsstationen: Klassenkennung, Platz einstellen, Eintragsklasse, gleiche Reihe weiter.	LOKALE_BECKEN_UND_VERBINDUNGSSTATIONEN
P912-E1719	f83r	f83r	f83r.46	olsaiin	f83r	lokale Becken-, Figuren- und Verbindungsstationen	OL+S+AIIN	FORTSETZEN · AUSWÄHLEN · STATIONSWERT	lokale Becken-, Figuren- und Verbindungsstationen: gleiche Reihe weiter, Klasse wählen, verzeichneter Sollwert.	LOKALE_BECKEN_UND_VERBINDUNGSSTATIONEN
P912-E1731	f83r	f83r	f83r.50	sasoldal	f83r	lokale Becken-, Figuren- und Verbindungsstationen	S+A_ADDR+S+OL+DA+L	AUSWÄHLEN · ORT · AUSWÄHLEN · FORTSETZEN · ZWEIT · LEITEN	lokale Becken-, Figuren- und Verbindungsstationen: Klasse wählen, lokale Adresse, Klasse wählen, gleiche Reihe weiter, zweite Stufe, Verbindung.	LOKALE_BECKEN_UND_VERBINDUNGSSTATIONEN
P912-E1732	f83r	f83r	f83r.51	darolsy	f83r	lokale Becken-, Figuren- und Verbindungsstationen	DA+R+OL+S+Y	ZWEIT · MARKIEREN · FORTSETZEN · AUSWÄHLEN · POSTEN	lokale Becken-, Figuren- und Verbindungsstationen: zweite Stufe, Zustandsmarke, gleiche Reihe weiter, Klasse wählen, dieser Platz.	LOKALE_BECKEN_UND_VERBINDUNGSSTATIONEN
P912-E1749	f67r2	f67r2	f67r2.1	ykshy	f67r2	zwei lokale Himmelsraeder	Y+K+Y	POSTEN · WERT ZUORDNEN · POSTEN	zwei lokale Himmelsraeder: dieser Platz, Wert zuordnen, dieser Platz.	ZWEI_HIMMELSRAD_REGISTER
P912-E1750	f67r2	f67r2	f67r2.1	s	f67r2	zwei lokale Himmelsraeder	S	AUSWÄHLEN	zwei lokale Himmelsraeder: Klasse wählen.	ZWEI_HIMMELSRAD_REGISTER
P912-E1751	f67r2	f67r2	f67r2.1	aram	f67r2	zwei lokale Himmelsraeder	AR+AM_ADDR	BEZUGSPLATZ · INNEN	zwei lokale Himmelsraeder: Quell- oder Bezugsstelle, Innenplatz.	ZWEI_HIMMELSRAD_REGISTER
