component	short_value_de	exact_card_id	surfaces	component_recipe	tail_without_component	working_reading_de	events
SHED	ABSETZEN	PROC078	cheedy|shedy|tedy	SHED+DY	DY	ABSETZEN · SCHLUSS	12
SHED	ABSETZEN	PROC128	rshedy	R+SHED+DY	R+DY	KUEHLEN · ABSETZEN · SCHLUSS	1
SHED	ABSETZEN	PROC142	shedal	SHED+AL	AL	ABSETZEN · ZIELSTELLE	2
CHK	WAERMEN	PROC046	cheeky	CHK+EE+Y	EE+Y	WAERMEN · LANG · DIES	2
CHK	WAERMEN	PROC107	chkeey	CHK+EE+Y	EE+Y	WAERMEN · LANG · DIES	1
CHK	WAERMEN	PROC083	cheky	CHK+E+Y	E+Y	WAERMEN · KURZ · DIES	3
CHK	WAERMEN	PROC132	chkeedy	CHK+EE+DY	EE+DY	WAERMEN · LANG · SCHLUSS	1
P	FUELLEN	PROC030	cphy	P+Y	Y	FUELLEN · DIES	1
P	FUELLEN	PROC125	pchedy	P+CHD+DY	CHD+DY	FUELLEN · UMSETZEN · SCHLUSS	1
P	FUELLEN	PROC134	pchedal	P+CHD+AL	CHD+AL	FUELLEN · UMSETZEN · ZIELSTELLE	1
LSH	WASCHEN	PROC084	lsho	LSH+O	O	WASCHEN · ARBEITSGANG	1
LSH	WASCHEN	PROC086	lshedy	LSH+E+DY	E+DY	WASCHEN · KURZ · SCHLUSS	2
