exception_no	event_id	case_id	record	statement_id	selected_card_no	invariant_command_de	body_surface	rule_predicted_surface	memorized_surface	copy_instruction_de
1	E011	C1	H1	H1-S002	PROC011	ANSETZEN · ARBEITSPOSTEN	okchy	okchy	qokchy	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
2	E022	C2	H2	H2-S001	PROC009	SOLLMASS	aiin	daiin	taiin	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
3	E033	C2	H2	H2-S003	PROC016	ANSATZ	or	chor	shor	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
4	E061	C4	H4	H4-S002	PROC009	SOLLMASS	aiin	aiin	daiin	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
5	E081	C5	H5	H5-S001	PROC008	ANSETZEN · ARBEITSPOSTEN	oky	oky	choky	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
6	E083	C5	H5	H5-S002	PROC034	WIEDERAUFNEHMEN	chol	dchol	schol	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
7	E105	C1	B1	B1-S002	PROC003	VORRAT	ar	char	sar	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
8	E148	C1	B1	B1-S014	PROC013	FORTSETZEN	ol	ol	qol	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
9	E153	C1	B1	B1-S016	PROC092	ANSETZEN · LANG · ARBEITSPOSTEN	okeey	qokeey	okeey	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
10	E154	C1	B1	B1-S016	PROC013	FORTSETZEN	ol	ol	qol	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
11	E155	C1	B1	B1-S016	PROC078	ABSETZEN; SCHLUSS	edy	shedy	cheedy	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
12	E186	C2	B2	B2-S006	PROC048	ANSETZEN · ZIELSTELLE	okal	okal	qokal	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
13	E233	C3	B3	B3-S003	PROC009	SOLLMASS	aiin	aiin	daiin	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
14	E239	C3	B3	B3-S005	PROC076	UMSETZEN; SCHLUSS	chedy	dchedy	schedy	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
15	E254	C3	B3	B3-S012	PROC016	ANSATZ	or	or	sor	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
16	E268	C3	B3	B3-S020	PROC055	ZIELSTELLE	al	cheal	dal	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
17	E271	C3	B3	B3-S021	PROC014	BEREIT · ARBEITSPOSTEN	cthy	checthy	shcthy	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
18	E283	C3	B3	B3-S024	PROC076	UMSETZEN; SCHLUSS	chedy	dchedy	tchedy	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
19	E291	C3	B3	B3-S026	PROC098	AUFFANGEN · LANG; SCHLUSS	olkeedy	olkeedy	solkeedy	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
20	E352	C4	B4	B4-S015	PROC080	ANSETZEN · PORTION	okain	okain	qokain	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
21	E366	C5	B5	B5-S003	PROC013	FORTSETZEN	ol	ol	cheol	diese lokale Schreiberform aus dem Masterexemplar kopieren; Bedeutung und Karte bleiben unveraendert
