event_id	case_id	page	record	statement_id	invariant_command_de	selected_card_no	surface_writer_layer	local_exception_needed	predicted_surface	observed_surface	exact_roundtrip
E001	C1	f10r	H1	H1-S001	ABNEHMEN · KURZ · ARBEITSPOSTEN	PROC001	SEMANTIC_CARD_OR_DESK_RULE	NO	dchey	dchey	YES
E002	C1	f10r	H1	H1-S001	BEREIT · ARBEITSGANG · ANSATZ	PROC002	SEMANTIC_CARD_OR_DESK_RULE	NO	cthoor	cthoor	YES
E003	C1	f10r	H1	H1-S001	VORRAT	PROC003	TWO_STAGE_BODY_WRAPPER_RULE	NO	char	char	YES
E004	C1	f10r	H1	H1-S001	EINTRAGEN · ARBEITSPOSTEN	PROC004	TWO_STAGE_BODY_WRAPPER_RULE	NO	chty	chty	YES
E005	C1	f10r	H1	H1-S001	ARBEITSFACH	PROC005	SEMANTIC_CARD_OR_DESK_RULE	NO	os	os	YES
E006	C1	f10r	H1	H1-S001	ABNEHMEN · FLUESSIGKEITSLAUF	PROC006	SEMANTIC_CARD_OR_DESK_RULE	NO	chair	chair	YES
E007	C1	f10r	H1	H1-S001	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	PROC007	SEMANTIC_CARD_OR_DESK_RULE	NO	otytchol	otytchol	YES
E008	C1	f10r	H1	H1-S001	ANSETZEN · ARBEITSPOSTEN	PROC008	TWO_STAGE_BODY_WRAPPER_RULE	NO	oky	oky	YES
E009	C1	f10r	H1	H1-S001	SOLLMASS	PROC009	TWO_STAGE_BODY_WRAPPER_RULE	NO	daiin	daiin	YES
E010	C1	f10r	H1	H1-S001	KURZ · EINTRAGEN · ARBEITSPOSTEN	PROC010	SEMANTIC_CARD_OR_DESK_RULE	NO	etyd	etyd	YES
E011	C1	f10r	H1	H1-S002	ANSETZEN · ARBEITSPOSTEN	PROC011	TWENTY_ONE_LOCAL_EXCEPTION_DECK	YES	qokchy	qokchy	YES
E012	C1	f10r	H1	H1-S002	DANACH · ABNEHMEN · FORTSETZEN	PROC012	SEMANTIC_CARD_OR_DESK_RULE	NO	qotchol	qotchol	YES
E013	C1	f10r	H1	H1-S002	FORTSETZEN	PROC013	SEMANTIC_CARD_OR_DESK_RULE	NO	chol	chol	YES
E014	C1	f10r	H1	H1-S002	BEREIT · ARBEITSPOSTEN	PROC014	TWO_STAGE_BODY_WRAPPER_RULE	NO	cthy	cthy	YES
E015	C2	f10r	H2	H2-S001	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	PROC015	SEMANTIC_CARD_OR_DESK_RULE	NO	ycheor	ycheor	YES
E016	C2	f10r	H2	H2-S001	BEREIT · ARBEITSPOSTEN	PROC014	TWO_STAGE_BODY_WRAPPER_RULE	NO	cthy	cthy	YES
E017	C2	f10r	H2	H2-S001	ANSATZ	PROC016	TWO_STAGE_BODY_WRAPPER_RULE	NO	chor	chor	YES
E018	C2	f10r	H2	H2-S001	BEREIT · SOLLMASS	PROC017	SEMANTIC_CARD_OR_DESK_RULE	NO	cthaiin	cthaiin	YES
E019	C2	f10r	H2	H2-S001	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	PROC018	SEMANTIC_CARD_OR_DESK_RULE	NO	qoctholy	qoctholy	YES
E020	C2	f10r	H2	H2-S001	ARBEITSPOSTEN	PROC019	TWO_STAGE_BODY_WRAPPER_RULE	NO	dy	dy	YES
E021	C2	f10r	H2	H2-S001	ARBEITSPOSTEN	PROC019	TWO_STAGE_BODY_WRAPPER_RULE	NO	chy	chy	YES
E022	C2	f10r	H2	H2-S001	SOLLMASS	PROC009	TWENTY_ONE_LOCAL_EXCEPTION_DECK	YES	taiin	taiin	YES
E023	C2	f10r	H2	H2-S001	ARBEITSPOSTEN	PROC019	TWO_STAGE_BODY_WRAPPER_RULE	NO	shy	shy	YES
E024	C2	f10r	H2	H2-S002	DANACH · ABNEHMEN · ANSATZ	PROC020	TWO_STAGE_BODY_WRAPPER_RULE	NO	qotchor	qotchor	YES
E025	C2	f10r	H2	H2-S002	ANSATZ	PROC016	TWO_STAGE_BODY_WRAPPER_RULE	NO	chor	chor	YES
