rule_no	body_surface	register	field_position	previous_wrapper	predicted_wrapper	selection_layer	support_events	observed_wrapper_counts
2	aiin	HERBAL_A	LAST	NONE	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
3	aiin	HERBAL_A	LAST	ch	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
4	aiin	HERBAL_A	LAST	d	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
5	aiin	HERBAL_A	MIDDLE	NONE	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
6	aiin	HERBAL_A	MIDDLE	ch	d	EXPANDED_KEY_MAJORITY	2	d:1|t:1
7	aiin	HERBAL_B	FIRST	NONE	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|d:1
8	aiin	HERBAL_B	MIDDLE	q	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
9	aiin	OTHER_B	FIRST	START	s	EXPANDED_KEY_MAJORITY	4	d:1|s:3
10	aiin	OTHER_B	LAST	ch	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
11	aiin	OTHER_B	LAST	q	s	PREVIOUS_WRAPPER_RESOLVES	1	s:1
12	aiin	OTHER_B	MIDDLE	NONE	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
13	aiin	OTHER_B	MIDDLE	che	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|d:1
14	aiin	OTHER_B	MIDDLE	q	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
15	aiin	OTHER_B	MIDDLE	sh	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
20	al	HERBAL_A	LAST	ch	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
21	al	OTHER_B	FIRST	START	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
22	al	OTHER_B	FIRST	che	s	PREVIOUS_WRAPPER_RESOLVES	1	s:1
23	al	OTHER_B	FIRST	q	che	EXPANDED_KEY_MAJORITY	2	che:1|d:1
24	al	OTHER_B	LAST	q	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
25	al	OTHER_B	MIDDLE	NONE	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
26	al	OTHER_B	MIDDLE	che	t	PREVIOUS_WRAPPER_RESOLVES	1	t:1
27	al	OTHER_B	MIDDLE	sh	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
28	al	OTHER_B	ONLY	sh	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
33	ar	HERBAL_A	LAST	d	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
34	ar	HERBAL_A	MIDDLE	NONE	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
35	ar	OTHER_B	LAST	q	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
36	ar	OTHER_B	MIDDLE	NONE	ch	EXPANDED_KEY_MAJORITY	2	ch:1|s:1
41	chedy	OTHER_B	LAST	ch	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
42	chedy	OTHER_B	ONLY	START	d	EXPANDED_KEY_MAJORITY	3	d:1|s:1|t:1
46	chol	HERBAL_A	FIRST	START	d	EXPANDED_KEY_MAJORITY	2	d:1|s:1
51	ckhy	OTHER_B	FIRST	q	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
52	ckhy	OTHER_B	MIDDLE	d	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
53	ckhy	OTHER_B	MIDDLE	q	sh	PREVIOUS_WRAPPER_RESOLVES	1	sh:1
54	ckhy	OTHER_B	MIDDLE	s	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
57	cthey	OTHER_B	MIDDLE	ch	sh	PREVIOUS_WRAPPER_RESOLVES	1	sh:1
58	cthey	OTHER_B	MIDDLE	che	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
60	cthy	HERBAL_A	LAST	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
61	cthy	HERBAL_A	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	2	NONE:2
62	cthy	OTHER_B	MIDDLE	q	che	EXPANDED_KEY_MAJORITY	2	che:1|sh:1
63	cthy	OTHER_B	MIDDLE	s	che	PREVIOUS_WRAPPER_RESOLVES	1	che:1
64	cthy	OTHER_B	MIDDLE	t	sh	PREVIOUS_WRAPPER_RESOLVES	1	sh:1
70	dy	OTHER_B	FIRST	q	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
72	dy	OTHER_B	LAST	NONE	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
73	dy	OTHER_B	LAST	d	che	PREVIOUS_WRAPPER_RESOLVES	1	che:1
74	dy	OTHER_B	MIDDLE	ch	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
75	dy	OTHER_B	MIDDLE	che	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
76	dy	OTHER_B	MIDDLE	d	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
77	dy	OTHER_B	MIDDLE	q	che	UNIQUE_BODY_REGISTER_POSITION	2	che:2
86	edy	OTHER_B	LAST	NONE	sh	PREVIOUS_WRAPPER_RESOLVES	3	sh:3
87	edy	OTHER_B	LAST	q	sh	EXPANDED_KEY_MAJORITY	3	che:1|sh:2
88	edy	OTHER_B	LAST	s	sh	PREVIOUS_WRAPPER_RESOLVES	2	sh:2
89	edy	OTHER_B	LAST	t	sh	PREVIOUS_WRAPPER_RESOLVES	1	sh:1
90	edy	OTHER_B	ONLY	NONE	t	PREVIOUS_WRAPPER_RESOLVES	1	t:1
91	edy	OTHER_B	ONLY	q	sh	PREVIOUS_WRAPPER_RESOLVES	2	sh:2
107	kain	OTHER_B	MIDDLE	NONE	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
108	kain	OTHER_B	MIDDLE	q	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
109	kain	OTHER_B	MIDDLE	sh	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
152	o	HERBAL_A	FIRST	START	sh	UNIQUE_BODY_REGISTER_POSITION	2	sh:2
153	o	HERBAL_A	MIDDLE	ch	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
154	o	HERBAL_A	MIDDLE	s	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
163	oiiin	OTHER_B	FIRST	START	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
164	oiiin	OTHER_B	MIDDLE	d	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
165	okaiin	HERBAL_B	FIRST	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
166	okaiin	OTHER_B	FIRST	NONE	q	PREVIOUS_WRAPPER_RESOLVES	3	q:3
167	okaiin	OTHER_B	FIRST	START	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
168	okaiin	OTHER_B	FIRST	q	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
169	okaiin	OTHER_B	FIRST	sh	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
170	okaiin	OTHER_B	LAST	ch	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
171	okaiin	OTHER_B	MIDDLE	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
172	okain	OTHER_B	FIRST	START	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|q:1
173	okain	OTHER_B	FIRST	q	q	PREVIOUS_WRAPPER_RESOLVES	2	q:2
174	okain	OTHER_B	MIDDLE	NONE	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
175	okain	OTHER_B	MIDDLE	ch	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
176	okain	OTHER_B	MIDDLE	che	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
178	okal	HERBAL_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
179	okal	OTHER_B	FIRST	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
180	okal	OTHER_B	FIRST	q	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
181	okal	OTHER_B	MIDDLE	NONE	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|q:1
182	okal	OTHER_B	MIDDLE	che	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
192	okchy	HERBAL_A	FIRST	START	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|q:1
193	okchy	HERBAL_A	MIDDLE	sh	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
211	okeey	OTHER_B	FIRST	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
212	okeey	OTHER_B	FIRST	q	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
213	okeey	OTHER_B	FIRST	s	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
214	okeey	OTHER_B	MIDDLE	NONE	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
215	okeey	OTHER_B	MIDDLE	q	q	EXPANDED_KEY_MAJORITY	3	NONE:1|q:2
216	okey	OTHER_B	LAST	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
217	okey	OTHER_B	MIDDLE	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
221	oky	HERBAL_A	MIDDLE	NONE	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|ch:1
222	oky	HERBAL_A	MIDDLE	ch	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
233	ol	OTHER_B	FIRST	START	s	UNIQUE_BODY_REGISTER_POSITION	2	s:2
234	ol	OTHER_B	FIRST	q	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
236	ol	OTHER_B	MIDDLE	NONE	NONE	EXPANDED_KEY_MAJORITY	4	NONE:2|q:2
