root	root_meaning_de	grade	grade_meaning_de	endpoint	endpoint_meaning_de	component_recipe	preferred_surface	observed_events	status	composed_reading_de
OK	ANSETZEN	E	KURZ	Y	VERFUEGBAR	OK+E+Y	okey	15	OBSERVED	kurz ansetzen; den Posten verfügbar lassen
OK	ANSETZEN	E	KURZ	DY	SCHLUSS	OK+E+DY	okedy	45	OBSERVED	kurz ansetzen; den Schritt schließen
OK	ANSETZEN	EE	LAENGER	Y	VERFUEGBAR	OK+EE+Y	okeey	30	OBSERVED	länger ansetzen; den Posten verfügbar lassen
OK	ANSETZEN	EE	LAENGER	DY	SCHLUSS	OK+EE+DY	okeedy	45	OBSERVED	länger ansetzen; den Schritt schließen
SH	HALTEN	E	KURZ	Y	VERFUEGBAR	SH+E+Y	shey	26	OBSERVED	kurz halten; den Posten verfügbar lassen
SH	HALTEN	E	KURZ	DY	SCHLUSS	SH+E+DY	dshedy	6	OBSERVED	kurz halten; den Schritt schließen
SH	HALTEN	EE	LAENGER	Y	VERFUEGBAR	SH+EE+Y	cheey	21	OBSERVED	länger halten; den Posten verfügbar lassen
SH	HALTEN	EE	LAENGER	DY	SCHLUSS	SH+EE+DY	sheedy	7	OBSERVED	länger halten; den Schritt schließen
CHK	BEHANDELN	E	KURZ	Y	VERFUEGBAR	CHK+E+Y	cheky	7	OBSERVED	kurz behandeln; den Posten verfügbar lassen
CHK	BEHANDELN	E	KURZ	DY	SCHLUSS	CHK+E+DY	chekedy	0	PREDICTED_MISSING_CARD	kurz behandeln; den Schritt schließen
CHK	BEHANDELN	EE	LAENGER	Y	VERFUEGBAR	CHK+EE+Y	cheeky	5	OBSERVED	länger behandeln; den Posten verfügbar lassen
CHK	BEHANDELN	EE	LAENGER	DY	SCHLUSS	CHK+EE+DY	chkeedy	2	OBSERVED	länger behandeln; den Schritt schließen
