contrast_id	axis	recipe_a	surface_a	events_a	recipe_b	surface_b	events_b	single_meaning_change_de	both_observed
K01	GRADE	OK+E+Y	okey	15	OK+EE+Y	okeey	30	kurz → länger	YES
K02	GRADE	OK+E+DY	okedy	45	OK+EE+DY	okeedy	45	kurz → länger	YES
K03	GRADE	SH+E+Y	shey	26	SH+EE+Y	cheey	21	kurz → länger	YES
K04	GRADE	SH+E+DY	dshedy	6	SH+EE+DY	sheedy	7	kurz → länger	YES
K05	GRADE	CHK+E+Y	cheky	7	CHK+EE+Y	cheeky	5	kurz → länger	YES
K06	ENDPOINT	OK+E+Y	okey	15	OK+E+DY	okedy	45	verfügbar lassen → Schritt schließen	YES
K07	ENDPOINT	OK+EE+Y	okeey	30	OK+EE+DY	okeedy	45	verfügbar lassen → Schritt schließen	YES
K08	ENDPOINT	SH+E+Y	shey	26	SH+E+DY	dshedy	6	verfügbar lassen → Schritt schließen	YES
K09	ENDPOINT	SH+EE+Y	cheey	21	SH+EE+DY	sheedy	7	verfügbar lassen → Schritt schließen	YES
K10	ENDPOINT	CHK+EE+Y	cheeky	5	CHK+EE+DY	chkeedy	2	verfügbar lassen → Schritt schließen	YES
K11	QUANTITY	OK+AIN	okain	37	OK+AIIN	okaiin	26	Portion → vorgeschriebenes Maß	YES
K12	QUANTITY	K+AIN	kain	4	K+AIIN	kaiin	2	Portion → vorgeschriebenes Maß	YES
K13	QUANTITY	S+AIN	sain	9	S+AIIN	saiin	10	Portion → vorgeschriebenes Maß	YES
K14	DIRECTION	OK+AR	okar	21	OK+AL	okal	26	Entnahmestelle → Zielstelle	YES
K15	DIRECTION	S+AR	sar	11	S+AL	sal	7	Entnahmestelle → Zielstelle	YES
K16	DIRECTION	CHK+AR	chkar	2	CHK+AL	chkal	2	Entnahmestelle → Zielstelle	YES
K17	ACTION	OK+E+Y	okey	15	SH+E+Y	shey	26	ansetzen → halten	YES
K18	ACTION	OK+EE+Y	okeey	30	SH+EE+Y	cheey	21	ansetzen → halten	YES
K19	ACTION	OK+E+DY	okedy	45	SH+E+DY	dshedy	6	ansetzen → halten	YES
K20	ACTION	OK+EE+DY	okeedy	45	SH+EE+DY	sheedy	7	ansetzen → halten	YES
K21	ACTION	SH+E+Y	shey	26	CHK+E+Y	cheky	7	halten → behandeln	YES
K22	ACTION	SH+EE+Y	cheey	21	CHK+EE+Y	cheeky	5	halten → behandeln	YES
K23	ACTION	SH+EE+DY	sheedy	7	CHK+EE+DY	chkeedy	2	halten → behandeln	YES
K24	PATH	CHD+Y	chedy	52	CKH+Y	chckhy	13	umsetzen → durch einen Durchlass führen	YES
K25	ORDER	OL+Y	oly	14	OT+Y	oty	24	fortsetzen → nächster Posten	YES
