pair_id	macro_id	component_recipe	meaning_de	internal_surface	post_close_entry_surface	meaning_change	function_change
Q01	M01	OK+EE+DY	länger ansetzen; fertig	okeedy	qokeedy	NONE	ENTRY_POSITION_ONLY
Q02	M02	OK+E+DY	kurz ansetzen; fertig	okedy	qokedy	NONE	ENTRY_POSITION_ONLY
Q03	M03	OK+EE+Y	dies länger ansetzen	okeey	qokeey	NONE	ENTRY_POSITION_ONLY
Q04	M04	OK+E+Y	dies kurz ansetzen	okey	qokey	NONE	ENTRY_POSITION_ONLY
Q05	M09	OT+EE+DY	danach länger; fertig	oteedy	qoteedy	NONE	ENTRY_POSITION_ONLY
Q06	M10	OT+E+DY	danach kurz; fertig	otedy	qotedy	NONE	ENTRY_POSITION_ONLY
Q07	M13	OL+CHD+DY	weiter umsetzen; fertig	olchedy	qolchedy	NONE	ENTRY_POSITION_ONLY
Q08	M14	OK+CHD+DY	ansetzen und umsetzen; fertig	okchdy	qokchdy	NONE	ENTRY_POSITION_ONLY
Q09	M18	CKH+Y	dies durch den Durchlass	chckhy	qckhsy	NONE	ENTRY_POSITION_ONLY
Q10	M21	OK+AIIN	nach Sollmaß ansetzen	okaiin	qokaiin	NONE	ENTRY_POSITION_ONLY
Q11	M22	OK+AIN	eine Portion ansetzen	okain	qokain	NONE	ENTRY_POSITION_ONLY
Q12	M23	OK+AL	an der Zielstelle ansetzen	okal	qokal	NONE	ENTRY_POSITION_ONLY
Q13	M24	OK+AR	von der Entnahmestelle ansetzen	okar	qokar	NONE	ENTRY_POSITION_ONLY
Q14	M25	OL+DY	fortsetzen; fertig	oldy	qoldy	NONE	ENTRY_POSITION_ONLY
Q15	M26	OL+Y	mit diesem fortsetzen	oly	qoly	NONE	ENTRY_POSITION_ONLY
Q16	M27	OT+Y	danach diesen Posten	oty	qoty	NONE	ENTRY_POSITION_ONLY
Q17	M36	OK+OL	den Gang beginnen und fortsetzen	okol	qokol	NONE	ENTRY_POSITION_ONLY
Q18	M37	OT+OR	danach mit dem Ansatz	otor	qotor	NONE	ENTRY_POSITION_ONLY
Q19	M39	O+P+Y	dies in den Arbeitsgang einsetzen	opchy	qopchy	NONE	ENTRY_POSITION_ONLY
