turn	record_unit_id	statement_id	microcycle	event_ids	owner_sequence	incoming_material_de	master_dictation_de	apprentice_surface_answer	apprentice_atomic_backreading	apprentice_slot_backreading	explicit_material_markers	outgoing_material_de	apprentice_explanation_de	identity_value_slot_thread_match
1	H3	H3-S001	1	E039|E040	Blütenkraut der abgebildeten Pflanze	Rohteil	Arbeite bei Blütenkraut der abgebildeten Pflanze am rohteil: Blütenkraut, dann zieleingabe. Schreibe den Mikrogang in deiner Hand.	tshol schoal	Blütenkraut → Zieleingabe	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Rohteil	Rohteil	Ich habe 2 Karten geschrieben. Sie bedeuten Blütenkraut, dann zieleingabe; der Stofffaden endet hier als rohteil.	YES
2	H3	H3-S001	2	E041|E042|E043|E044|E045	Blütenkraut der abgebildeten Pflanze	Rohteil	Arbeite bei Blütenkraut der abgebildeten Pflanze am rohteil: Auswringen, dann standzeit, dann nachseihen, dann klarauszug, dann rücknahmeschluss. Schreibe den Mikrogang in deiner Hand.	cfhy shfydaiin cphy shey tchody	Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Klarauszug	Klarauszug	Ich habe 5 Karten geschrieben. Sie bedeuten Auswringen, dann standzeit, dann nachseihen, dann klarauszug, dann rücknahmeschluss; der Stofffaden endet hier als klarauszug.	YES
3	H3	H3-S002	1	E046	Blütenkraut der abgebildeten Pflanze	Rohteil	Arbeite bei Blütenkraut der abgebildeten Pflanze am rohteil: Zutatfolgeteil. Schreibe den Mikrogang in deiner Hand.	shoyty	Zutatfolgeteil	S1_BEZUG_FOLGE	Rohteil	Rohteil	Ich habe 1 Karten geschrieben. Sie bedeuten Zutatfolgeteil; der Stofffaden endet hier als rohteil.	YES
4	H3	H3-S003	1	E047|E048|E049	Blütenkraut der abgebildeten Pflanze	Rohteil	Arbeite bei Blütenkraut der abgebildeten Pflanze am rohteil: Vorfortsetzung, dann diesposten, dann bindeposten. Schreibe den Mikrogang in deiner Hand.	dchol y kchy	Vorfortsetzung → Diesposten → Bindeposten	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS	NONE__THREAD_INHERITED	Rohteil	Ich habe 3 Karten geschrieben. Sie bedeuten Vorfortsetzung, dann diesposten, dann bindeposten; der Stofffaden endet hier als rohteil.	YES
5	H3	H3-S003	2	E050|E051	Blütenkraut der abgebildeten Pflanze	Rohteil	Arbeite bei Blütenkraut der abgebildeten Pflanze am rohteil: Diesposten, dann sollmaß. Schreibe den Mikrogang in deiner Hand.	y aiin	Diesposten → Sollmaß	S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Bemessene Portion	Bemessene Portion	Ich habe 2 Karten geschrieben. Sie bedeuten Diesposten, dann sollmaß; der Stofffaden endet hier als bemessene portion.	YES
6	H3	H3-S004	1	E052|E053|E054	Blütenkraut der abgebildeten Pflanze	Bemessene Portion	Arbeite bei Blütenkraut der abgebildeten Pflanze am bemessene portion: Folgeposten, dann fortsetzungseinsatz, dann bereit. Schreibe den Mikrogang in deiner Hand.	qotchy okchol cthy	Folgeposten → Fortsetzungseinsatz → Bereit	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S6_BEREIT_ABSCHLUSS	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 3 Karten geschrieben. Sie bedeuten Folgeposten, dann fortsetzungseinsatz, dann bereit; der Stofffaden endet hier als bemessene portion.	YES
7	H3	H3-S004	2	E055	Blütenkraut der abgebildeten Pflanze	Bemessene Portion	Arbeite bei Blütenkraut der abgebildeten Pflanze am bemessene portion: Diesposten. Schreibe den Mikrogang in deiner Hand.	y	Diesposten	S1_BEZUG_FOLGE	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 1 Karten geschrieben. Sie bedeuten Diesposten; der Stofffaden endet hier als bemessene portion.	YES
8	B2	B2-S001	1	E167	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: überführen. Schreibe den Mikrogang in deiner Hand.	dchedy	überführen	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten überführen; der Stofffaden endet hier als klarauszug.	YES
9	B2	B2-S002	1	E168	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: weiterführen. Schreibe den Mikrogang in deiner Hand.	qolchedy	weiterführen	S1_BEZUG_FOLGE	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten weiterführen; der Stofffaden endet hier als klarauszug.	YES
10	B2	B2-S003	1	E169	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Zugabe. Schreibe den Mikrogang in deiner Hand.	qokain	Zugabe	S2_MATERIAL_MASS	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten Zugabe; der Stofffaden endet hier als klarauszug.	YES
