master_card_id	master_form	registered_surfaces	whole_sign_class	working_value_de	event_count	statement_positions	terminal_statuses	slot_rule	revision_263
MC012	dl	dl	CONTENT_OR_PRODUCT_SIGN	Zusatz	2	MIDDLE	NONCLOSE	name a material, product, vessel or part; remain open	KEEP
MC037	tchody	tchody	TERMINAL_OPERATION_SIGN	kalt stellen; Schluss	1	LAST	TERMINAL	perform the learned operation and close the statement	KEEP
MC049	schoal	schoal	CONTENT_OR_PRODUCT_SIGN	Sudansatz	1	MIDDLE	NONCLOSE	name a material, product, vessel or part; remain open	KEEP
MC052	qekey	qekey	INTERNAL_OPERATION_SIGN	kurz bearbeiten	1	MIDDLE	NONCLOSE	perform an internal operation; remain open	KEEP
MC059	dain	dain	CONTENT_OR_PRODUCT_SIGN	Einlage	2	FIRST|MIDDLE	NONCLOSE	name a material, product, vessel or part; remain open	KEEP
MC061	sshkchdy	sshkchdy	TERMINAL_OPERATION_SIGN	übertragen; Schluss	1	LAST	TERMINAL	perform the learned operation and close the statement	KEEP
MC068	sotodan	sotodan	OPEN_HANDOFF_SIGN	zur Folgeanwendung weiterführen	1	LAST	NONCLOSE	hand the active item to a following application; remain open	KEEP
MC071	dchey	dchey	CONTENT_OR_PRODUCT_SIGN	Wurzel	1	FIRST	NONCLOSE	name a material, product, vessel or part; remain open	KEEP
MC084	rshedy	rshedy	TERMINAL_OPERATION_SIGN	Vollwaschung; Schluss	1	ONLY	TERMINAL	perform the learned operation and close the statement	KEEP
MC098	tshol	tshol	CONTENT_OR_PRODUCT_SIGN	Kochgut	1	FIRST	NONCLOSE	name a material, product, vessel or part; remain open	KEEP
MC099	cheeckhody	cheeckhody	TERMINAL_OPERATION_SIGN	auftragen; Schluss	1	LAST	TERMINAL	perform the learned operation and close the statement	KEEP
MC108	etyd	etyd	CONTENT_OR_PRODUCT_SIGN	kleiner Rest	1	LAST	NONCLOSE	name a material, product, vessel or part; remain open	KEEP
MC109	ytey	ytey	CONTENT_OR_PRODUCT_SIGN	Kurzteil	1	FIRST	NONCLOSE	name a material, product, vessel or part; remain open	KEEP
MC114	sh	sh	CONTENT_OR_PRODUCT_SIGN	Stängel	1	FIRST	NONCLOSE	name a material, product, vessel or part; remain open	KEEP
MC118	ly	ly	CONTENT_OR_PRODUCT_SIGN	Auffanggefäß	1	FIRST	NONCLOSE	name a material, product, vessel or part; remain open	KEEP
MC119	cheey	cheey|shey	CONTENT_OR_PRODUCT_SIGN	Klarlauf	4	MIDDLE|LAST	NONCLOSE	name a material, product, vessel or part; remain open	KEEP
MC124	lkedy	lkedy	TERMINAL_OPERATION_SIGN	weiter abziehen; Schluss	1	LAST	TERMINAL	perform the learned operation and close the statement	KEEP
MC129	cfhy	cfhy	INTERNAL_OPERATION_SIGN	auswringen	1	MIDDLE	NONCLOSE	perform an internal operation; remain open	KEEP
MC138	dshedy	dshedy	TERMINAL_OPERATION_SIGN	Frischwasser zugeben; Schluss	1	ONLY	TERMINAL	perform the learned operation and close the statement	KEEP
MC152	ches	ches	INTERNAL_OPERATION_SIGN	teilen	1	MIDDLE	NONCLOSE	perform an internal operation; remain open	KEEP
MC156	cphy	cphy	INTERNAL_OPERATION_SIGN	nachseihen	1	MIDDLE	NONCLOSE	perform an internal operation; remain open	KEEP
MC160	talam	talam	TERMINAL_OPERATION_SIGN	verwahren; Schluss	1	LAST	TERMINAL	perform the learned operation and close the statement	NOUN_TO_TERMINAL_OPERATION
MC164	qokylddy	qokylddy	TERMINAL_OPERATION_SIGN	befestigen; Schluss	1	ONLY	TERMINAL	perform the learned operation and close the statement	KEEP
