surface	reading_id	working_meaning_de	current_layer	semantic_scope	semantic_applicability	form_level	occurrence_count	page_count	locus_count	working_model_score_0_100_not_probability	working_model_level	source_gdts	positive_evidence_de	counterevidence_de	historical_confirmation	historical_analogue	relation_word_delta	global_export_scope	bound_span_ids	unconditional_global_export_allowed	v93_context_realizations_de	source_reading_ids	v93_audit_decision	v93_evidence_class	v93_open_semantic_slots	v93_component_global_export_allowed
a	a#GLOBAL	je, zu gleichen Teilen	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	SEMANTIC_WORKING_READING	F3_EXACT_ZL3B_WHOLE	9	7	9	55	W2_PROVISIONAL_WORKING	GDT662:EXACT_WHOLE	V48-Quelle GDT662:EXACT_WHOLE mit Staerke MEDIUM_EXACT_WHOLE und Scope KNOWN_EXACT_WHOLE; 9 exakte ZL3b-Vorkommen auf 7 Seiten und 9 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	H0_NONE	NONE	0_GDT696_TO_GDT709	GLOBAL_V48_EXACT_WHOLE_DEFAULT	NONE	1	je, zu gleichen Teilen	a#GLOBAL	OUTSIDE_ACTIVE_V93_TRANCHE	INHERITED_GLOBAL_V48	NOT_EVALUATED	NOT_EVALUATED
acthy	acthy#GLOBAL	ein Teil Krautdroge in Grundform	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	SEMANTIC_WORKING_READING	F3_EXACT_ZL3B_WHOLE	1	1	1	4	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	GDT666:EXACT_WHOLE	V48-Quelle GDT666:EXACT_WHOLE mit Staerke LOW_EXPLORATORY und Scope KNOWN_EXACT_WHOLE; 1 exakte ZL3b-Vorkommen auf 1 Seiten und 1 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie; Quelle ist ausdruecklich LOW/EXPLORATORY; kein seitenuebergreifender Bedeutungsbeleg	H0_NONE	NONE	0_GDT696_TO_GDT709	GLOBAL_V48_EXACT_WHOLE_DEFAULT	NONE	1	ein Teil Krautdroge in Grundform	acthy#GLOBAL	OUTSIDE_ACTIVE_V93_TRANCHE	INHERITED_GLOBAL_V48	NOT_EVALUATED	NOT_EVALUATED
adeeody	adeeody#1	gleicher abgemessener Teil der fertigen Zubereitung	ACTIVE_V93_LEXICAL_CORE	ACTIVE_EXACT_WHOLE_READING	SEMANTIC_WORKING_READING	F3_EXACT_ACTIVE_ZL3B_TOKEN	1	1	1	30	W1_WEAK_WORKING	GDT691	1 aktive exakte Positionen auf 1 Seiten und 1 Zeilen; letzte semantische Entscheidung GDT691: Rollen-Dispatch der Zubereitungskoepfe; 0 aktionslizenzierte und 0 identitaetssignalisierte Positionen	historisch unbestaetigt; Score bewertet nur die interne Arbeitstheorie; lebender Rivale: Auszug|Charge	H0_NONE	NONE	0_GDT696_TO_GDT709	ACTIVE_WORKING_DEFAULT	NONE	1	gleicher abgemessener Teil der fertigen Zubereitung	adeeody#1	NOT_IN_GDT720_TRANCHE	INHERITED_V92	NOT_EVALUATED	NOT_EVALUATED
aeky	aeky#GLOBAL	einen Teil bis zur Mittelstufe erhitzen und abschließen	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	SEMANTIC_WORKING_READING	F3_EXACT_ZL3B_WHOLE	1	1	1	4	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	GDT668:EXACT_WHOLE	V48-Quelle GDT668:EXACT_WHOLE mit Staerke LOW_EXPLORATORY und Scope KNOWN_EXACT_WHOLE; 1 exakte ZL3b-Vorkommen auf 1 Seiten und 1 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie; Quelle ist ausdruecklich LOW/EXPLORATORY; kein seitenuebergreifender Bedeutungsbeleg	H0_NONE	NONE	0_GDT696_TO_GDT709	GLOBAL_V48_EXACT_WHOLE_DEFAULT	NONE	1	einen Teil bis zur Mittelstufe erhitzen und abschließen	aeky#GLOBAL	OUTSIDE_ACTIVE_V93_TRANCHE	INHERITED_GLOBAL_V48	NOT_EVALUATED	NOT_EVALUATED
agairom	agairom#GLOBAL	eine Handvoll der dritten Fraktion	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	SEMANTIC_WORKING_READING	F3_EXACT_ZL3B_WHOLE	1	1	1	0	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	GDT667:EXACT_WHOLE	V48-Quelle GDT667:EXACT_WHOLE mit Staerke LOW_EXPLORATORY und Scope KNOWN_EXACT_WHOLE; 1 exakte ZL3b-Vorkommen auf 1 Seiten und 1 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie; Quelle ist ausdruecklich LOW/EXPLORATORY; kein seitenuebergreifender Bedeutungsbeleg	H0_NONE	NONE	0_GDT696_TO_GDT709	GLOBAL_V48_EXACT_WHOLE_DEFAULT	NONE	1	eine Handvoll der dritten Fraktion	agairom#GLOBAL	OUTSIDE_ACTIVE_V93_TRANCHE	INHERITED_GLOBAL_V48	NOT_EVALUATED	NOT_EVALUATED
aiiin	aiiin#1	Wert IV	ACTIVE_V93_LEXICAL_CORE	ACTIVE_EXACT_WHOLE_READING	SEMANTIC_WORKING_READING	F3_EXACT_ACTIVE_ZL3B_TOKEN	1	1	1	39	W1_WEAK_WORKING	GDT690|GDT715	GDT715 trennt Wortkern und einmaligen Kontext: GDT626 bindet drei geschriebene i-Minime an Wert IV; GDT627 bindet die nackte A-Leiter an Werte I-IV; GDT690 waehlt an der einzigen aktiven Stelle Menge gegen den Rivalen Klassenwert IV. || 1 aktive exakte Positionen auf 1 Seiten und 1 Zeilen; letzte semantische Entscheidung GDT690: Nomenordinal-, Kopf- und Rivalenapparat; 0 aktionslizenzierte und 0 identitaetssignalisierte Positionen	GDT715 Gegenbeleg: Der Werttraeger benennt weder global eine Menge noch ein gezaehltes Objekt oder eine historische Einheit; Menge gilt nur an P052. || Historisch unbestaetigte Arbeitstheorie; keine Klartextidentifikation.	H0_NONE	NONE	0_GDT696_TO_GDT709	ACTIVE_WORKING_DEFAULT	NONE	1	Menge IV	aiiin#1	NOT_IN_GDT720_TRANCHE	INHERITED_V92	NOT_EVALUATED	NOT_EVALUATED
aiijy	aiijy#1	in drei Bündel abfüllen und schließen	ACTIVE_V93_LEXICAL_CORE	ACTIVE_EXACT_WHOLE_READING	SEMANTIC_WORKING_READING	F3_EXACT_ACTIVE_ZL3B_TOKEN	1	1	1	23	W1_WEAK_WORKING	GDT681	1 aktive exakte Positionen auf 1 Seiten und 1 Zeilen; letzte semantische Entscheidung GDT684: V57-Positionsaudit des geerbten Wortwerts; 1 aktionslizenzierte und 0 identitaetssignalisierte Positionen	historisch unbestaetigt; Score bewertet nur die interne Arbeitstheorie; aktuelle GDT684-Schuld: NONE; LOW/EXPLORATORY-Provenienz bleibt sichtbar	H0_NONE	NONE	0_GDT696_TO_GDT709	ACTIVE_WORKING_DEFAULT	NONE	1	in drei Bündel abfüllen und schließen	aiijy#1	NOT_IN_GDT720_TRANCHE	INHERITED_V92	NOT_EVALUATED	NOT_EVALUATED
aiil	aiil#GLOBAL	Rohstoffklasse III	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	SEMANTIC_WORKING_READING	F3_EXACT_ZL3B_WHOLE	1	1	1	28	W1_WEAK_WORKING	GDT655:NEW_EXACT_WHOLE	V48-Quelle GDT655:NEW_EXACT_WHOLE mit Staerke EXACT_WHOLE_DAL_AL_CONSOLIDATION und Scope KNOWN_EXACT_WHOLE; 1 exakte ZL3b-Vorkommen auf 1 Seiten und 1 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie; kein seitenuebergreifender Bedeutungsbeleg	H0_NONE	NONE	0_GDT696_TO_GDT709	GLOBAL_V48_EXACT_WHOLE_DEFAULT	NONE	1	Rohstoffklasse III	aiil#GLOBAL	OUTSIDE_ACTIVE_V93_TRANCHE	INHERITED_GLOBAL_V48	NOT_EVALUATED	NOT_EVALUATED
aiin	aiin#1	Menge III	ACTIVE_V93_LEXICAL_CORE	ACTIVE_EXACT_WHOLE_READING	SEMANTIC_WORKING_READING	F3_EXACT_ACTIVE_ZL3B_TOKEN	7	5	6	53	W2_PROVISIONAL_WORKING	GDT636_V13	7 aktive exakte Positionen auf 5 Seiten und 6 Zeilen; letzte semantische Entscheidung GDT684: V57-Positionsaudit des geerbten Wortwerts; 0 aktionslizenzierte und 0 identitaetssignalisierte Positionen	historisch unbestaetigt; Score bewertet nur die interne Arbeitstheorie; aktuelle GDT684-Schuld: MAJOR	H0_NONE	NONE	0_GDT696_TO_GDT709	ACTIVE_WORKING_DEFAULT	NONE	1	Menge III	aiin#1	NOT_IN_GDT720_TRANCHE	INHERITED_V92	NOT_EVALUATED	NOT_EVALUATED
aiinal	aiinal#GLOBAL	drei Teile Rohdroge I	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	SEMANTIC_WORKING_READING	F3_EXACT_ZL3B_WHOLE	2	2	2	48	W2_PROVISIONAL_WORKING	GDT664:EXACT_WHOLE	V48-Quelle GDT664:EXACT_WHOLE mit Staerke MEDIUM_EXACT_WHOLE und Scope KNOWN_EXACT_WHOLE; 2 exakte ZL3b-Vorkommen auf 2 Seiten und 2 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	H0_NONE	NONE	0_GDT696_TO_GDT709	GLOBAL_V48_EXACT_WHOLE_DEFAULT	NONE	1	drei Teile Rohdroge I	aiinal#GLOBAL	OUTSIDE_ACTIVE_V93_TRANCHE	INHERITED_GLOBAL_V48	NOT_EVALUATED	NOT_EVALUATED
