component	sharp_word_de	c1_present	c2_present	status	case_use
AIIN	SOLLMASS	YES	YES	SHARED	common plant-processing grammar
AIN	PORTION	YES	YES	SHARED	common plant-processing grammar
AIR	FLUESSIGKEITSLAUF	YES	NO	C1_ONLY	mild wash/ground-extract discriminator
AL	ZIELSTELLE	YES	YES	SHARED	common plant-processing grammar
AR	VORRAT	YES	YES	SHARED	common plant-processing grammar
CH	ABNEHMEN	YES	YES	SHARED	common plant-processing grammar
CHD	UMSETZEN	YES	YES	SHARED	common plant-processing grammar
CHK	WAERMEN	YES	YES	SHARED	common plant-processing grammar
CKH	DURCHLASSKANAL	YES	YES	SHARED	common plant-processing grammar
CTH	BEREIT	YES	YES	SHARED	common plant-processing grammar
DY	SCHLUSS	YES	YES	SHARED	common plant-processing grammar
E	KURZ	YES	YES	SHARED	common plant-processing grammar
EE	LANG	YES	YES	SHARED	common plant-processing grammar
EEE	VOLL	NO	YES	C2_ONLY	divided full-treatment/follow-up discriminator
IIN	ARBEITSSTUFE	YES	YES	SHARED	common plant-processing grammar
K	ZUDOSIEREN	YES	YES	SHARED	common plant-processing grammar
L	WEITERLEITEN	YES	YES	SHARED	common plant-processing grammar
LSH	WASCHEN	YES	NO	C1_ONLY	mild wash/ground-extract discriminator
O	ARBEITSGANG	YES	YES	SHARED	common plant-processing grammar
OK	ANSETZEN	YES	YES	SHARED	common plant-processing grammar
OL	FORTSETZEN	YES	YES	SHARED	common plant-processing grammar
OR	ANSATZ	YES	YES	SHARED	common plant-processing grammar
OS	ARBEITSFACH	YES	NO	C1_ONLY	mild wash/ground-extract discriminator
OT	DANACH	YES	YES	SHARED	common plant-processing grammar
P	EINFUELLEN	NO	YES	C2_ONLY	divided full-treatment/follow-up discriminator
R	KUEHLEN	YES	YES	SHARED	common plant-processing grammar
S	TEILEN	NO	YES	C2_ONLY	divided full-treatment/follow-up discriminator
SH	HALTEN	YES	YES	SHARED	common plant-processing grammar
SHED	ABSETZEN	YES	YES	SHARED	common plant-processing grammar
SOLK	AUFFANGEN	YES	YES	SHARED	common plant-processing grammar
T	EINTRAGEN	YES	NO	C1_ONLY	mild wash/ground-extract discriminator
Y	ARBEITSPOSTEN	YES	YES	SHARED	common plant-processing grammar
