case_id	phase	statement_id	page	record	event_count	surface_sequence	module_sequence	case_role
C1	PREPARE_PRODUCT	H1-S001	f10r	H1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	M01_DOSIEREN|M02_ANSETZEN_BEHANDELN|M03_ADRESSIEREN_WEITERLEITEN|M05_AUFFANGEN|M06_FORTSETZEN|M07_BEREITSCHAFT_PRUEFEN	MILD_WASH_OR_GROUND_EXTRACT
C1	PREPARE_PRODUCT	H1-S002	f10r	H1	4	qokchy qotchol chol cthy	M02_ANSETZEN_BEHANDELN|M06_FORTSETZEN|M07_BEREITSCHAFT_PRUEFEN	MILD_WASH_OR_GROUND_EXTRACT
C1	OPERATE_OR_APPLY	B1-S001	f81v	B1	1	qokedy	M02_ANSETZEN_BEHANDELN|M08_SCHLIESSEN	MILD_WASH_OR_GROUND_EXTRACT
C1	OPERATE_OR_APPLY	B1-S002	f81v	B1	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	M01_DOSIEREN|M02_ANSETZEN_BEHANDELN|M03_ADRESSIEREN_WEITERLEITEN|M04_HALTEN_ABSETZEN|M06_FORTSETZEN|M08_SCHLIESSEN	MILD_WASH_OR_GROUND_EXTRACT
C1	OPERATE_OR_APPLY	B1-S003	f81v	B1	2	qol sshkchdy	M03_ADRESSIEREN_WEITERLEITEN|M04_HALTEN_ABSETZEN|M06_FORTSETZEN|M08_SCHLIESSEN	MILD_WASH_OR_GROUND_EXTRACT
C1	OPERATE_OR_APPLY	B1-S004	f81v	B1	3	chedy ol shedy	M03_ADRESSIEREN_WEITERLEITEN|M04_HALTEN_ABSETZEN|M06_FORTSETZEN|M08_SCHLIESSEN	MILD_WASH_OR_GROUND_EXTRACT
C1	OPERATE_OR_APPLY	B1-S005	f81v	B1	1	qolchedy	M03_ADRESSIEREN_WEITERLEITEN|M06_FORTSETZEN|M08_SCHLIESSEN	MILD_WASH_OR_GROUND_EXTRACT
C1	OPERATE_OR_APPLY	B1-S006	f81v	B1	4	qokain shckhy dl ral	M01_DOSIEREN|M02_ANSETZEN_BEHANDELN|M03_ADRESSIEREN_WEITERLEITEN	MILD_WASH_OR_GROUND_EXTRACT
C1	OPERATE_OR_APPLY	B1-S007	f81v	B1	1	qokchdy	M03_ADRESSIEREN_WEITERLEITEN|M08_SCHLIESSEN	MILD_WASH_OR_GROUND_EXTRACT
C1	OPERATE_OR_APPLY	B1-S008	f81v	B1	5	chey ol cheky ol shedy	M04_HALTEN_ABSETZEN|M06_FORTSETZEN|M08_SCHLIESSEN	MILD_WASH_OR_GROUND_EXTRACT
