card_no	surfaces	semantic_component_parse	standard_command_de	c1_occurrences	c2_occurrences	status
PROC001	dchey	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	1	0	C1_ONLY
PROC002	cthoor	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	1	0	C1_ONLY
PROC003	char|dar|sar	AR	VORRAT	2	2	SHARED
PROC004	chety|chty	T+Y	EINTRAGEN · ARBEITSPOSTEN	1	0	C1_ONLY
PROC005	os	OS	ARBEITSFACH	1	0	C1_ONLY
PROC006	chair	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	1	0	C1_ONLY
PROC007	otytchol	OT+Y+T+CH+OL	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	1	0	C1_ONLY
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · ARBEITSPOSTEN	2	2	SHARED
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	3	4	SHARED
PROC010	etyd	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	1	0	C1_ONLY
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · ARBEITSPOSTEN	1	0	C1_ONLY
PROC012	qotchol	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	1	0	C1_ONLY
PROC013	cheol|chol|ol|qol|sol|tol	OL	FORTSETZEN	10	2	SHARED
PROC014	checthy|cthy|shcthy	CTH+Y	BEREIT · ARBEITSPOSTEN	1	1	SHARED
PROC015	ycheor	Y+CH+E+OR	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	0	1	C2_ONLY
PROC016	chor|or|shor|sor	OR	ANSATZ	0	4	C2_ONLY
PROC017	cthaiin	CTH+AIIN	BEREIT · SOLLMASS	0	1	C2_ONLY
PROC018	qoctholy	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	0	1	C2_ONLY
PROC019	chey|chy|dy|shy|sy|y	Y	ARBEITSPOSTEN	1	7	SHARED
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	0	1	C2_ONLY
PROC021	otol	OT+OL	DANACH · FORTSETZEN	0	1	C2_ONLY
PROC022	cholor|olor	OL+OR	FORTSETZEN · ANSATZ	1	1	SHARED
PROC023	oykchor	O+Y+K+OR	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	0	1	C2_ONLY
PROC024	kaiiin	K+IIN	ZUDOSIEREN · ARBEITSSTUFE	0	1	C2_ONLY
PROC025	chodaiin	CH+O+AIIN	ABNEHMEN · ARBEITSGANG · SOLLMASS	0	1	C2_ONLY
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	0	2	C2_ONLY
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	1	3	SHARED
PROC042	chdy|chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	2	0	C1_ONLY
PROC048	okal|qokal	OK+AL	ANSETZEN · ZIELSTELLE	2	2	SHARED
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	3	1	SHARED
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	3	0	C1_ONLY
PROC068	kair	K+AIR	ZUDOSIEREN · FLUESSIGKEITSLAUF	1	0	C1_ONLY
PROC069	chkain|kain	K+AIN	ZUDOSIEREN · PORTION	1	0	C1_ONLY
PROC070	olkain|qolkain	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	1	0	C1_ONLY
PROC071	rol	R+OL	KUEHLEN · FORTSETZEN	1	0	C1_ONLY
PROC072	dl	L	WEITERLEITEN	2	0	C1_ONLY
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	1	0	C1_ONLY
PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	1	0	C1_ONLY
PROC075	chckhy|shckhy	CKH+Y	DURCHLASSKANAL · ARBEITSPOSTEN	3	1	SHARED
PROC076	dchedy|schedy|tchedy	CHD+DY	UMSETZEN; SCHLUSS	1	1	SHARED
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	1	0	C1_ONLY
PROC078	cheedy|shedy|tedy	SHED+DY	ABSETZEN; SCHLUSS	4	1	SHARED
PROC079	olchedy|qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN; SCHLUSS	1	1	SHARED
PROC080	okain|qokain	OK+AIN	ANSETZEN · PORTION	1	3	SHARED
PROC081	ral	R+AL	KUEHLEN · ZIELSTELLE	1	0	C1_ONLY
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	1	0	C1_ONLY
PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · ARBEITSPOSTEN	2	0	C1_ONLY
PROC084	lsho	LSH+O	WASCHEN · ARBEITSGANG	1	0	C1_ONLY
PROC085	okey|qokey	OK+E+Y	ANSETZEN · KURZ · ARBEITSPOSTEN	1	1	SHARED
PROC086	lshedy	LSH+E+DY	WASCHEN · KURZ; SCHLUSS	2	0	C1_ONLY
PROC087	qolky	SOLK+Y	AUFFANGEN · ARBEITSPOSTEN	1	0	C1_ONLY
PROC088	lchedal	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIELSTELLE	1	0	C1_ONLY
PROC089	otar	OT+AR	DANACH · VORRAT	1	0	C1_ONLY
PROC090	ytey	T+E+Y	EINTRAGEN · KURZ · ARBEITSPOSTEN	1	0	C1_ONLY
PROC091	okchedy|qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	1	0	C1_ONLY
PROC092	okeey|qokeey	OK+EE+Y	ANSETZEN · LANG · ARBEITSPOSTEN	1	3	SHARED
PROC093	teol	E+OL	KURZ · FORTSETZEN	1	0	C1_ONLY
PROC094	dchdy	CHD+DY	UMSETZEN; SCHLUSS	1	0	C1_ONLY
PROC095	ly	L+Y	WEITERLEITEN · ARBEITSPOSTEN	1	0	C1_ONLY
PROC096	dsheol	SH+E+OL	HALTEN · KURZ · FORTSETZEN	1	0	C1_ONLY
PROC097	oiiin|soiiin	O+IIN	ARBEITSGANG · ARBEITSSTUFE	1	0	C1_ONLY
PROC098	olkeedy|solkeedy	SOLK+EE+DY	AUFFANGEN · LANG; SCHLUSS	1	0	C1_ONLY
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	1	0	C1_ONLY
PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG; SCHLUSS	0	5	C2_ONLY
PROC101	lcheckhy	L+CKH+Y	WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN	0	1	C2_ONLY
PROC102	lched	L+CHD	WEITERLEITEN · UMSETZEN	0	1	C2_ONLY
PROC103	lcheckhedy	L+CKH+E+DY	WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS	0	1	C2_ONLY
PROC104	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN	0	1	C2_ONLY
PROC105	solkaiin	SOLK+AIIN	AUFFANGEN · SOLLMASS	0	1	C2_ONLY
PROC106	octheol	O+CTH+E+OL	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	0	1	C2_ONLY
PROC107	chkeey	CHK+EE+Y	WAERMEN · LANG · ARBEITSPOSTEN	0	1	C2_ONLY
PROC108	ldy	L+DY	WEITERLEITEN; SCHLUSS	0	1	C2_ONLY
PROC109	oteey	OT+EE+Y	DANACH · LANG · ARBEITSPOSTEN	0	2	C2_ONLY
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASSKANAL · ARBEITSPOSTEN	0	1	C2_ONLY
PROC111	dshedy	SH+E+DY	HALTEN · KURZ; SCHLUSS	0	1	C2_ONLY
PROC112	otaiin|sotaiin	OT+AIIN	DANACH · SOLLMASS	0	1	C2_ONLY
PROC113	qokar	OK+AR	ANSETZEN · VORRAT	0	1	C2_ONLY
PROC114	solshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ; SCHLUSS	0	1	C2_ONLY
PROC115	ls	OL	FORTSETZEN	0	1	C2_ONLY
PROC116	lchy	L+CH+Y	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN	0	1	C2_ONLY
PROC117	qcthey|shcthey	CTH+E+Y	BEREIT · KURZ · ARBEITSPOSTEN	0	1	C2_ONLY
PROC118	lcheey	L+EE+Y	WEITERLEITEN · LANG · ARBEITSPOSTEN	0	1	C2_ONLY
PROC119	qokeeedy	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	0	1	C2_ONLY
PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	0	1	C2_ONLY
PROC121	lar	L+AR	WEITERLEITEN · VORRAT	0	1	C2_ONLY
PROC122	tshey	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	0	1	C2_ONLY
PROC123	lchedar	L+CHD+AR	WEITERLEITEN · UMSETZEN · VORRAT	0	1	C2_ONLY
PROC124	ches	CH+E+S	ABNEHMEN · KURZ · TEILEN	0	1	C2_ONLY
PROC125	pchedy	P+CHD+DY	EINFUELLEN · UMSETZEN; SCHLUSS	0	1	C2_ONLY
PROC126	rsheal	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	0	1	C2_ONLY
PROC127	daldy	AL+DY	ZIELSTELLE; SCHLUSS	0	1	C2_ONLY
PROC128	rshedy	R+SHED+DY	KUEHLEN · ABSETZEN; SCHLUSS	0	1	C2_ONLY
PROC129	qoteedy	OT+EE+DY	DANACH · LANG; SCHLUSS	0	1	C2_ONLY
PROC130	lochedy	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	0	1	C2_ONLY
