target_surface	comparison_surface	comparison_kind	reason
otedy	otedy	TARGET	complete whole selected by GDT791 exact image/prose reuse
otedy	qotedy	MATCHED_CONTROL	same edy-ending language-B whole and matched frequency
otedy	qoteedy	MATCHED_CONTROL	same broad terminal family language-B whole and matched frequency
otedy	oteedy	FAMILY_CONTROL	E versus EE field contrast without q shell
otedy	okedy	MATCHED_CONTROL	edy-ending language-B whole and matched frequency
otedy	sheedy	MATCHED_CONTROL	edy-ending near-matched frequency whole
otedy	otol	FAMILY_CONTROL	f77 coordinate-label sister without DY closure
otedy	dshedy	POSITION_CONTROL	true physical line-opener control
otedy	pchedy	POSITION_CONTROL	frequent physical line-opener control
otedy	qokedy	REGISTER_CONTROL	frequent language-B DY control
otedy	okeedy	FAMILY_CONTROL	nearby E/EE plus DY whole
otedy	oteody	FAMILY_CONTROL	OT-family whole without the same parser closure geometry
okal	okal	TARGET	complete whole selected by GDT791 exact local/prose reuse
okal	otar	MATCHED_CONTROL	near-matched frequency with broad local-card use
okal	okar	MATCHED_CONTROL	near-matched frequency and nearby complete-form geometry
okal	oteey	MATCHED_CONTROL	near-matched frequency with local-card use
okal	okeey	MATCHED_CONTROL	near-matched frequency with local-card use
otchdy	otchdy	TARGET	low-capacity complete-whole transfer target
otchdy	okor	MATCHED_CONTROL	low-frequency cross-scope whole
otchdy	dary	MATCHED_CONTROL	low-frequency repeated singleton-label whole
otchdy	otol	MATCHED_CONTROL	cross-topology singleton-label whole
otchdy	dchdy	MATCHED_CONTROL	chdy-ending cross-scope whole
olaiin	olaiin	TARGET	lower-capacity complete-whole transfer target
olaiin	dair	MATCHED_CONTROL	frequency-matched cross-scope whole
olaiin	oty	MATCHED_CONTROL	frequency-matched cross-scope whole
olaiin	sal	MATCHED_CONTROL	frequency-matched cross-topology whole
olaiin	otol	MATCHED_CONTROL	cross-topology singleton-label whole
