target_surface	candidate_rank	candidate_role	candidate_gloss_de	prediction	status_before_scoring
okal	1	TARGET_OR_REFERENCE_ADDRESS	Ziel-/Bezugsstelle	standalone array labels plus internal prose reference across owners and topologies	C0_BOLD
okal	2	LABEL_OR_CLASS_IDENTIFIER	Stellenkennung oder Klasse	repeated identical labels are generic rather than unique names	C0_ACTIVE_RIVAL
okal	3	ADDRESSED_MEMBER	adressiertes Mitglied oder Eintrag	labels select members and prose refers to selected member	C0_ACTIVE_RIVAL
okal	4	PROPER_NAME	Eigenname	exact label and prose identity names the same entity	C0_WEAK_RIVAL
okal	5	GRADE_OR_STAGE	Stufe oder Grad	internal formula field and ordered graphical positions	C0_WEAK_RIVAL
okal	6	NUMBER	Zahl oder Ordinal	repeated labels encode a numerical value	C0_WEAK_RIVAL
otedy	1	BOUNDED_E_FIELD	begrenztes Zustands- oder Wertfeld	stable OT-E-DY parser cell but not a physical record boundary	C0_BOLD_STRUCTURAL_RIVAL__PARSER_COUPLED
otedy	2	PORT_OR_CONDUIT_STATUS_REFERENCE	Statuscode einer Öffnungs- oder Leitungsstelle	f77r label is attached to an inner apparatus port and the next visible record reuses the whole	C0_BOLD_VISUAL_RIVAL
otedy	3	SCALAR_OR_GRADE_VALUE	Skalar- oder Gradwert	E/EE families may contrast bounded values without encoding a cardinal number	C0_ACTIVE_RIVAL
otedy	4	LABEL_OR_PROPER_NAME	Kennung oder Name	standalone label and running reuse without a consistent physical boundary	C0_WEAK_RIVAL
otedy	5	NUMBER_OR_ORDINAL	zweite Stelle oder Ordinal	f77r label occupies the analyst-numbered second inner port	C0_WEAK_RIVAL
otchdy	1	FIGURE_OR_ZONE_IDENTIFIER	Figuren- oder Zonenkennung	local radial and body-zone labels plus sparse prose reuse	C0_LOW_CAPACITY
otchdy	2	STATE_OR_CLOSURE_FIELD	Zustands- oder Abschlussfeld	chdy-ending parser closure family	C0_LOW_CAPACITY__PARSER_COUPLED
olaiin	1	ARRAY_MEMBER_OR_REFERENCE	Gruppenmitglied oder Bezugseintrag	local radial and bathing-array labels plus internal prose reuse	C0_ACTIVE_RIVAL
olaiin	2	VALUE_OR_ORDINAL	Wert oder Ordinal	internal aiin-family placement and sixth figure position on f82r	C0_WEAK_RIVAL
