event_order	event_id	locus	field_id	surface	component_parse	macro_phase	old_event_reading_de	revised_event_reading_de	old_active_after_de	revised_active_after_de	owner_code	closes_step
1	E102	f81v.2	F022	okaiin	OK+AIIN	P1_ZULAUF_EINSTELLEN	Sollmaß setzen	Sollmaß für die Arbeitsflüssigkeit setzen.	Arbeitsflüssigkeit oder Körperposten im gemeinsamen Becken	Arbeitsflüssigkeit oder Körperposten im gemeinsamen Becken	B1_SHARED_TWO_ROW_POOL	NO
2	E103	f81v.2	F022	kair	K+AIR	P1_ZULAUF_EINSTELLEN	Flüssigkeit in den Lauf geben	Arbeitsflüssigkeit in den sichtbaren Lauf geben.	Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	B1_SHARED_TWO_ROW_POOL	NO
3	E104	f81v.2	F022	okal	OK+AL	P1_ZULAUF_EINSTELLEN	an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen	Den Lauf auf das gemeinsame Becken richten.	Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	B1_SHARED_TWO_ROW_POOL	NO
4	E105	f81v.2	F022	sar	AR	P1_ZULAUF_EINSTELLEN	aus der Arbeitsflüssigkeit	Aus der Arbeitsflüssigkeit speisen.	Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	B1_SHARED_TWO_ROW_POOL	NO
5	E106	f81v.2	F022	ol	OL	P1_ZULAUF_EINSTELLEN	fortsetzen	Den eingestellten Zulauf fortführen.	Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	B1_SHARED_TWO_ROW_POOL	NO
6	E107	f81v.2	F022	kain	K+AIN	P2_DOPPELTE_PORTION	eine Stoffportion	Erste Portion derselben Laufflüssigkeit abteilen.	abgeteilte Portion von Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	erste Portion derselben Laufflüssigkeit	B1_SHARED_TWO_ROW_POOL	NO
7	E108	f81v.2	F022	olkain	OL+K+AIN	P2_DOPPELTE_PORTION	weitere Stoffportion	Zweite parallele Portion aus derselben Laufflüssigkeit abteilen.	abgeteilte Portion von abgeteilte Portion von Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	zwei parallele Portionen derselben Laufflüssigkeit	B1_SHARED_TWO_ROW_POOL	NO
8	E109	f81v.2	F022	al	AL	P2_DOPPELTE_PORTION	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“	Beide Portionen an das gemeinsame Becken führen.	abgeteilte Portion von abgeteilte Portion von Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	temperierte Doppelportion am gemeinsamen Becken	B1_SHARED_TWO_ROW_POOL	NO
9	E110	f81v.2	F022	ol	OL	P2_DOPPELTE_PORTION	fortsetzen	Die Doppelportion fortführen.	abgeteilte Portion von abgeteilte Portion von Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	temperierte Doppelportion am gemeinsamen Becken	B1_SHARED_TWO_ROW_POOL	NO
10	E111	f81v.2	F022	rol	R+OL	P2_DOPPELTE_PORTION	weiter abkühlen	Die Doppelportion weiter abkühlen oder temperieren.	abgeteilte Portion von abgeteilte Portion von Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage	temperierte Doppelportion am gemeinsamen Becken	B1_SHARED_TWO_ROW_POOL	NO
