edge_order	event_id	source_node	target_node	operation
1	E102	N1	N1	SOLLWERT_SETZEN
2	E103	N1	N2	LAUF_AKTIVIEREN
3	E104	N2	N2	AUF_BECKEN_RICHTEN
4	E105	N1	N2	AUS_QUELLE_SPEISEN
5	E106	N2	N2	FORTSETZEN
6	E107	N2	N3	ERSTE_PORTION
7	E108	N2	N4	ZWEITE_PARALLELE_PORTION
8	E109	N3|N4	N5	ZUM_BECKEN_FUEHREN
9	E110	N5	N5	FORTSETZEN
10	E111	N5	N5	TEMPERIEREN
11	E112	N5	N5	WEITERFUEHREN
12	E113	N5	N6	NACHANSATZ_SETZEN
13	E114	N6	N6	FORTSETZEN
14	E115	N6	N7	KURZ_HALten
15	E116	N7	N7	SOLLWERT_SETZEN
16	E117	N7	N8	LAENGER_HALTen
17	E118	N8	N8	SOLLWERT_SETZEN
18	E119	N8	N8	DURCHLASS
19	E120	N8	N9	UMSETZEN_UND_SCHLIESSEN
