statement_id	record_unit_id	page	event_count	distinct_visible_sequences	visibly_variable	atomic_meaning_sequence_de	visible_sequences
H1-S001	H1	f10r	10	5	YES	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	dchey cthoor char chety os chair otytchol choky chaiin etyd || dchey cthoor char chety os chair otytchol oky aiin etyd || dchey cthoor char chety os chair otytchol qoky aiin etyd || dchey cthoor dar chety os chair otytchol oky daiin etyd || dchey cthoor sar chety os chair otytchol oky saiin etyd
H1-S002	H1	f10r	4	5	YES	weiterbearbeiten | Weitergang | weiter | bereit	chokchy qotchol cheol checthy || okchy qotchol ol cthy || okchy qotchol sol shcthy || okchy qotchol tol cthy || qokchy qotchol qol cthy
H2-S001	H2	f10r	9	4	YES	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	ycheor checthy chor cthaiin qoctholy chey chey chaiin chey || ycheor cthy or cthaiin qoctholy dy dy daiin dy || ycheor cthy or cthaiin qoctholy y y aiin y || ycheor shcthy sor cthaiin qoctholy sy sy saiin sy
H2-S002	H2	f10r	8	5	YES	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollmaß | davon	otchor chor otol cheol cholor cheol chaiin char || otchor or otol ol olor ol aiin char || otchor or otol tol olor tol daiin dar || otchor sor otol sol olor sol saiin sar || qotchor or otol qol olor qol aiin char
H2-S003	H2	f10r	7	4	YES	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	oykchor chor chor chey kaiiin chey chodaiin || oykchor or or dy kaiiin dy chodaiin || oykchor or or y kaiiin y chodaiin || oykchor sor sor sy kaiiin sy chodaiin
H3-S001	H3	f11r	7	2	YES	Kochgut | Sudansatz | Auswringen | Stehzeit | Nachseihen | Klarauszug | Endzugabe; Schluss	tshol schoal cfhy shfydaiin cphy cheey tchody || tshol schoal cfhy shfydaiin cphy shey tchody
H3-S002	H3	f11r	1	1	NO	Zugabeteil	shoyty
H3-S003	H3	f11r	5	4	YES	vom vorigen | dies | Bearbeiten | dies | Sollmaß	dchol dy kchy dy daiin || schol chey kchy chey chaiin || schol sy kchy sy saiin || schol y kchy y aiin
H3-S004	H3	f11r	4	4	YES	Folgeposten | Weiterverarbeitung | bereit | dies	qotchy okchol checthy chey || qotchy okchol cthy dy || qotchy okchol cthy y || qotchy okchol shcthy sy
H4-S001	H4	f55v	5	5	YES	bemessen | Sollmaß | erste Portion | zweite Portion | Abkühlen	okaiin aiin ykain ykan ody || okaiin chaiin ykain ykan ody || okaiin daiin ykain ykan ody || okaiin saiin ykain ykan ody || qokaiin aiin ykain ykan ody
