profile	statement_id	record_unit_id	page	rendered_surface_sequence	master_card_sequence	atomic_meaning_sequence_de	changed_tokens	roundtrip
MASTER_BARE	H1-S001	H1	f10r	dchey cthoor char chety os chair otytchol oky aiin etyd	MC071|MC158|MC055|MC086|MC159|MC014|MC069|MC026|MC039|MC108	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	2	PASS
MASTER_BARE	H1-S002	H1	f10r	okchy qotchol ol cthy	MC103|MC163|MC153|MC161	weiterbearbeiten | Weitergang | weiter | bereit	2	PASS
MASTER_BARE	H2-S001	H2	f10r	ycheor cthy or cthaiin qoctholy y y aiin y	MC075|MC161|MC080|MC169|MC115|MC123|MC123|MC039|MC123	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	5	PASS
MASTER_BARE	H2-S002	H2	f10r	otchor or otol ol olor ol aiin char	MC013|MC080|MC053|MC153|MC157|MC153|MC039|MC055	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollmaß | davon	7	PASS
MASTER_BARE	H2-S003	H2	f10r	oykchor or or y kaiiin y chodaiin	MC027|MC080|MC080|MC123|MC048|MC123|MC087	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	4	PASS
MASTER_BARE	H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy cheey tchody	MC098|MC049|MC129|MC111|MC156|MC119|MC037	Kochgut | Sudansatz | Auswringen | Stehzeit | Nachseihen | Klarauszug | Endzugabe; Schluss	1	PASS
MASTER_BARE	H3-S002	H3	f11r	shoyty	MC062	Zugabeteil	0	PASS
MASTER_BARE	H3-S003	H3	f11r	schol y kchy y aiin	MC142|MC123|MC117|MC123|MC039	vom vorigen | dies | Bearbeiten | dies | Sollmaß	4	PASS
MASTER_BARE	H3-S004	H3	f11r	qotchy okchol cthy y	MC107|MC041|MC161|MC123	Folgeposten | Weiterverarbeitung | bereit | dies	1	PASS
MASTER_BARE	H4-S001	H4	f55v	okaiin aiin ykain ykan ody	MC120|MC039|MC047|MC148|MC100	bemessen | Sollmaß | erste Portion | zweite Portion | Abkühlen	2	PASS
MASTER_BARE	H4-S002	H4	f55v	aiin chdy talam	MC039|MC074|MC160	Sollmaß | überführen | Verwahrort	2	PASS
MASTER_BARE	H4-S003	H4	f55v	ykaiin cheoar cheeky oldy	MC170|MC085|MC032|MC019	Sollportion | Quellauszug | länger bearbeiten | fertig	0	PASS
MASTER_BARE	H4-S004	H4	f55v	aiin okal oltchy or y orain	MC039|MC040|MC021|MC080|MC123|MC072	Sollmaß | dorthin einsetzen | Folgebereitung | Ansatz | dies | Bereitungsanteil	0	PASS
MASTER_BARE	H5-S001	H5	f56r	chochor sho chodaly aiin sho kchol otchor oky al	MC125|MC034|MC010|MC039|MC034|MC090|MC013|MC026|MC154	Zugabeansatz | weitere Zutat | Zielzugabe | Sollmaß | weitere Zutat | Weiterverarbeitung | Folgeansatz | einsetzen | dorthin	4	PASS
MASTER_BARE	H5-S002	H5	f56r	schol choy oky cheeckhody	MC142|MC131|MC026|MC099	vom vorigen | Zugabeposten | einsetzen | Langpassage; Schluss	1	PASS
MASTER_BARE	H5-S003	H5	f56r	sh sho kchey qokokchy	MC114|MC034|MC122|MC015	Halten | weitere Zutat | Kurzbearbeitung | erneut einsetzen	1	PASS
MASTER_BARE	H5-S004	H5	f56r	okchy chokcheo kchal	MC103|MC006|MC077	weiterbearbeiten | Auszug einsetzen | Zielbearbeitung	0	PASS
MASTER_BARE	H5-S005	H5	f56r	sho okchy kchoar sotodan	MC034|MC103|MC136|MC068	weitere Zutat | weiterbearbeiten | Quellauszug | Folgeanwendung	1	PASS
MASTER_BARE	H5-S006	H5	f56r	otchey keol aiin	MC171|MC104|MC039	das nächste | Kurzfortsetzung | Sollmaß	1	PASS
MASTER_BARE	B1-S001	B1	f81v	qokedy	MC083	kurz einwirken; Schluss	0	PASS
