action_case_id	path_class	best_endpoint_ranks	explicit_terminal_rank	strict_decision	exploratory_decision	first_blocker_rank	first_blocker_class	practical_reading_de	decision_reason_de	portable_default
A002	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	1	MATERIAL_AND_GRADE_RESET	Auszug abkühlen und abziehen; danach trockene Zubereitung und kalter III-Ansatz.	Der Auszug springt sofort zu trockener Zubereitung am Gradanfang; kein terminaler Materialwert.	NO
A003	EARLIER_COMPLETION_BLOCKS_LONGER	2	2	STOP	STOP_EARLY_CONFLICT	1	TEMPERATURE_AND_OPERATION_CONFLICT	Kalten Ansatzanteil erhitzen; später abgeschlossene mittelgetrocknete Rohdroge.	Der kalte Anteil vor dem Abschlusswert widerspricht der Erhitzung; Rohdroge und Trocknung wechseln Material und Operation.	NO
A004	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	NONE	STOP	PRESERVE_SHORTER_HOLD	3	DEGREE_RESET	Ansatzportion abmessen; trockene Mitteldroge und Portion, danach Gradende.	Der frühere Portion-Hold bleibt; Gradende überschreibt die unmittelbar geschriebene Mittelstufe und sperrt den längeren Pfad.	NO
A005	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2	2	HOLD	HOLD_COHERENT_ENDPOINT	2	UNLICENSED_DRYING_AND_FINISHING	Ansatzanteil abmessen; getrocknete Masse als mögliche fertige Zubereitung.	Masse zu fertiger Zubereitung ist konkret; Abmessen erzeugt Trocknung und Fertigstellung jedoch nicht.	NO
A006	EARLIER_COMPLETION_BLOCKS_LONGER	1	1	HOLD	PRESERVE_PRIOR_HOLD	2	NEW_MATERIAL_BLOCK	Drei Bündel abfüllen und schließen; vollständig bereitetes, abgeschlossenes Arzneikompositum. Patient und Dreizahl bleiben offen.	Der unmittelbare Abschlusswert passt zum Schließen; der folgende heiße Rohstoffblock beendet jede längere Fortsetzung.	NO
A009	EARLIER_COMPLETION_BLOCKS_LONGER	1	1	STOP	STOP_EARLY_MATERIAL_CONFLICT	1	MATERIAL_AND_OPERATION_CONFLICT	Heißen Drogenanteil nehmen; rechts steht fertiges Holzextraktpulver.	Das unmittelbare Fertigprodukt wechselt von Drogenanteil zu Holzextraktpulver und führt ungeschriebene Verarbeitung ein.	NO
A012	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2|3|4	4	ADMIT_EXISTING_C021	REPLAY_C021	5	STATE_AND_DEGREE_RESET	Arzneikompositum bis zur Mitte aufbereiten; terminal eingeweicht und abgeschlossen.	Der vierte Wert stellt Arzneikompositum und Mittelstufe exakt wieder her; C021 bleibt die zugelassene Kante.	NO
A014	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2|3	3	HOLD	HOLD_COHERENT_ENDPOINT	3	UNLICENSED_DRAWING	Gekühlte Charge nehmen; möglicher Mengen- und Feuchteblock endet im vollständig abgezogenen Auszug.	Kälte passt, aber Nehmen einer Charge erklärt vollständiges Abziehen nicht.	NO
A015	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	NONE	STOP	STOP_RESET	2	MATERIAL_RESET	Drogenportion nehmen; danach Menge, Kompositum und wechselnde Ansatzwerte.	Der Stoff wechselt früh von Droge zu Arzneikompositum; spätere Hitze- und Kältewerte bilden keinen einheitlichen Patienten.	NO
A017	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	9	STOP	PRESERVE_SHORTER_HOLD	3	DEGREE_AND_TEMPERATURE_RESET	Portion mitteltrocknen; erst nach mehreren Material- und Gradwechseln erscheint eine abgeschlossene Kühlzubereitung.	Der Kraut-/Drogen-Hold auf den ersten zwei Werten bleibt; kalt am Gradanfang sperrt den längeren Pfad.	NO
