case	edition	paragraph	leaf	writer	trace	predicted_groups	observed_groups	status	reason	nodes
1	ZL3b	f100r|f100r.12-f100r.15	100	FUSED	FAPESMO	10	35	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
2	ZL3b	f100r|f100r.12-f100r.15	100	FUSED	FRISESOMORUM	10	35	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
3	ZL3b	f100r|f100r.12-f100r.15	100	SEPARATE	FAPESMO	22	35	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
4	ZL3b	f100r|f100r.12-f100r.15	100	SEPARATE	FRISESOMORUM	22	35	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
5	ZL3b	f100r|f100r.22-f100r.27	100	FUSED	FAPESMO	10	56	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
6	ZL3b	f100r|f100r.22-f100r.27	100	FUSED	FRISESOMORUM	10	56	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
7	ZL3b	f100r|f100r.22-f100r.27	100	SEPARATE	FAPESMO	22	56	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
8	ZL3b	f100r|f100r.22-f100r.27	100	SEPARATE	FRISESOMORUM	22	56	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
9	ZL3b	f100v|f100v.14-f100v.22	100	FUSED	FAPESMO	10	79	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
10	ZL3b	f100v|f100v.14-f100v.22	100	FUSED	FRISESOMORUM	10	79	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
11	ZL3b	f100v|f100v.14-f100v.22	100	SEPARATE	FAPESMO	22	79	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
12	ZL3b	f100v|f100v.14-f100v.22	100	SEPARATE	FRISESOMORUM	22	79	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
13	ZL3b	f102r1|f102r1.3-f102r1.6	102	FUSED	FAPESMO	10	28	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
14	ZL3b	f102r1|f102r1.3-f102r1.6	102	FUSED	FRISESOMORUM	10	28	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
15	ZL3b	f102r1|f102r1.3-f102r1.6	102	SEPARATE	FAPESMO	22	28	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
16	ZL3b	f102r1|f102r1.3-f102r1.6	102	SEPARATE	FRISESOMORUM	22	28	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
17	ZL3b	f102r1|f102r1.8-f102r1.11	102	FUSED	FAPESMO	10	32	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
18	ZL3b	f102r1|f102r1.8-f102r1.11	102	FUSED	FRISESOMORUM	10	32	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
19	ZL3b	f102r1|f102r1.8-f102r1.11	102	SEPARATE	FAPESMO	22	32	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
20	ZL3b	f102r1|f102r1.8-f102r1.11	102	SEPARATE	FRISESOMORUM	22	32	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
21	ZL3b	f102r1|f102r1.13-f102r1.17	102	FUSED	FAPESMO	10	43	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
22	ZL3b	f102r1|f102r1.13-f102r1.17	102	FUSED	FRISESOMORUM	10	43	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
23	ZL3b	f102r1|f102r1.13-f102r1.17	102	SEPARATE	FAPESMO	22	43	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
24	ZL3b	f102r1|f102r1.13-f102r1.17	102	SEPARATE	FRISESOMORUM	22	43	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
25	ZL3b	f102v1|f102v1.7-f102v1.14	102	FUSED	FAPESMO	10	73	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
26	ZL3b	f102v1|f102v1.7-f102v1.14	102	FUSED	FRISESOMORUM	10	73	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
27	ZL3b	f102v1|f102v1.7-f102v1.14	102	SEPARATE	FAPESMO	22	73	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
28	ZL3b	f102v1|f102v1.7-f102v1.14	102	SEPARATE	FRISESOMORUM	22	73	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
29	ZL3b	f102v1|f102v1.19-f102v1.24	102	FUSED	FAPESMO	10	45	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
30	ZL3b	f102v1|f102v1.19-f102v1.24	102	FUSED	FRISESOMORUM	10	45	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
31	ZL3b	f102v1|f102v1.19-f102v1.24	102	SEPARATE	FAPESMO	22	45	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
32	ZL3b	f102v1|f102v1.19-f102v1.24	102	SEPARATE	FRISESOMORUM	22	45	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
33	ZL3b	f102v2|f102v2.17-f102v2.23	102	FUSED	FAPESMO	10	75	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
34	ZL3b	f102v2|f102v2.17-f102v2.23	102	FUSED	FRISESOMORUM	10	75	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
35	ZL3b	f102v2|f102v2.17-f102v2.23	102	SEPARATE	FAPESMO	22	75	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
36	ZL3b	f102v2|f102v2.17-f102v2.23	102	SEPARATE	FRISESOMORUM	22	75	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
37	ZL3b	f102v2|f102v2.30-f102v2.39	102	FUSED	FAPESMO	10	93	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
38	ZL3b	f102v2|f102v2.30-f102v2.39	102	FUSED	FRISESOMORUM	10	93	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
39	ZL3b	f102v2|f102v2.30-f102v2.39	102	SEPARATE	FAPESMO	22	93	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
40	ZL3b	f102v2|f102v2.30-f102v2.39	102	SEPARATE	FRISESOMORUM	22	93	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
41	ZL3b	f103r|f103r.1-f103r.4	103	FUSED	FAPESMO	10	50	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
42	ZL3b	f103r|f103r.1-f103r.4	103	FUSED	FRISESOMORUM	10	50	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
43	ZL3b	f103r|f103r.1-f103r.4	103	SEPARATE	FAPESMO	22	50	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
44	ZL3b	f103r|f103r.1-f103r.4	103	SEPARATE	FRISESOMORUM	22	50	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
45	ZL3b	f103r|f103r.5-f103r.7	103	FUSED	FAPESMO	10	36	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
46	ZL3b	f103r|f103r.5-f103r.7	103	FUSED	FRISESOMORUM	10	36	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
47	ZL3b	f103r|f103r.5-f103r.7	103	SEPARATE	FAPESMO	22	36	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
48	ZL3b	f103r|f103r.5-f103r.7	103	SEPARATE	FRISESOMORUM	22	36	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
49	ZL3b	f103r|f103r.8-f103r.12	103	FUSED	FAPESMO	10	62	UNKNOWN_SOURCE	one or more lines fail inherited literal/seam eligibility	0
