series	stem	tail	e_length	surface	occurrences	it2a_occurrences	rf1b_occurrences	pages	triple_stable_occurrences	working_default
CH_DY	ch	dy	0	chdy	133	137	97	59	89	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
CH_DY	ch	dy	1	chedy	470	465	321	74	296	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
CH_DY	ch	dy	2	cheedy	56	55	42	29	39	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
CH_DY	ch	dy	3	cheeedy	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
CH_DY	ch	dy	4	cheeeedy	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
CH_ODY	ch	ody	0	chody	78	82	67	56	64	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
CH_ODY	ch	ody	1	cheody	69	66	56	42	54	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
CH_ODY	ch	ody	2	cheeody	10	9	7	7	7	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
CH_ODY	ch	ody	3	cheeeody	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
CH_ODY	ch	ody	4	cheeeeody	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
SH_DY	sh	dy	0	shdy	40	43	26	28	25	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
SH_DY	sh	dy	1	shedy	390	380	228	65	219	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
SH_DY	sh	dy	2	sheedy	77	77	46	39	41	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
SH_DY	sh	dy	3	sheeedy	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
SH_DY	sh	dy	4	sheeeedy	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
SH_ODY	sh	ody	0	shody	46	48	43	32	41	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
SH_ODY	sh	ody	1	sheody	34	36	24	26	24	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
SH_ODY	sh	ody	2	sheeody	3	2	2	3	2	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
