cell_id	surface	wrapper	thermal_symbol	thermal_default	moisture_symbol	moisture_default	e_bit	e_default	d_bit	d_default	occurrences	pages	it2a_occurrences	rf1b_occurrences	triple_reading_stable_occurrences	triple_reading_stable_pages	working_default_de
G624-C001	kchy	BARE	k	HOT	ch	DRY	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	31	26	26	28	21	19	heiß-trocken (unmarkiert/prädikativ)
G624-C002	kchdy	BARE	k	HOT	ch	DRY	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	17	15	18	12	10	10	heiß-trockene Zustands-/Bindungsform
G624-C003	kchey	BARE	k	HOT	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	18	18	18	18	17	17	heiß-trocken (vorwärts gebunden/attributiv)
G624-C004	kchedy	BARE	k	HOT	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	22	18	22	11	9	9	heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C005	kshy	BARE	k	HOT	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	6	5	4	4	3	2	heiß-feucht (unmarkiert/prädikativ)
G624-C006	kshdy	BARE	k	HOT	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	4	4	5	1	1	1	heiß-feuchte Zustands-/Bindungsform
G624-C007	kshey	BARE	k	HOT	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	6	6	6	5	5	5	heiß-feucht (vorwärts gebunden/attributiv)
G624-C008	kshedy	BARE	k	HOT	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	5	5	6	1	1	1	heiß-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C009	tchy	BARE	t	COLD	ch	DRY	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	27	24	20	18	15	13	kalt-trocken (unmarkiert/prädikativ)
G624-C010	tchdy	BARE	t	COLD	ch	DRY	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	12	10	13	9	8	7	kalt-trockene Zustands-/Bindungsform
G624-C011	tchey	BARE	t	COLD	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	18	16	20	20	16	15	kalt-trocken (vorwärts gebunden/attributiv)
G624-C012	tchedy	BARE	t	COLD	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	33	25	32	25	24	19	kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C013	tshy	BARE	t	COLD	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	3	3	5	3	2	2	kalt-feucht (unmarkiert/prädikativ)
G624-C014	tshdy	BARE	t	COLD	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	5	5	4	3	3	3	kalt-feuchte Zustands-/Bindungsform
G624-C015	tshey	BARE	t	COLD	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	8	8	8	6	6	6	kalt-feucht (vorwärts gebunden/attributiv)
G624-C016	tshedy	BARE	t	COLD	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	10	9	8	6	5	4	kalt-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv
