cell_id	page	locus	token_index	surface	wrapper	thermal_symbol	moisture_symbol	e_bit	d_bit	quadrant	section	language	triple_reading_token_stable	working_default_de
G624-C038	f102r1	f102r1.9	6	qokshdy	qo	k	sh	0	1	HOT_MOIST	P	A	0	im qo-Qualitätsrahmen: heiß-feuchte Zustands-/Bindungsform
G624-C023	f102r1	f102r1.13	5	okshey	o	k	sh	1	0	HOT_MOIST	P	A	1	im o-Rahmen: heiß-feucht (vorwärts gebunden/attributiv)
G624-C017	f102v1	f102v1.22	8	okchy	o	k	ch	0	0	HOT_DRY	P	A	1	im o-Rahmen: heiß-trocken (unmarkiert/prädikativ)
G624-C025	f103r	f103r.2	9	otchy	o	t	ch	0	0	COLD_DRY	S	B	1	im o-Rahmen: kalt-trocken (unmarkiert/prädikativ)
G624-C014	f103r	f103r.13	10	tshdy	BARE	t	sh	0	1	COLD_MOIST	S	B	0	kalt-feuchte Zustands-/Bindungsform
G624-C011	f103r	f103r.16	10	tchey	BARE	t	ch	1	0	COLD_DRY	S	B	1	kalt-trocken (vorwärts gebunden/attributiv)
G624-C041	f103r	f103r.26	3	qotchy	qo	t	ch	0	0	COLD_DRY	S	B	0	im qo-Qualitätsrahmen: kalt-trocken (unmarkiert/prädikativ)
G624-C011	f103r	f103r.27	8	tchey	BARE	t	ch	1	0	COLD_DRY	S	B	1	kalt-trocken (vorwärts gebunden/attributiv)
G624-C037	f103r	f103r.37	4	qokshy	qo	k	sh	0	0	HOT_MOIST	S	B	1	im qo-Qualitätsrahmen: heiß-feucht (unmarkiert/prädikativ)
G624-C034	f103r	f103r.37	6	qokchdy	qo	k	ch	0	1	HOT_DRY	S	B	0	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform
G624-C015	f103r	f103r.42	1	tshey	BARE	t	sh	1	0	COLD_MOIST	S	B	0	kalt-feucht (vorwärts gebunden/attributiv)
G624-C032	f103r	f103r.44	5	otshedy	o	t	sh	1	1	COLD_MOIST	S	B	1	im o-Rahmen: kalt-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C001	f103r	f103r.48	8	kchy	BARE	k	ch	0	0	HOT_DRY	S	B	0	heiß-trocken (unmarkiert/prädikativ)
G624-C038	f103v	f103v.5	4	qokshdy	qo	k	sh	0	1	HOT_MOIST	S	B	1	im qo-Qualitätsrahmen: heiß-feuchte Zustands-/Bindungsform
G624-C044	f103v	f103v.9	8	qotchedy	qo	t	ch	1	1	COLD_DRY	S	B	1	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C046	f103v	f103v.13	6	qotshdy	qo	t	sh	0	1	COLD_MOIST	S	B	1	im qo-Qualitätsrahmen: kalt-feuchte Zustands-/Bindungsform
G624-C037	f103v	f103v.22	2	qokshy	qo	k	sh	0	0	HOT_MOIST	S	B	1	im qo-Qualitätsrahmen: heiß-feucht (unmarkiert/prädikativ)
G624-C026	f104r	f104r.6	10	otchdy	o	t	ch	0	1	COLD_DRY	S	B	0	im o-Rahmen: kalt-trockene Zustands-/Bindungsform
G624-C028	f104r	f104r.7	4	otchedy	o	t	ch	1	1	COLD_DRY	S	B	1	im o-Rahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C044	f104r	f104r.12	2	qotchedy	qo	t	ch	1	1	COLD_DRY	S	B	1	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C034	f104r	f104r.20	3	qokchdy	qo	k	ch	0	1	HOT_DRY	S	B	1	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform
G624-C004	f104r	f104r.22	5	kchedy	BARE	k	ch	1	1	HOT_DRY	S	B	0	heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C023	f104r	f104r.32	3	okshey	o	k	sh	1	0	HOT_MOIST	S	B	1	im o-Rahmen: heiß-feucht (vorwärts gebunden/attributiv)
G624-C042	f104r	f104r.38	5	qotchdy	qo	t	ch	0	1	COLD_DRY	S	B	1	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform
G624-C036	f104r	f104r.43	3	qokchedy	qo	k	ch	1	1	HOT_DRY	S	B	0	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C033	f104v	f104v.6	4	qokchy	qo	k	ch	0	0	HOT_DRY	S	B	1	im qo-Qualitätsrahmen: heiß-trocken (unmarkiert/prädikativ)
G624-C044	f104v	f104v.8	8	qotchedy	qo	t	ch	1	1	COLD_DRY	S	B	0	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C033	f104v	f104v.15	4	qokchy	qo	k	ch	0	0	HOT_DRY	S	B	1	im qo-Qualitätsrahmen: heiß-trocken (unmarkiert/prädikativ)
G624-C010	f104v	f104v.15	9	tchdy	BARE	t	ch	0	1	COLD_DRY	S	B	1	kalt-trockene Zustands-/Bindungsform
G624-C042	f104v	f104v.15	10	qotchdy	qo	t	ch	0	1	COLD_DRY	S	B	1	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform
G624-C036	f104v	f104v.16	9	qokchedy	qo	k	ch	1	1	HOT_DRY	S	B	1	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C042	f104v	f104v.17	7	qotchdy	qo	t	ch	0	1	COLD_DRY	S	B	1	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform
G624-C033	f104v	f104v.19	7	qokchy	qo	k	ch	0	0	HOT_DRY	S	B	1	im qo-Qualitätsrahmen: heiß-trocken (unmarkiert/prädikativ)
G624-C044	f104v	f104v.20	7	qotchedy	qo	t	ch	1	1	COLD_DRY	S	B	1	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C036	f104v	f104v.22	2	qokchedy	qo	k	ch	1	1	HOT_DRY	S	B	1	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C041	f104v	f104v.22	3	qotchy	qo	t	ch	0	0	COLD_DRY	S	B	1	im qo-Qualitätsrahmen: kalt-trocken (unmarkiert/prädikativ)
G624-C036	f104v	f104v.22	4	qokchedy	qo	k	ch	1	1	HOT_DRY	S	B	0	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C011	f104v	f104v.23	1	tchey	BARE	t	ch	1	0	COLD_DRY	S	B	1	kalt-trocken (vorwärts gebunden/attributiv)
G624-C035	f104v	f104v.23	2	qokchey	qo	k	ch	1	0	HOT_DRY	S	B	1	im qo-Qualitätsrahmen: heiß-trocken (vorwärts gebunden/attributiv)
G624-C036	f104v	f104v.27	6	qokchedy	qo	k	ch	1	1	HOT_DRY	S	B	1	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C033	f104v	f104v.28	5	qokchy	qo	k	ch	0	0	HOT_DRY	S	B	1	im qo-Qualitätsrahmen: heiß-trocken (unmarkiert/prädikativ)
G624-C042	f104v	f104v.29	7	qotchdy	qo	t	ch	0	1	COLD_DRY	S	B	1	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform
G624-C004	f104v	f104v.32	2	kchedy	BARE	k	ch	1	1	HOT_DRY	S	B	0	heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C020	f104v	f104v.40	2	okchedy	o	k	ch	1	1	HOT_DRY	S	B	1	im o-Rahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C012	f104v	f104v.41	1	tchedy	BARE	t	ch	1	1	COLD_DRY	S	B	1	kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C026	f104v	f104v.41	10	otchdy	o	t	ch	0	1	COLD_DRY	S	B	0	im o-Rahmen: kalt-trockene Zustands-/Bindungsform
G624-C019	f104v	f104v.43	8	okchey	o	k	ch	1	0	HOT_DRY	S	B	0	im o-Rahmen: heiß-trocken (vorwärts gebunden/attributiv)
G624-C026	f105r	f105r.2	5	otchdy	o	t	ch	0	1	COLD_DRY	S	B	0	im o-Rahmen: kalt-trockene Zustands-/Bindungsform
G624-C026	f105r	f105r.5	8	otchdy	o	t	ch	0	1	COLD_DRY	S	B	0	im o-Rahmen: kalt-trockene Zustands-/Bindungsform
G624-C019	f105r	f105r.9	4	okchey	o	k	ch	1	0	HOT_DRY	S	B	1	im o-Rahmen: heiß-trocken (vorwärts gebunden/attributiv)
G624-C004	f105r	f105r.12	6	kchedy	BARE	k	ch	1	1	HOT_DRY	S	B	1	heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C042	f105r	f105r.12	7	qotchdy	qo	t	ch	0	1	COLD_DRY	S	B	1	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform
G624-C036	f105r	f105r.17	8	qokchedy	qo	k	ch	1	1	HOT_DRY	S	B	0	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C025	f105v	f105v.2	11	otchy	o	t	ch	0	0	COLD_DRY	S	B	1	im o-Rahmen: kalt-trocken (unmarkiert/prädikativ)
G624-C028	f105v	f105v.9	6	otchedy	o	t	ch	1	1	COLD_DRY	S	B	1	im o-Rahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C027	f105v	f105v.9	8	otchey	o	t	ch	1	0	COLD_DRY	S	B	1	im o-Rahmen: kalt-trocken (vorwärts gebunden/attributiv)
G624-C034	f105v	f105v.13	3	qokchdy	qo	k	ch	0	1	HOT_DRY	S	B	0	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform
G624-C003	f105v	f105v.19	9	kchey	BARE	k	ch	1	0	HOT_DRY	S	B	1	heiß-trocken (vorwärts gebunden/attributiv)
G624-C010	f105v	f105v.37	8	tchdy	BARE	t	ch	0	1	COLD_DRY	S	B	1	kalt-trockene Zustands-/Bindungsform
