page	core	bare_surface	o_surface	qo_surface	bare_loci	o_loci	qo_loci	interpretation
f13r	kchy	kchy	okchy	qokchy	f13r.10|f13r.3	f13r.6	f13r.8	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f22r	kchy	kchy	okchy	qokchy	f22r.12|f22r.3	f22r.12	f22r.11|f22r.5	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f34v	kchdy	kchdy	okchdy	qokchdy	f34v.10|f34v.9	f34v.3	f34v.6	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f50v	kchdy	kchdy	okchdy	qokchdy	f50v.11|f50v.9	f50v.4	f50v.1	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f104v	kchedy	kchedy	okchedy	qokchedy	f104v.32	f104v.40	f104v.16|f104v.22|f104v.27	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f113r	kchedy	kchedy	okchedy	qokchedy	f113r.14	f113r.22|f113r.35|f113r.38	f113r.4|f113r.42	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f114r	kchedy	kchedy	okchedy	qokchedy	f114r.22|f114r.5	f114r.6|f114r.8	f114r.13|f114r.17|f114r.38|f114r.40	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f115v	kchedy	kchedy	okchedy	qokchedy	f115v.26	f115v.21	f115v.19|f115v.3	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f19r	tchy	tchy	otchy	qotchy	f19r.1|f19r.2|f19r.5|f19r.9	f19r.5	f19r.1|f19r.11	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f20r	tchy	tchy	otchy	qotchy	f20r.12	f20r.12	f20r.2	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f22v	tchy	tchy	otchy	qotchy	f22v.1	f22v.3	f22v.14|f22v.2|f22v.8	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f32v	tchy	tchy	otchy	qotchy	f32v.2	f32v.8	f32v.9	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f76v	tchy	tchy	otchy	qotchy	f76v.30	f76v.4	f76v.23	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f104v	tchdy	tchdy	otchdy	qotchdy	f104v.15	f104v.41	f104v.15|f104v.17|f104v.29	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f115r	tchdy	tchdy	otchdy	qotchdy	f115r.22	f115r.16	f115r.6	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f20r	tchey	tchey	otchey	qotchey	f20r.13	f20r.12	f20r.9	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f86v3	tchey	tchey	otchey	qotchey	f86v3.31	f86v3.12|f86v3.27	f86v3.25	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f112r	tchedy	tchedy	otchedy	qotchedy	f112r.11	f112r.12	f112r.8	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f114v	tchedy	tchedy	otchedy	qotchedy	f114v.11|f114v.28	f114v.12|f114v.25	f114v.23|f114v.3|f114v.6	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f83r	tchedy	tchedy	otchedy	qotchedy	f83r.1|f83r.16|f83r.23	f83r.22	f83r.15|f83r.31	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f85r1	tchedy	tchedy	otchedy	qotchedy	f85r1.5	f85r1.19|f85r1.20|f85r1.35	f85r1.7	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
f86v3	tchedy	tchedy	otchedy	qotchedy	f86v3.1|f86v3.31	f86v3.31|f86v3.35	f86v3.10	SAME_QUALITY_CORE_UNDER_THREE_SCOPE_WRAPPERS
