reading_id	page	locus	surface_line	working_reading_de	translated_token_count	line_token_count	unknown_policy
STATE_EDY_CH_SH	f104r	f104r.7	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	<dchodees> <sheos> <odaiin> [im o-Rahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv] <qodain> [feuchte Zustandsform; vorwärts gebunden] [trockene Zustandsform; vorwärts gebunden] <qodain> <okar> <ar> <okaim>	3	11	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
ODY_CH_SH_CAUTION	f86v5	f86v5.36	shody qoty chody ytody olkey otoloty oltal oky dam	[gelernte Form im Trocken-Kontext; Inhalt offen] <qoty> [trocken/Trockenklasse] <ytody> <olkey> <otoloty> <oltal> <oky> <dam>	2	9	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
EODY_CH_SH	f88v	f88v.16	ysheod sheo sheody qokeody qoky chees cheody qokeody dal	<ysheod> <sheo> [gebundene feuchte Variante?] <qokeody> <qoky> <chees> [gebundene trockene Variante?] <qokeody> <dal>	2	9	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
THERMAL_EY	f42v	f42v.2	dshey tchey y kchey chtchy y dan dain otol daiin	<dshey> [kalt-trocken (vorwärts gebunden/attributiv)] <y> [heiß-trocken (vorwärts gebunden/attributiv)] <chtchy> <y> <dan> <dain> <otol> <daiin>	2	10	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
THERMAL_EDY	f85r1	f85r1.5	tchedy kchedy qodaiin olkeedy oraiin olshedy okchy kedy tedy tdam	[kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv] [heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv] <qodaiin> <olkeedy> <oraiin> <olshedy> [im o-Rahmen: heiß-trocken (unmarkiert/prädikativ)] <kedy> <tedy> <tdam>	3	10	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
WRAPPER_O_QO	f107v	f107v.38	dain okchey qokchey qokaiin olkeey qokol oteey oteey lkain	<dain> [im o-Rahmen: heiß-trocken (vorwärts gebunden/attributiv)] [im qo-Qualitätsrahmen: heiß-trocken (vorwärts gebunden/attributiv)] <qokaiin> <olkeey> <qokol> <oteey> <oteey> <lkain>	2	9	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
E_LENGTH_SH	f116r	f116r.10	chdin checkhy dar shedy qokeedy shdy rain sheedy cphol r teol chcpham	<chdin> <checkhy> <dar> [feuchte Zustandsform; vorwärts gebunden] <qokeedy> [feuchte Zustands-/Bindungsform] <rain> [feuchte Zustandsform; erweiterte e-Bindung] <cphol> <r> <teol> <chcpham>	3	12	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
E_INSERTION	f20r	f20r.12	shoiin cheody otchey otchy tchy qoteey daiin dar	<shoiin> [gebundene trockene Variante?] [im o-Rahmen: kalt-trocken (vorwärts gebunden/attributiv)] [im o-Rahmen: kalt-trocken (unmarkiert/prädikativ)] [kalt-trocken (unmarkiert/prädikativ)] <qoteey> <daiin> <dar>	4	8	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
D_INSERTION	f105v	f105v.9	lcheey qoeees y daiin okairy otchedy ockhedy otchey daiin or r ail l okam	<lcheey> <qoeees> <y> <daiin> <okairy> [im o-Rahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv] <ockhedy> [im o-Rahmen: kalt-trocken (vorwärts gebunden/attributiv)] <daiin> <or> <r> <ail> <l> <okam>	2	14	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
ROOT_F23	f23v	f23v.4	okchey dair sholol ol dal otchor dar	[im o-Rahmen: heiß-trocken (vorwärts gebunden/attributiv)] [Wurzelteil/Radix] <sholol> <ol> <dal> <otchor> <dar>	2	7	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
ROOT_F31	f31v	f31v.3	ykeeo daiin shedal okedy okey keo dy okchey sair okees o lkedy	<ykeeo> <daiin> <shedal> [heiße Zustandsform; vorwärts gebunden] <okey> <keo> <dy> [im o-Rahmen: heiß-trocken (vorwärts gebunden/attributiv)] [Wurzelteil?; air-Kern] <okees> <o> <lkedy>	3	12	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
REPRO_F39	f39v	f39v.6	lkedy okchey shor qoykam cho ckhy or aly shody	<lkedy> [im o-Rahmen: heiß-trocken (vorwärts gebunden/attributiv)] [Blüten-/Fruchtstand] <qoykam> <cho> <ckhy> <or> <aly> [gelernte Form im Trocken-Kontext; Inhalt offen]	3	9	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
REPRO_F29	f29v	f29v.1	kooiin shor chetchy ol ls shytchy cthy shy cho shy daiin	[dicke/kriechende Wurzeldroge] [Blüten-/Fruchtstand] [gebundene kalt-trockene Qualitätsform] <ol> <ls> <shytchy> <cthy> <shy> <cho> <shy> <daiin>	3	11	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
REPRO_F23	f23v	f23v.6	tshol shor shkshy okol daiin otshor olsar	<tshol> [Blüten-/Fruchtstand] [gebundene heiß-feuchte Qualitätsform] <okol> <daiin> <otshor> <olsar>	2	7	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
REPRO_F45	f45v	f45v.1	korary chko kol chey fsholom shor ykchy dod opchaiin olald	[Frucht-/Samen-/Reproduktivdroge?] <chko> <kol> <chey> <fsholom> [Blüten-/Fruchtstand] [gebundene heiß-trockene Qualitätsform] <dod> <opchaiin> <olald>	3	10	ANGLE_BRACKETS_KEEP_EVERY_UNTRANSLATED_SURFACE
