surface	composition	working_reading_de	thermal_atom	moisture_atom	e_atom	d_atom	wrapper_atom	occurrences	triple_stable_occurrences	status
kchy	BARE+k+ch+e0+d0+y	heiß-trocken (unmarkiert/prädikativ)	k=hot	ch=dry	unmarkiert/prädikativ	Grundform	unmarkierter Rahmen	31	21	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
kchdy	BARE+k+ch+e0+d1+y	heiß-trockene Zustands-/Bindungsform	k=hot	ch=dry	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	unmarkierter Rahmen	17	10	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
kchey	BARE+k+ch+e1+d0+y	heiß-trocken (vorwärts gebunden/attributiv)	k=hot	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	unmarkierter Rahmen	18	17	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
kchedy	BARE+k+ch+e1+d1+y	heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv	k=hot	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	unmarkierter Rahmen	22	9	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
kshy	BARE+k+sh+e0+d0+y	heiß-feucht (unmarkiert/prädikativ)	k=hot	sh=moist	unmarkiert/prädikativ	Grundform	unmarkierter Rahmen	6	3	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
kshdy	BARE+k+sh+e0+d1+y	heiß-feuchte Zustands-/Bindungsform	k=hot	sh=moist	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	unmarkierter Rahmen	4	1	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
kshey	BARE+k+sh+e1+d0+y	heiß-feucht (vorwärts gebunden/attributiv)	k=hot	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	unmarkierter Rahmen	6	5	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
kshedy	BARE+k+sh+e1+d1+y	heiß-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv	k=hot	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	unmarkierter Rahmen	5	1	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
tchy	BARE+t+ch+e0+d0+y	kalt-trocken (unmarkiert/prädikativ)	t=cold	ch=dry	unmarkiert/prädikativ	Grundform	unmarkierter Rahmen	27	15	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
tchdy	BARE+t+ch+e0+d1+y	kalt-trockene Zustands-/Bindungsform	t=cold	ch=dry	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	unmarkierter Rahmen	12	8	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
tchey	BARE+t+ch+e1+d0+y	kalt-trocken (vorwärts gebunden/attributiv)	t=cold	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	unmarkierter Rahmen	18	16	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
tchedy	BARE+t+ch+e1+d1+y	kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv	t=cold	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	unmarkierter Rahmen	33	24	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
tshy	BARE+t+sh+e0+d0+y	kalt-feucht (unmarkiert/prädikativ)	t=cold	sh=moist	unmarkiert/prädikativ	Grundform	unmarkierter Rahmen	3	2	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
tshdy	BARE+t+sh+e0+d1+y	kalt-feuchte Zustands-/Bindungsform	t=cold	sh=moist	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	unmarkierter Rahmen	5	3	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
tshey	BARE+t+sh+e1+d0+y	kalt-feucht (vorwärts gebunden/attributiv)	t=cold	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	unmarkierter Rahmen	8	6	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
tshedy	BARE+t+sh+e1+d1+y	kalt-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv	t=cold	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	unmarkierter Rahmen	10	5	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
